backbone_fraction,label,coordinate,proper,radius,demanded_rho,demanded_pr,demanded_pt,backbone_rho,backbone_pr,backbone_pt,matter_rho,matter_pr,matter_pt,quantum_rho,quantum_pr,quantum_pt,host_rho,host_pr,host_pt,radial_weight,radial_null_only_lower_bound,radial_ideal_em_gap,angular_weight,angular_null_only_lower_bound,angular_ideal_em_gap,backbone_radial_divergence
0.0,coordinate,2.499999999997065,68.95436235926277,3.197682610222836,-0.00945893046860238,-0.009964917254523867,0.054758949587833075,0.0,-0.0,0.0,6.17513841435738e-05,-4.68488272429182e-06,-3.034704878531139e-05,-0.06409020322983754,-0.06452975374889115,0.0002197752595268082,0.05456952137709158,0.054569521377091576,0.054569521377091576,0.03215498924468217,0.0048702285561363825,0.05663170297369999,0.015967606992577682,0.0,0.06746239497247117,0.0
0.0,coordinate,2.9999999999999747,69.51588747613069,3.5348729988250542,-0.006071036523891258,-0.0035122283872047137,0.023050739039891792,0.0,-0.0,0.0,2.720254579592613e-05,5.927016650316154e-07,-1.0190648776856733e-05,-0.030451877748764553,-0.027866459767947112,-0.0012927089904087186,0.024353638679077368,0.024353638679077368,0.024353638679077368,0.014579584379177916,0.0024027650396392323,0.0690137184463422,0.007936146684793317,0.0,0.08034693087997505,0.0
0.0,coordinate,4.0000000000000036,70.51925901624072,4.367011987004212,-0.001068006431277821,-0.000405117177084994,0.0008440314763480523,0.0,-0.0,0.0,2.70128782200702e-06,-2.622750118279586e-07,-1.4075704030990723e-07,-0.0022478063610015214,-0.0015819535439748592,-0.0003329264085133311,0.0011770986419016934,0.0011770986419016932,0.0011770986419016934,0.0009574399762440951,0.0003688906552932485,0.13633075017952628,0.0006451831923787131,5.663387142786644e-05,0.15047035735825556,0.0
0.0,coordinate,6.999999999999994,73.51926129650374,7.2116100727773516,-4.5053047415658446e-05,-4.4443515902003234e-05,4.4748281656218685e-05,0.0,-0.0,0.0,4.427356938284062e-08,-1.7778511452272133e-08,4.331287350446072e-08,-9.013808156500068e-05,-8.946649797051035e-05,-3.3579179724516355e-07,4.5040760579959395e-05,4.5040760579959395e-05,4.504076057995939e-05,4.490114488387776e-05,2.238076459389806e-05,0.29295934771545984,2.261846834056146e-05,9.808805058176554e-08,0.34774101351978803,0.0
0.5,throat,-1.599758090333156e-06,-0.00021118374296260736,2.0395751057921525,0.009563542625752259,-0.009564906638261055,3.264183276220582e-05,0.004782453319127703,-0.004782453319127703,0.0,5.850001052663276e-05,-5.8498125674692564e-05,-5.850001052663276e-05,-3.4147434018437506e-07,-1.0244230205531252e-06,3.4147434018437506e-07,0.004722930770438107,-0.004722930770438107,9.08003689486542e-05,3.4147434018437506e-07,3.4147434018437506e-07,0.9920468787442515,0.0,0.0,,-0.0
0.5,coordinate,-7.000000000000035,-177.10805123327017,7.210505038851204,6.197665809862589e-05,-5.571449062614403e-05,-4.636664327456982e-05,0.0,-0.0,0.0,6.623634810344777e-05,-5.646199636261835e-05,-5.0762073410567324e-05,-1.1158718011467479e-05,-6.151522270171286e-06,-2.5035978706480964e-06,6.899028006645603e-06,6.899028006645603e-06,6.899028006645603e-06,4.327560070409691e-06,8.780460670868897e-07,0.525788323725562,3.415578970528894e-06,0.0,0.5578348348058246,-0.0
0.5,coordinate,-4.0000000000000115,-174.10796864226637,4.367011987004031,-0.001068006430906987,-0.0004051171770277366,0.000844031470551751,0.0,-0.0,0.0,5.9349884025701834e-05,-5.795493284237865e-05,-5.8205888879434605e-05,-0.00241969070973754,-0.0016394966389902089,-0.0003900970353736654,0.0012923343948048512,0.001292334394804851,0.001292334394804851,0.0010147968371819372,0.0003686296397795117,0.13436214777908204,0.0007024469362778013,5.627973887537582e-05,0.14730528646499816,-0.0
0.5,coordinate,-3.0000000000000093,-173.1045971021554,3.534872998813947,-0.00607103644893372,-0.0035122283921106994,0.023050738715987337,0.0,-0.0,0.0,5.9398661087040114e-05,-5.769738503277901e-05,-5.889623321417056e-05,-0.030578022110693683,-0.027902118007750845,-0.0013379520514714173,0.024447587000672923,0.024447587000672923,0.024447587000672923,0.014620035029611133,0.00239624152927467,0.06896593212179172,0.007978993540541275,0.0,0.08023884808595504,-0.0
0.5,coordinate,-2.5000000000010143,-172.54307198549498,3.1976826085196306,-0.0094589283473473,-0.009964917987512837,0.05475896426925877,0.00020140272553623522,-0.00020140272553623522,0.0,5.929245220787715e-05,-5.7746454393621036e-05,-5.9051327713362544e-05,-0.06454456648081777,-0.06453071176330932,-6.927358754217627e-06,0.05482494295572636,0.05482494295572634,0.05482494295572635,0.032268819561031774,0.004856348083168599,0.056581693786181345,0.016137873459892996,0.0,0.06728374205974834,-0.0007546872779488317
0.5,coordinate,-1.9999999999988636,-171.15538376025344,2.8807354843664044,0.002617860932001727,-0.0064750042139808395,0.0031017887554190254,0.0011986527457588819,-0.0011986527457588819,0.0,5.863034768213705e-05,-5.837177420596643e-05,-5.8615770370240846e-05,-0.0009643504638638208,-0.0028930513915914626,0.0009643504638638208,0.002324928302424529,-0.002324928302424529,0.0021960540619254455,0.0009643504638638208,0.0009643504638638208,0.13608585625747294,0.0,0.0,,-0.0003720491459687487
