x,lower_free_pressure,upper_free_pressure,required_drop_density,optimistic_temporal_allowance,positive_acceleration
-1.7953125,0.0,0.0020604963134736496,0.053560823793268535,2.255591098308914e-36,True
-1.7921875000000003,0.0,0.0020466849066610913,0.05318880458648982,3.883821572364308e-36,True
-1.7890625,0.0,0.00203300715932133,0.053025190766589764,5.24733815295447e-36,True
-1.7859375000000002,0.0,0.0020199840997500115,0.05311433356229207,6.041017930317766e-36,True
-1.7828125,0.0,0.0020076059733736312,0.052964400379982304,5.96305998723927e-36,True
-1.7796875,0.0,0.0019953513522519228,0.052610549581289405,4.7135527368624166e-36,True
-1.7765625000000003,0.0,0.0019832219459840154,0.05246188427528919,1.9981918765679806e-36,True
-1.7734375,0.0,0.0019704175675633795,0.05254074385116151,2.4419998764428888e-36,True
-1.7703125000000002,0.0,0.001956956539598099,0.052364766532696026,8.165953892395802e-36,True
-1.7671875,0.0,0.001943646634694104,0.05198976993669438,1.4055971571561124e-35,True
-1.7640625,0.0,0.0019304879433913586,0.05181650819492642,1.8984549608983467e-35,True
-1.7609375000000003,0.0,0.0019153372467380068,0.05184461971428099,2.1819158602274227e-35,True
-1.7578125,0.0,0.0018982398749781892,0.051603535170544404,2.147185700496981e-35,True
-1.7546875000000002,0.0,0.001881353327955878,0.051169838719351414,1.6920927174461854e-35,True
-1.7515625,0.0,0.0018646765244490712,0.05093286385548373,7.151397263909208e-36,True
-1.7484375,0.0,0.0018447515627818005,0.05086960914434235,8.70048115886204e-36,True
-1.7453125000000003,0.0,0.0018216480626472638,0.05052569717775173,2.8920412399504286e-35,True
-1.7421875,0.0,0.0017988424669441807,0.04999790800118892,4.948196797062353e-35,True
-1.7390625000000002,0.0,0.0017763303354700899,0.049660582048405066,6.64298066191341e-35,True
-1.7359375,0.0,0.0017494342583612762,0.04946884260168881,7.576907297205086e-35,True
-1.7328125,0.0,0.00171824459680573,0.04898831593323024,7.387549966786001e-35,True
-1.7296875000000003,0.0,0.0016874597699886853,0.04833434701913767,5.767389177220536e-35,True
-1.7265625,0.0,0.0016570733133018328,0.04786257961042087,2.4144380099176304e-35,True
-1.7234375000000002,0.0,0.0016213328903861997,0.04750797955484977,2.904418524918492e-35,True
-1.7203125,0.0,0.0015803458310819076,0.04686121900500838,9.527264903686279e-35,True
-1.7171875,0.0,0.001539887125193822,0.0460539510670239,1.6081001598067129e-34,True
-1.7140625000000003,0.0,0.0014999475614819124,0.04541924158395818,2.1290201889496633e-34,True
-1.7109375,0.0,0.0014538682549576063,0.044873752451782635,2.3893387223285588e-34,True
-1.7078125000000002,0.0,0.0014017691245687529,0.04403718797289778,2.2863564032299403e-34,True
-1.7046875,0.0,0.0013503316651508788,0.043054744746106544,1.7503776446945683e-34,True
-1.7015625,0.0,0.0012995442957400172,0.04223318362374151,7.179665086483694e-35,True
-1.6984375000000003,0.0,0.0012427034493383365,0.04148556477881749,8.438910230383846e-35,True
-1.6953125,0.0,0.0011799249928757536,0.040465349017524514,2.6958471845628615e-34,True
-1.6921875000000002,0.0,0.0011179304706167115,0.03931601393664065,4.423402739907363e-34,True
-1.6890625,0.0,0.001056706614407285,0.03831443665104533,5.681567111260442e-34,True
-1.6859375,0.0,0.0009904599654102506,0.037389386208270495,6.164416125856415e-34,True
-1.6828125000000003,0.0,0.0009192843752873045,0.03623053387262556,5.676907656080515e-34,True
-1.6796875,0.0,0.0008489807356416527,0.03495957847813856,4.165581382116418e-34,True
-1.6765625000000002,0.0,0.000779533712595127,0.033821821562061406,1.629769810688402e-34,True
-1.6734375,0.0,0.0007504931237217054,0.03332913166342983,1.9281261797121322e-34,True
-1.6703125,0.0,0.0007611307272448085,0.03319872983617773,6.577508453118016e-34,True
