case,s,node,fraction,l,velocity,heat,required_negative_null_plus,required_negative_null_minus,required_before_plus,required_before_minus,fd_error,spline_error,geometry_rho,geometry_p_l,geometry_j_l,geometry_p_omega,reservoir_rho,reservoir_p_l,reservoir_j_l,reservoir_p_omega,endpoint_rho,endpoint_p_l,endpoint_j_l,endpoint_p_omega,remainder_rho,remainder_p_l,remainder_j_l,remainder_p_omega
prior_thermal_n64,0.0,38,0.59375,-1.15,-0.0002010554239481854,5.736887651456803,0.0014477594123299762,0.0014436891749824434,4.376870598593583e-06,1.4669661770883164e-06,6.592522968501546e-11,2.590571355045697e-09,0.006941403068865731,-0.006942150967784169,-1.2286792737820298e-07,-1.5821140760637637e-06,0.0049320819388158875,-0.0034892795635475186,-2.90083231506914e-07,0.0,3.2511379348722536e-06,-1.0771184654686313e-06,-8.503440327545195e-07,7.425656366505894e-05,0.002006069992114972,-0.0034517942857711817,1.0175593368832306e-06,-7.58386777411227e-05
prior_thermal_n64,0.0,39,0.609375,-1.125,-0.0002975827703290354,5.91414794457537,0.0014416757449554158,0.0014387186694600033,1.099068014812341e-06,0.0,7.488805235655871e-11,3.0240448617143463e-09,0.007018324456958271,-0.007018966043203713,-1.129571696058368e-07,-1.7701723076640967e-06,0.004967646362885637,-0.0035279265574855306,-4.2843577024819754e-07,0.0,8.209358741488936e-07,-9.851203119876101e-07,-4.2379027321080183e-07,3.5544605831244855e-05,0.002049857158198485,-0.0034900543654061947,7.392688738531625e-07,-3.7314778138908955e-05
prior_thermal_n64,0.0,40,0.625,-1.1,-0.0004381644430343964,5.744959164292568,0.0013690475702152248,0.0013670701433981464,3.404261480311285e-07,7.597737219977916e-07,1.4598863599020473e-10,3.2773962840762065e-09,0.007095671963755059,-0.007096222063615386,-1.0483692857450767e-07,-1.8686532966778057e-06,0.004934299374695747,-0.0035667906178240764,-5.991935977613079e-07,0.0,3.8890852872842024e-14,3.579720722231861e-14,-3.508284192624135e-14,-2.7887039193131057e-13,0.002161372589020421,-0.0035294314458271065,4.943567042696422e-07,-1.8686530178074138e-06
prior_thermal_n64,0.0,41,0.640625,-1.075,-0.0006419348005884318,5.472384671066554,0.001281671090914516,0.0012795829087048178,1.4874196625056074e-07,1.3469542743621404e-06,2.0999264741676627e-10,3.3641397418143864e-09,0.007173386938575362,-0.007173858413678243,-9.826792820454032e-08,-1.882659707018491e-06,0.004885720844217475,-0.0036058416925281145,-8.21598629452401e-07,0.0,-2.6281007196919585e-07,5.391830893949395e-07,2.0128514882335462e-07,-1.664978069086221e-05,0.0022879289044298564,-0.0035685559042395233,5.220455524245061e-07,1.4767120983843718e-05
prior_thermal_n64,0.0,42,0.65625,-1.05,-0.0009358641072879293,5.344995628638823,0.0012286752847406961,0.0012252899477273901,8.748642448329466e-08,1.2927179862277637e-06,2.5133390518936617e-10,3.347799785398274e-09,0.007251406623009871,-0.007251810774674662,-9.304733376018371e-08,-1.8187232994003071e-06,0.004871340184675658,-0.0036450476706469705,-1.147642143762565e-06,0.0,-2.7191758644999916e-07,5.578681270150601e-07,2.0826055667593358e-07,-1.722676800064054e-05,0.0023803383559206637,-0.003607320972154707,8.463342533264477e-07,1.5408044701240233e-05
prior_thermal_n64,0.0,43,0.671875,-1.0250000000000001,-0.0013576790838189052,5.406577377876501,0.001216006990428217,0.0012102220262651799,9.922280349151264e-08,8.996150761598832e-07,2.7597395133341127e-10,3.203945028706839e-09,0.0073296641645672735,-0.007330011030677866,-8.899239878050401e-08,-1.683694698173088e-06,0.004896989364919822,-0.0036843742755129495,-1.6463391089263796e-06,0.0,-1.4506628930815779e-07,2.9761911854216527e-07,1.1110566938658864e-07,-9.190371446699774e-06,0.00243281986593676,-0.0036459343742834584,1.446241040759287e-06,7.506676748526686e-06
prior_thermal_n64,0.0,44,0.6875,-1.0,-0.001959671376567146,5.644271500252925,0.001238739867319021,0.0012294123816094006,1.267281326052935e-07,4.703995650802159e-07,2.9341021966004146e-10,3.3035853313154726e-09,0.007408088630982354,-0.007408387194762636,-8.591789025172085e-08,-1.4828931223978629e-06,0.004957562403967027,-0.003723784843351659,-2.417789285523799e-06,0.0,3.469973175649211e-14,3.38608413317188e-14,-3.21329902382456e-14,-2.675340108985061e-13,0.0024505262269806276,-0.0036846023514448384,2.3318714274050684e-06,-1.482892854863852e-06
prior_thermal_n64,0.0,45,0.703125,-0.9750000000000001,-0.0028135070525209566,5.950637683375143,0.0012750368783227657,0.001260888060582988,1.2493056057695148e-07,2.436114910477109e-07,3.131452740739817e-10,2.6622309107696237e-09,0.007486605123036535,-0.007486863447902628,-8.360446625625855e-08,-1.2177453444117442e-06,0.005031018189466004,-0.003763239991038939,-3.566874667562126e-06,0.0,7.041979028619716e-08,-1.4447363056658882e-07,-5.3934233638568706e-08,4.461294951678898e-06,0.0024555165137802454,-0.003723478983233122,3.537204434944436e-06,-5.679040296090642e-06
prior_thermal_n64,0.0,46,0.71875,-0.95,-0.00401600682793171,6.21852226709073,0.0013048495289826297,0.001284161118406524,9.676981509907451e-08,2.0060425759541783e-07,3.3812121948352303e-10,4.180682911775607e-09,0.007565134740771646,-0.0075653600479399195,-8.176189817983877e-08,-8.839978146099493e-07,0.005097053689435203,-0.0038026970527769736,-5.19806125465048e-06,0.0,7.286014004028336e-08,-1.4948027196690387e-07,-5.580328755575294e-08,4.615898239027532e-06,0.0024680081911964023,-0.003762513514890979,5.172102644026394e-06,-5.499896053637482e-06
prior_thermal_n64,0.0,47,0.734375,-0.925,-0.0056955369339328765,6.4333539065053795,0.0013262451229484565,0.0012965737405382187,5.737471291669422e-08,2.5815249770815265e-07,3.165421015302346e-10,1.9651329684034742e-08,0.00764359472701884,-0.0076437933669491216,-7.99651591754721e-08,-4.737256797905874e-07,0.005153360530264411,-0.0038421088621263862,-7.4680400487573355e-06,0.0,3.887043602016216e-08,-7.974676098915357e-08,-2.977071297760748e-08,2.462552275916938e-06,0.0024901953263184087,-0.0038016047580617463,7.417845602559471e-06,-2.9362779557075253e-06
