case,s,node,fraction,l,velocity,heat,required_negative_null_plus,required_negative_null_minus,required_before_plus,required_before_minus,fd_error,spline_error,geometry_rho,geometry_p_l,geometry_j_l,geometry_p_omega,reservoir_rho,reservoir_p_l,reservoir_j_l,reservoir_p_omega,endpoint_rho,endpoint_p_l,endpoint_j_l,endpoint_p_omega,remainder_rho,remainder_p_l,remainder_j_l,remainder_p_omega,magnetic,string,buffer,rest_mass,sigma,fast_speed2,extra_enthalpy_at_speed_half,gas_pressure
equilibrated_n64,0.0,10,0.15625,-1.85,-1.0259201415689733e-10,0.8784015055593142,1.1821232999441718,1.1821036896495294,0.0,0.0,5.0833698975335205e-08,1.1087595311852234e-07,0.004935758484661719,-0.005254446652765733,-1.7888641492039334e-05,0.00040738086519760485,0.59323346635195,0.5892356413761419,-1.2131188744013417e-10,0.0,-0.0003613926532464115,-0.00031290844609892666,-2.2791093840750823e-05,0.0014981517501384684,-0.5879363152140418,-0.5941771795828088,4.902573660598928e-06,-0.0010907708849408634,0.5892612704807881,2.562910464631751e-05,0.003946566766515453,0.0021010240647887047,298.6196891335328,0.9966624356266709,3.5316210561182135,0.0009426832469881545
equilibrated_n64,0.0,11,0.171875,-1.8250000000000002,-2.2212562755501428e-10,0.9926193411224576,0.8992476845299189,0.8992243386555034,0.0,0.0,4.724820417046803e-08,1.51799591714772e-07,0.0050305208410209995,-0.005270972423623562,-1.4134620536244917e-05,0.00029049020685782245,0.45166540704289754,0.44794011358424884,-1.9982544082126022e-10,0.0,-0.00032614489290730853,-0.00028381572413040465,-1.9970889314637773e-05,0.001369434972785143,-0.4463087413089692,-0.452927270283742,5.8364686038336774e-06,-0.0010789447659273203,0.4479660142182561,2.5900634007186e-05,0.0036734921906343763,0.001843549399939614,243.89109379916593,0.9959165521927061,2.6841225931189023,0.0009161010795461978
equilibrated_n64,0.0,12,0.1875,-1.8,-4.419576112817976e-10,1.132647606921195,0.6840349032073455,0.68401125098543,0.0,0.0,4.0979074010483955e-08,1.614144289918706e-07,0.005115940808593638,-0.005297304400671625,-1.116525738577696e-05,0.00020755181087607938,0.34394676331253354,0.3404384976998303,-3.0246927515349393e-10,0.0,-0.0002897863606429758,-0.0002537611474111484,-1.707801039534216e-05,0.0012357437730702338,-0.33854103614329695,-0.34548204095309076,5.913055478840356e-06,-0.0010281919621941543,0.34046467408607617,2.617638624578087e-05,0.003455912840211701,0.0016204800216388507,197.033137019289,0.9949503400539345,2.0393321316762454,0.0008986895300325047
equilibrated_n64,0.0,13,0.203125,-1.7750000000000001,-8.417694595622283e-10,1.2995446623935185,0.5208837250216147,0.520862341840238,0.0,0.0,3.384236974638961e-08,1.527275822950933e-07,0.005194505715049918,-0.005331409430103398,-8.826342243638477e-06,0.00014907227070471232,0.26227403133133814,0.25893826472081066,-4.387405927650054e-10,0.0,-0.00025293800687783264,-0.0002232283293980614,-1.4171698847189585e-05,0.0010987693532416608,-0.2568265876094104,-0.264046445821516,5.3457953441438725e-06,-0.0009496970825369485,0.2589647211595573,2.6456438746733693e-05,0.0032828537330340316,0.0014276103381340806,157.76805317501655,0.9937015036715373,1.5505054732243098,0.0008873435599653807
equilibrated_n64,0.0,14,0.21875,-1.75,-1.5619001406354045e-09,1.4711026799960718,0.3974522551779856,0.3974350061406238,0.0,0.0,2.6930403808822414e-08,1.3460235267863645e-07,0.005268140855280507,-0.005371675311497343,-6.989376053648017e-06,0.00010802267153342798,0.20045932811169104,0.1972895464477265,-6.212440231119283e-10,0.0,-0.00021613516308023844,-0.00019264319324942237,-1.1301014150075086e-05,0.0009601697475732611,-0.19497505209333027,-0.20246857856597444,4.31225934045018e-06,-0.0008521470760398331,0.1973162873098834,2.674086215685145e-05,0.0031162999396507894,0.0012610969041787219,126.63497810290659,0.9921651571155224,1.1807814239196497,0.0008686540736777716
equilibrated_n64,0.0,15,0.234375,-1.725,-2.8471643320616906e-09,1.6066077724978434,0.3041241483488946,0.30411229138180146,0.0,0.0,2.0816806594098802e-08,1.1276206674930593e-07,0.005338319587273901,-0.005416842437900631,-5.549095065081052e-06,7.9272935622738e-05,0.15367444000088104,0.15070756600936866,-8.666255908337701e-10,0.0,-0.00017989175597953904,-0.00016241723954885475,-8.512470212786192e-06,0.0008215946983453563,-0.1481562286576276,-0.15596199120772045,2.9642417732959746e-06,-0.0007423217627226184,0.15073459572922568,2.7029719857012457e-05,0.002912814551798363,0.001117473285597967,103.49755746459216,0.9904303983340583,0.9014947598235558,0.0008280355581025986
equilibrated_n64,0.0,16,0.25,-1.7000000000000002,-5.120588391003045e-09,1.6587650013294049,0.23350663059535035,0.23350089742648386,0.0,0.0,1.5729596204495683e-08,9.06707557479222e-08,0.005406158705696318,-0.0054659387661892935,-4.420485519943504e-06,5.912757555955629e-05,0.11820909547307935,0.11551257215852982,-1.19679245800029e-09,0.0,-0.00014472171230507964,-0.00013296196887998098,-5.852580944110363e-06,0.0006846939478382644,-0.11265821505507796,-0.12084554895583914,1.4332922166248596e-06,-0.0006255663722787081,0.11553989522596958,2.7323067439785407e-05,0.0026418771796699663,0.0009936482458393298,87.46802925971242,0.9886964815609904,0.6905974941761475,0.0007560505641106204
equilibrated_n64,0.0,17,0.265625,-1.675,-9.106173940586738e-09,1.6005519994779065,0.17998943356004216,0.17999011623330208,0.0,0.0,1.1685497163898802e-08,7.024534790929754e-08,0.005472498057671539,-0.005518221667724671,-3.535687544851803e-06,4.495601229868615e-05,0.09126072955127702,0.08889907971601857,-1.640566560290924e-09,0.0,-0.00011109878940597808,-0.00010465919127061465,-3.3633786633074836e-06,0.0005510406841089129,-0.08567713270419951,-0.09431264219247262,-1.7066831498402862e-07,-0.0005060846718102268,0.0889267006682106,2.7620952192039283e-05,0.00230640793087432,0.0008868916796654556,77.11272535773843,0.9871979886065909,0.5312537960783892,0.0006551227172292091
equilibrated_n64,0.0,18,0.28125,-1.6500000000000001,-1.6031072462361884e-08,1.4780057334333772,0.13937736593451722,0.13938444529818805,0.0,0.0,8.586497555528939e-09,5.239540229516024e-08,0.00553796511703101,-0.005573128218430285,-2.8410466295369952e-06,3.490573650589012e-05,0.07076412326379024,0.06873872727279892,-2.2363803056580996e-09,0.0,-7.93360671104438e-05,-7.777195452533276e-05,-1.0689693315272027e-06,0.0004219018783206639,-0.06514682207964878,-0.07423408353670387,-1.7698409177041343e-06,-0.00038699614181477376,0.0687666506853806,2.7923412581721375e-05,0.001969549165827852,0.000794812190809164,69.82983911089745,0.9858816564804799,0.4106303549464557,0.0005496008180107824
equilibrated_n64,0.0,19,0.296875,-1.625,-2.795482919729227e-08,1.5610069783904623,0.10863378518421161,0.10864699495525708,0.0,0.0,6.635772587665345e-09,3.7411025573914295e-08,0.005603026169953192,-0.00563023413478169,-2.2944592028146914e-06,2.7684719169775992e-05,0.05530192357122541,0.0534134986054398,-3.039121058060194e-09,0.0,-4.9706455866457974e-05,-5.2533615892902304e-05,1.0110226796084868e-06,0.00029846794741348486,-0.049649190945405756,-0.05899119912432859,-3.302442761365118e-06,-0.0002707832282437089,0.05344172908318764,2.8230477747932285e-05,0.0018319640102897388,0.0007153295659666998,58.34364516225996,0.9831489960337665,0.3188184104888361,0.0005175494225640552
