scenario,path_kind,control,u,angular_time_demand,rate_radial_pressure,rate_angular_pressure,density_change,comoving_entropy_rate_per_entropy,scaled_angular_demand,scaled_rate_angular_pressure,scaled_entropy_rate
direct_slow,direct,positive_squared_rate,0.0078125,2.9587710107486033e-10,2.9587710108412123e-10,9.260863449448372e-21,9.260863449448372e-21,-4.517265793854717e-23,3.787226893758212e-08,1.1853905215293916e-18,-9.473392994114008e-17
direct_slow,direct,positive_squared_rate,0.015625,5.868723540219707e-10,5.868723541673274e-10,1.4535669135843766e-19,1.4535669135843766e-19,-3.54976592043728e-22,3.7559830657406125e-08,9.30282824694001e-18,-9.305498374471104e-17
direct_slow,direct,positive_squared_rate,0.03125,1.1538901874965609e-09,1.153890189733498e-09,2.23693692876605e-18,2.23693692876605e-18,-2.7379776495602193e-21,3.692448599988995e-08,7.15819817205136e-17,-8.971805162078926e-17
direct_slow,direct,positive_squared_rate,0.0625,2.225646601556182e-09,2.2256466345945807e-09,3.30383986490874e-17,3.30383986490874e-17,-2.0295709753614922e-20,3.5610345624898914e-08,5.286143783853984e-16,-8.313122715080672e-17
direct_slow,direct,positive_squared_rate,0.125,4.099334338148041e-09,4.099334784296716e-09,4.461486746274385e-16,4.461486746274385e-16,-1.3736991928008446e-19,3.279467470518433e-08,3.569189397019508e-15,-7.033339867140324e-17
direct_slow,direct,near_match_positive_tensor_kinetic,0.000244140625,9.319258901378508e-12,2.3298147253446214e-13,9.086277428844044e-12,2.249036712095042e-28,-3.505808612648896e-29,3.817168446004637e-08,3.7217392348545205e-08,-2.4091733339779425e-18
direct_slow,direct,near_match_positive_tensor_kinetic,0.00048828125,1.8633825905055518e-11,4.658456476263901e-13,1.816798025742913e-11,3.5963287125458165e-27,-2.8031108850600654e-28,3.81620754535537e-08,3.720802356721486e-08,-2.4078539156789192e-18
direct_slow,direct,near_match_positive_tensor_kinetic,0.0009765625,3.724887458388772e-11,9.312218645972476e-13,3.631765271929058e-11,5.747313066596512e-26,-2.24003155978154e-27,3.8142847573901026e-08,3.718927638455355e-08,-2.4052155728173958e-18
direct_slow,direct,near_match_positive_tensor_kinetic,0.001953125,7.442256309181106e-11,1.8605640772961878e-12,7.256199901451671e-11,9.173920269308365e-25,-1.7880952837373038e-26,3.8104352303007264e-08,3.715174349543256e-08,-2.3999408643073626e-18
direct_slow,direct,near_match_positive_tensor_kinetic,0.00390625,1.485437631042598e-10,3.713594077621092e-12,1.448301690266679e-10,1.4608705951060716e-23,-1.4241930093254506e-25,3.802720335469051e-08,3.7076523270826985e-08,-2.38939937431431e-18
direct_slow,direct,near_match_positive_tensor_kinetic,0.0078125,2.9587710107486033e-10,7.396927527103006e-12,2.884801735482203e-10,2.3152158623620856e-22,-1.1293164484636802e-24,3.787226893758212e-08,3.69254622141722e-08,-2.368348248528504e-18
direct_slow,direct,near_match_positive_tensor_kinetic,0.015625,5.868723540219707e-10,1.4671808854183135e-11,5.722005451750553e-10,3.633917283960929e-21,-8.874414801093209e-24,3.7559830657406125e-08,3.662083489120354e-08,-2.3263745936177782e-18
direct_slow,direct,near_match_positive_tensor_kinetic,0.03125,1.1538901874965609e-09,2.8847254743337354e-11,1.1250429328650704e-09,5.592342321915106e-20,-6.844944123900555e-23,3.692448599988995e-08,3.6001373851682254e-08,-2.242951290519734e-18
direct_slow,direct,near_match_positive_tensor_kinetic,0.0625,2.225646601556182e-09,5.564116586486434e-11,2.1700054373432377e-09,8.259599662271823e-19,-5.073927438403735e-22,3.5610345624898914e-08,3.4720086997491804e-08,-2.07828067877017e-18
direct_slow,direct,near_match_positive_tensor_kinetic,0.125,4.099334338148041e-09,1.0248336960741755e-10,3.996850990848056e-09,1.1153716865685926e-17,-3.434247982002114e-21,3.279467470518433e-08,3.197480792678445e-08,-1.7583349667850824e-18
direct_slow,direct,negative_tensor_kinetic,0.000244140625,9.319258901378508e-12,-2.32981472534463e-12,9.319258901378506e-12,-2.2490367120950496e-27,3.5058086126488936e-28,3.817168446004637e-08,3.817168446004636e-08,2.4091733339779408e-17
direct_slow,direct,negative_tensor_kinetic,0.00048828125,1.8633825905055518e-11,-4.6584564762639165e-12,1.8633825905055482e-11,-3.596328712545829e-26,2.8031108850600624e-27,3.81620754535537e-08,3.816207545355363e-08,2.4078539156789166e-17
direct_slow,direct,negative_tensor_kinetic,0.0009765625,3.724887458388772e-11,-9.312218645972507e-12,3.7248874583887146e-11,-5.747313066596532e-25,2.240031559781538e-26,3.8142847573901026e-08,3.814284757390044e-08,2.4052155728173935e-17
direct_slow,direct,negative_tensor_kinetic,0.001953125,7.442256309181106e-11,-1.8605640772961946e-11,7.44225630918019e-11,-9.173920269308397e-24,1.7880952837373022e-25,3.8104352303007264e-08,3.810435230300257e-08,2.3999408643073605e-17
direct_slow,direct,negative_tensor_kinetic,0.00390625,1.485437631042598e-10,-3.713594077621104e-11,1.485437631041137e-10,-1.4608705951060768e-22,1.4241930093254493e-24,3.802720335469051e-08,3.802720335465311e-08,2.3893993743143077e-17
direct_slow,direct,negative_tensor_kinetic,0.0078125,2.9587710107486033e-10,-7.396927527103032e-11,2.9587710107254515e-10,-2.3152158623620934e-21,1.1293164484636793e-23,3.787226893758212e-08,3.787226893728578e-08,2.368348248528502e-17
direct_slow,direct,negative_tensor_kinetic,0.015625,5.868723540219707e-10,-1.4671808854183188e-10,5.868723539856315e-10,-3.6339172839609414e-20,8.8744148010932e-23,3.7559830657406125e-08,3.755983065508042e-08,2.326374593617776e-17
direct_slow,direct,negative_tensor_kinetic,0.03125,1.1538901874965609e-09,-2.8847254743337454e-10,1.1538901869373268e-09,-5.592342321915126e-19,6.844944123900548e-22,3.692448599988995e-08,3.692448598199446e-08,2.2429512905197316e-17
direct_slow,direct,negative_tensor_kinetic,0.0625,2.225646601556182e-09,-5.564116586486453e-10,2.2256465932965823e-09,-8.259599662271851e-18,5.0739274384037306e-21,3.5610345624898914e-08,3.561034549274532e-08,2.078280678770168e-17
direct_slow,direct,negative_tensor_kinetic,0.125,4.099334338148041e-09,-1.0248336960741791e-09,4.0993342266108725e-09,-1.1153716865685964e-16,3.4342479820021114e-20,3.279467470518433e-08,3.279467381288698e-08,1.758334966785081e-17
waypoints_fast,waypoints,zero_rate,0.000244140625,3.5918947646450046e-27,0.0,0.0,0.0,-0.0,0.06947734915708732,0.0,-0.0
waypoints_fast,waypoints,zero_rate,0.00048828125,4.582488092221671e-25,0.0,0.0,0.0,-0.0,0.06924860215954202,0.0,-0.0
waypoints_fast,waypoints,zero_rate,0.0009765625,5.827048271686108e-23,0.0,0.0,0.0,-0.0,0.06879364363068492,0.0,-0.0
