design,s,type_iv,samples_with_type_iv,unresolved,worst_envelope_ratio
packet_lapse_e3,2.6,0,0,0,0.0
packet_lapse_e3,2.8,0,0,0,0.0
packet_lapse_e3,3.0,0,0,0,0.0
sheath_e4,-8.0,0,0,0,3.320792352117615e-79
sheath_e4,-7.8,0,0,0,1.9968887443065326e-73
sheath_e4,-7.6,0,0,0,2.101192489234334e-68
sheath_e4,-7.4,0,0,0,7.929840743520302e-65
sheath_e4,-7.2,0,0,0,3.265780278918206e-61
sheath_e4,-7.0,0,0,0,5.7302602136811615e-58
sheath_e4,-6.8,0,0,0,1.741956100249286e-54
sheath_e4,-6.6,0,0,0,7.167580013230499e-51
sheath_e4,-6.4,0,0,0,2.208366843571107e-47
sheath_e4,-6.2,0,0,0,5.207949161819445e-44
sheath_e4,-6.0,0,0,0,9.619245623978398e-41
sheath_e4,-5.8,0,0,0,1.4119349433414829e-37
sheath_e4,-5.6,0,0,0,1.5892693032689628e-34
sheath_e4,-5.4,0,0,0,1.3706629956464514e-31
sheath_e4,-5.2,0,0,0,9.048109181075217e-29
sheath_e4,-5.0,0,0,0,4.6759450547990124e-26
sheath_e4,-4.8,0,0,0,1.9184101410646493e-23
sheath_e4,-4.6,0,0,0,6.033588982374094e-21
sheath_e4,-4.4,0,0,0,1.45331197723589e-18
sheath_e4,-4.2,0,0,0,2.6774948944925233e-16
sheath_e4,-4.0,0,0,0,3.765652471179298e-14
sheath_e4,-3.8,0,0,0,3.964974660731646e-12
sheath_e4,-3.6,0,0,0,1.7694191025379586e-10
sheath_e4,-3.4,0,0,0,3.247604555313644e-09
sheath_e4,-3.2,0,0,0,4.515025702535823e-08
sheath_e4,-3.0,0,0,0,8.899648953410899e-07
sheath_e4,-2.8,0,0,0,0.002448510774372245
sheath_e4,-2.6,0,0,0,0.024685274510308382
sheath_e4,-2.4,0,0,0,0.0644089303036412
sheath_e4,-2.2,0,0,0,0.1005405319258892
sheath_e4,-2.0,0,0,0,0.11826535285719027
sheath_e4,-1.8,0,0,0,0.1432530149886266
sheath_e4,-1.6,0,0,0,0.168954104379085
sheath_e4,-1.4,0,0,0,0.19030156457592565
sheath_e4,-1.2,0,0,0,0.43966339104832114
sheath_e4,-1.0,0,0,0,0.5338579498090713
sheath_e4,-0.8,0,0,0,0.5462651582810104
sheath_e4,-0.6,0,0,0,0.5362615892468107
sheath_e4,-0.4,0,0,0,0.4950758019119446
sheath_e4,-0.2,0,0,0,0.39426862488472014
sheath_e4,0.0,0,0,0,0.2803736064838191
sheath_e4,0.2,0,0,0,0.2803018062217913
sheath_e4,0.4,0,0,0,0.20487592187007916
sheath_e4,0.6,0,0,0,0.10835361563095883
sheath_e4,0.8,0,0,0,0.07131928540823532
sheath_e4,1.0,0,0,0,0.028852777056657716
sheath_e4,1.2,0,0,0,0.00344253556824934
sheath_e4,1.4,0,0,0,0.0
sheath_e4,1.6,0,0,0,0.0
sheath_e4,1.8,0,0,0,0.0
sheath_e4,2.0,0,0,0,0.0
sheath_e4,2.2,0,0,0,0.0
sheath_e4,2.4,0,0,0,0.0
sheath_e4,2.6,0,0,0,0.0
sheath_e4,2.8,0,0,0,0.0
sheath_e4,3.0,0,0,0,0.0
sheath_e0p5,-8.0,0,0,0,3.320792352117615e-79
sheath_e0p5,-7.8,0,0,0,1.9968887443065326e-73
sheath_e0p5,-7.6,0,0,0,2.101192489234334e-68
sheath_e0p5,-7.4,0,0,0,7.929840743520302e-65
sheath_e0p5,-7.2,0,0,0,3.265780278918206e-61
sheath_e0p5,-7.0,0,0,0,5.7302602136811615e-58
sheath_e0p5,-6.8,0,0,0,1.741956100249286e-54
sheath_e0p5,-6.6,0,0,0,7.167580013230499e-51
sheath_e0p5,-6.4,0,0,0,2.208366843571107e-47
sheath_e0p5,-6.2,0,0,0,5.207949161819445e-44
sheath_e0p5,-6.0,0,0,0,9.619245623978398e-41
sheath_e0p5,-5.8,0,0,0,1.4119349433414829e-37
sheath_e0p5,-5.6,0,0,0,1.5892693032689628e-34
sheath_e0p5,-5.4,0,0,0,1.3706629956464514e-31
sheath_e0p5,-5.2,0,0,0,9.048109181075217e-29
sheath_e0p5,-5.0,0,0,0,4.6759450547990124e-26
sheath_e0p5,-4.8,0,0,0,1.9184101410646493e-23
sheath_e0p5,-4.6,0,0,0,6.033588982374094e-21
sheath_e0p5,-4.4,0,0,0,1.45331197723589e-18
sheath_e0p5,-4.2,0,0,0,2.6774948944925233e-16
sheath_e0p5,-4.0,0,0,0,3.765652471179298e-14
sheath_e0p5,-3.8,0,0,0,3.964974660731646e-12
