s,steps,minimum_heat,coldest_l,maximum_abs_velocity,maximum_sound2,minimum_stretch,maximum_stretch,minimum_relative_cell_width,minimum_packet_gap,minimum_rest_dec_margin,maximum_relaxation_strain,canonical_energy,slice_energy,field_slice_energy,thermal_inventory,canonical_balance_residual,momentum_balance_residual,thermal_balance_residual,canonical_geometry_integral,canonical_endpoint_integral,heat_endpoint_integral,heat_electrical_integral,heat_relaxation_integral,entropy_relaxation_integral,momentum_free_integral,anchor_left_integral,anchor_right_integral
0.47000000000000003,2872,0.3794166134145596,-2.0862098407980114,0.9444286780728048,0.3444228545010663,0.0018460497993045405,0.9426577434527657,0.1895091107763054,0.62,0.007024775760982156,1.571525222748084,12284.761605099391,107.81056954222315,0.0,26.46832043013578,5.291877794022648e-08,-1.2050804798491299e-11,-1.5880701254995552e-14,-1781.955960905145,2.9067977549689656,0.010469622588886713,0.0,0.0077870333639391024,0.018577956875658778,-922.678941765924,0.3636286649367053,724.5322666488174
0.47500000000000003,2891,0.38005538315815635,-2.0844461603446907,0.9468802611541702,0.4043076191965659,0.0018460429902352007,1.1719917306598373,0.15281952464498316,0.6250000000000001,0.00706262458096521,1.7356390118158638,12068.733686966174,107.92475546565224,0.0,26.482903394185588,5.299478557053509e-08,-1.1937117960769683e-11,-1.937946934206046e-14,-1799.1680594080601,2.927940749501567,0.01138638332049042,0.0,0.008030748039064818,0.01902276255484695,-928.4487547809725,0.36435900668446797,729.1596172521419
0.48,2909,0.3808401310589134,-2.0827736578994314,0.9492119222318999,0.4714897790483106,0.0018474221194808987,1.4594195659976945,0.12263245172435198,0.63,0.006798718563219293,1.9163420049554272,11856.113690156779,108.05805323171212,0.0,26.500978335807947,5.316171774714458e-08,-1.1823431123048067e-11,-1.6741768790441432e-14,-1816.113274895687,2.953394490916065,0.0124937277218385,0.0,0.00836176179036434,0.01961663945949936,-934.0866091943618,0.3646980466470121,733.67374916835
0.485,2927,0.3819786854342908,-2.081259611454003,0.9514293145532557,0.5308246666570556,0.001850138451211586,1.7363047929324213,0.10228110903592694,0.635,0.006558052359225651,2.0992611406286406,11646.884702156958,108.21076617052509,0.0,26.522953856777768,5.288237017369687e-08,-1.2391865311656147e-11,-2.3237923867982508e-14,-1832.7925625645864,2.982768320694718,0.013785606868875255,0.0,0.008818639038011517,0.020421379129843677,-939.5952072825183,0.3647907340154929,738.076747724951
0.49,2945,0.3839710592864992,-2.0800422030970114,0.953537808742772,0.5594119920937907,0.0018541397727294753,1.9188279267129826,0.09193676466031371,0.64,0.006338360976120491,2.2682292192333278,11441.029003767722,108.38328977360906,0.0,26.54903504659358,5.311862443427798e-08,-1.2050804798491299e-11,-1.7199551530805066e-14,-1849.2069634772147,3.0156932521634316,0.015255819933497228,0.0,0.00942390111384143,0.021472944500068026,-944.9771822300756,0.36474787273060333,742.370691554547
0.495,2963,0.3878786176880911,-2.079431620732667,0.9555425065841722,0.5517947521567264,0.0018593710050743715,2.95654806522311,0.06307624150686275,0.645,0.006137790008686653,2.4138761615769075,11238.528132030928,108.57606437845614,0.0,26.57915647580112,5.9118506049858804e-08,-1.2278178473934531e-11,-1.8202313723982546e-14,-1865.3575988441428,3.0518212599496075,0.01689805267242027,0.0,0.010178655550604617,0.022785944118449065,-950.2350997420913,0.3646643456049898,746.5576519573854
0.5,2981,0.3931558140883468,-2.0798916440403508,0.9574482552781329,0.5577229368604528,0.001865774780882694,3.0386570372167814,0.06035986543475115,0.65,0.005954858369516161,2.3867482823927073,11039.363034565224,108.78950983122573,0.0,26.612387448366672,5.1443097052551414e-08,-1.2164491636212915e-11,-1.8747293176796395e-14,-1881.2456569167186,3.090824456613442,0.018705833404282272,0.0,0.011015311592522115,0.024228686432728578,-955.3713678067949,0.3645679312579998,750.6396922510742
0.505,2998,0.3961741068943218,-2.0813807766024888,0.959259659950605,0.490916354673717,0.001873291944188975,2.2174148635488264,0.08356465584501604,0.6549999999999999,0.0057884430931592346,2.146587615135681,10843.514065609907,109.02419252475637,0.0,26.645627048367185,4.737975815531934e-08,-1.2278178473934531e-11,-2.230055920914269e-14,-1896.8723984633932,3.13240024926626,0.020672850836629834,0.0,0.011693417483414242,0.025335175966386674,-960.3881310011888,0.3644348127215753,754.6188671602191
0.51,3015,0.3971747147444626,-2.1,0.9609810955100009,0.44234872040788803,0.0018818619724512934,1.5896861882952957,0.11674867023484241,0.66,0.005637788667310906,1.8757444817332585,10650.960614921418,109.28037648248703,0.0,26.67833516180052,4.595228798117114e-08,-1.2278178473934531e-11,-1.9139678382822367e-14,-1912.239200442941,3.176285485690498,0.022794568392671192,0.0,0.01217452889343553,0.026074111675140222,-965.287614359812,0.364389868155578,758.4972211696041
0.515,3032,0.3973597899541654,-2.1,0.9626167192922674,0.3878606353154119,0.0018914233683886823,1.22346185324998,0.15144142754171339,0.6650000000000001,0.005502550762342573,1.6280086792656527,10461.68072447204,109.55826590508505,0.0,26.711313928571347,4.619737631508401e-08,-1.2164491636212915e-11,-1.9117879204709813e-14,-1927.3475676541182,3.22223760039278,0.025067551693398346,0.0,0.012525912467034364,0.026590457884583505,-970.0721195981193,0.36462262273398544,762.2767876290017
0.52,3049,0.39775291953590786,-2.1,0.9641704872918226,0.3361503357750609,0.0019019139630297968,0.9976045802539193,0.18527011056272868,0.67,0.005382890046735617,1.503035546312677,10275.65133268326,109.85816300702467,0.0,26.745170327849696,4.617907198120646e-08,-1.2391865311656147e-11,-2.3107128799307186e-14,-1942.1991063446246,3.2700276591190227,0.02748863912715783,0.0,0.012799031683496106,0.02697795141739426,-974.7439050488616,0.3653739295458637,765.9595897087765
0.525,3066,0.3985216411983754,-2.1,0.9656465783491355,0.29158197021675397,0.0019132684522060377,1.0712367407632306,0.1955172211176677,0.6749999999999999,0.005279649586636119,1.4668689889363196,10092.847789958736,110.18039300289936,0.0,26.78031776780863,4.616143173749093e-08,-1.2391865311656147e-11,-1.528122385690032e-14,-1956.7955288699086,3.3194064647450823,0.030052683102700227,0.0,0.013031932111198049,0.02729974369836788,-979.305208080271,0.36707091067905234,769.5476429188903
0.53,3083,0.3994027507905269,-2.092588412549721,0.9670497304413871,0.2645775395113047,0.001925415851024181,1.4181348003043162,0.14823174900557898,0.68,0.00519467951173079,1.4639215899481814,9913.24334325393,110.52525641522259,0.0,26.817044175604558,4.602185003049542e-08,-1.2278178473934531e-11,-1.7875326052294237e-14,-1971.1386702012562,3.3700800489264164,0.032750664168312196,0.0,0.013256545716951638,0.02760714639105951,-983.7582715443318,0.37067727154713676,773.0429591916487
0.535,3100,0.4001090652613183,-2.0949177788123583,0.9683845746202077,0.3416537349627672,0.0019382836239201088,2.075744435206072,0.10164442375283614,0.6850000000000002,0.005131434602161332,1.5024437992013953,9736.809751276463,110.89299230704515,0.0,26.855689506623907,4.538689612675955e-08,-1.1937117960769683e-11,-1.7308547421367835e-14,-1985.2304943926567,3.4217650950413936,0.03557280290565525,0.0,0.01350970470918458,0.02796131255971673,-988.1053348506562,0.37899490770508903,776.4475538949682
0.54,3117,0.4018580616323643,-2.0970758291713034,0.9696555665119014,0.47042020762510217,0.0019517983099355386,3.62104384754922,0.05848341657393362,0.6900000000000001,0.0050960921798549885,1.9589970870121025,9563.516860416476,111.28358802111026,0.0,26.897034125370105,4.557950459610398e-08,-1.2164491636212915e-11,-1.573900659726395e-14,-1999.0731360484647,3.474196659308254,0.03850905726339859,0.0,0.013863550573294841,0.028494576145276496,-992.3486708655809,0.4040991266566921,779.7634576630724
0.545,3144,0.40926263499364784,-2.098411162838334,0.9708669652593571,0.6737554255676355,0.00196588563982383,6.689236723884014,0.0317767432333228,0.695,0.005099626441954316,2.5393536374585137,9393.33187143326,111.69571967949764,0.0,26.943843313521125,5.848537699892108e-08,-1.1937117960769683e-11,-1.286151508640683e-14,-2012.668958269159,3.527127760616388,0.041548900283758246,0.0,0.014548664391111705,0.02966519245380547,-996.4906940539851,0.5185382747520266,782.9927357004609
0.55,3176,0.41937400556795085,-2.097624105637121,0.9720682082755004,0.6246927097153776,0.0019804706376991017,4.49012646011199,0.04751788725758227,0.7000000000000001,0.005161169349079842,2.1056594373347344,9226.219244820753,112.12659027004737,0.0,26.997056986725774,6.237676676949612e-08,-1.1596057447604835e-11,-2.7859349627843945e-14,-2026.0205592294571,3.580328431379494,0.044680892485173256,0.0,0.015651281754995975,0.031365485115536,-1000.5335830730237,0.6753388314890438,786.137520669142
0.555,3198,0.4221997884132497,-2.0956222456157696,0.9733012808464907,0.6804412547413675,0.001995477655438049,3.072667813681676,0.057448844140690576,0.7050000000000002,0.005309293654761418,2.2574824167359404,9062.140030884479,112.578858390636,0.0,27.055353355813768,3.374958102873177e-08,-1.1482370609883219e-11,-2.284553866195654e-14,-2039.130824636269,3.6335848621741067,0.047894863469199564,0.0,0.017076388423301447,0.033014912263891805,-1004.4791485947339,0.7125886013839768,789.2000633350585
0.56,3216,0.4235360553695748,-2.0933832857648715,0.9744768528875691,0.5606369723335553,0.001987286913729362,1.9327486115028316,0.05922383046855767,0.7100000000000001,0.00535967385946004,2.0311234021380358,8901.05360623426,113.05630594615225,0.0,27.11175585629124,2.2825052317546634e-08,-1.1141310096718371e-11,-2.2322358387255243e-14,-2052.0027887967112,3.68669864944458,0.051184399560876254,0.0,0.018275220708490886,0.034260925206610046,-1008.3289824232639,0.723397788468563,792.1827618906742
0.5650000000000001,3233,0.4250816396101259,-2.091184805907887,0.9755981177827392,0.4403600151999011,0.001972559578325887,2.4287686388951233,0.05300886473291517,0.715,0.005382361538767921,1.8019025959843897,8742.93097523212,113.5588711464046,0.0,27.164378356764477,3.5793276647928936e-08,-1.1254996934439987e-11,-1.743934249004316e-14,-2064.6385755607157,3.7394862430739693,0.054539569301441264,0.0,0.01910761650201121,0.03513740706186878,-1012.0850802804091,0.7280603469360392,795.0878962023032
