path_kind,moving,duration,time_skew,u,radius,mass_onset_order,predicted_angular_coefficient,angular_residual,scaled_angular_residual,angular_coefficient_ratio,material_density,material_onset_order,predicted_material_coefficient,scaled_material_density,predicted_current_coefficient,current,initial_boundary_enthalpy,roundoff_floor,log_f_onset_coefficient
direct,True,14.255,0.65,0.125,6.25,3,3.818129017975631e-08,4.099329109629878e-09,3.279463287703902e-08,0.858918929209645,2.091409975290007e-14,4,1.1876656499568697e-10,8.566415258787868e-11,1.3793965595536179e-07,1.8304265309821853e-09,-0.00016020795655557235,9.106784363817454e-18,0.00017695854395385902
waypoints,False,4.0,-0.65,0.000244140625,6.25,9,0.06970698809118026,0.0,0.0,0.0,-4.719849253971881e-32,8,-0.003747414522781176,-0.003739449837365135,0.003747414522781176,4.719849253971881e-32,-0.00016020795655557235,9.106767963639883e-18,0.09538272998102627
waypoints,False,4.0,-0.65,0.00048828125,6.25,9,0.06970698809118026,0.0,0.0,0.0,-1.2057149760986465e-29,8,-0.003747414522781176,-0.0037315071121963245,0.003747414522781176,1.2057149760986465e-29,-0.00016020795655557235,9.106767963639883e-18,0.09538272998102627
waypoints,False,4.0,-0.65,0.0009765625,6.25,9,0.06970698809118026,0.0,0.0,0.0,-3.073535532190069e-27,8,-0.003747414522781176,-0.0037156764623675646,0.003747414522781176,3.073535532190069e-27,-0.00016020795655557235,9.106767963639883e-18,0.09538272998102627
waypoints,False,4.0,-0.65,0.001953125,6.25,9,0.06970698809118026,0.0,0.0,0.0,-7.801685180524664e-25,8,-0.003747414522781176,-0.0036842416606410492,0.003747414522781176,7.801685180524664e-25,-0.00016020795655557235,9.106767963639883e-18,0.09538272998102627
waypoints,False,4.0,-0.65,0.00390625,6.25,9,0.06970698809118026,9.0801931945661e-19,0.0654296875,0.9386388551806982,-1.963637223862854e-22,8,-0.003747414522781176,-0.0036222713322207577,0.003747414522781176,1.963637223862854e-22,-0.00016020795655557235,9.106767963639987e-18,0.09538272998102627
waypoints,False,4.0,-0.65,0.0078125,6.25,9,0.06970698809118026,1.1151019344013413e-16,0.062774658203125,0.9005504314863322,-4.8597975268192444e-20,8,-0.003747414522781176,-0.003501853172940673,0.003747414522781176,4.8597975268192444e-20,-0.00016020795655557235,9.106767963652559e-18,0.09538272998102627
waypoints,False,4.0,-0.65,0.015625,6.25,9,0.06970698809118026,1.287419606685325e-14,0.05662131309509277,0.8122759947830372,-1.1633457802120884e-17,8,-0.003747414522781176,-0.003274527263916375,0.003747414522781176,1.1633457802120884e-17,-0.00016020795655557235,9.106767965103171e-18,0.09538272998102627
waypoints,False,4.0,-0.65,0.03125,6.25,9,0.06970698809118026,1.3471763309937101e-12,0.04628862626850605,0.6640457081284045,-2.6098146286363392e-15,8,-0.003747414522781176,-0.0028695215305255583,0.003747414522781176,2.6098146286363392e-15,-0.00016020795655557235,9.106768116718199e-18,0.09538272998102627
waypoints,False,4.0,-0.65,0.0625,6.25,9,0.06970698809118026,1.1765242844904728e-10,0.03158208328022738,0.4530691132274489,-5.184197745203761e-13,8,-0.003747414522781176,-0.0022265959771647094,0.003747414522781176,5.184197745203761e-13,-0.00016020795655557235,9.106781322778928e-18,0.09538272998102627
waypoints,False,4.0,-0.65,0.125,6.25,9,0.06970698809118026,7.650021047894435e-09,0.01604325694063391,0.23015277779106624,-8.396358541615561e-11,8,-0.003747414522781176,-0.0014086752086612925,0.003747414522781176,8.396358541615561e-11,-0.00016020795655557235,9.107634629220633e-18,0.09538272998102627
waypoints,True,4.0,-0.65,0.000244140625,6.25,9,0.06970698809118026,0.0,0.0,0.0,-5.4738221262549115e-48,16,0.08765554412823463,-34359738367.912716,0.003747414522781176,4.719849253971881e-32,-0.00016020795655557235,9.106767963639883e-18,0.09538272998102627
