s,x_maximum_difference,x_rms_difference,x_relative_rms_difference,velocity_maximum_difference,velocity_rms_difference,velocity_relative_rms_difference,heat_maximum_difference,heat_rms_difference,heat_relative_rms_difference,charge_maximum_difference,charge_rms_difference,charge_relative_rms_difference,density_maximum_difference,density_rms_difference,density_relative_rms_difference,radial_maximum_difference,radial_rms_difference,radial_relative_rms_difference,current_maximum_difference,current_rms_difference,current_relative_rms_difference,angular_maximum_difference,angular_rms_difference,angular_relative_rms_difference
0.31,0.006558609020505535,0.0011531015898500654,0.0008046756093826211,0.6759705356562069,0.09321568441833733,0.16615497137003207,0.1281733147386106,0.028638448741128707,0.0070102086956230865,0.0,0.0,0.0,0.3310217712095262,0.01729568102048175,0.7797781123504697,0.06645583096288724,0.003852244636685082,0.8134756219679242,0.0401553796169243,0.005054208610553318,1.1615698583891407,0.0,0.0,0.0
0.315,0.006845817908099128,0.0012126863807102384,0.0008453698850081084,0.7956928452889602,0.0936629970077073,0.16477930454988135,0.12817356544959324,0.028670023994402483,0.007021734021381286,0.0,0.0,0.0,0.0719344333814568,0.0057396973827495874,0.4300109395595849,0.016428947857360675,0.0018531059713815434,0.5322277850434933,0.05787412129230934,0.005550898449996927,1.1133633844629016,0.0,0.0,0.0
0.32,0.00714042240782331,0.0012010887905030514,0.0008364043652638562,0.9375132250608986,0.09591989180664472,0.1666178025495903,0.1281738201666176,0.028706475122983365,0.007034659326624246,0.0,0.0,0.0,0.03403420179614497,0.0038956412907415632,0.3171774817357436,0.016052289185931132,0.001491662447867041,0.4485377726610498,0.03796785647882522,0.0046314646114648025,0.9477053301220832,0.0,0.0,0.0
0.325,0.007441814435214078,0.0012153489528894323,0.0008454341562074788,0.9420747691131706,0.09653906953852638,0.16655498512084274,0.12817407840657147,0.028747775450402666,0.007048963614182867,0.0,0.0,0.0,0.0862593079862527,0.007013164972374183,0.464610674925536,0.024190806004987617,0.0019918882869316757,0.5547990778340762,0.04158337401535492,0.004855495623661048,0.9034963795345664,0.0,0.0,0.0
0.33,0.007749308644918851,0.0012236098016133476,0.0008502644983847759,0.6839540249581494,0.08698000290667679,0.14929393334591606,0.12817433958289204,0.02879374121514974,0.007064587134006445,0.0,0.0,0.0,0.3353356401101853,0.026279168603325864,0.7969779830477343,0.08000010574866116,0.00636423116171394,0.7785782029620406,0.054517487611367786,0.00604141797383814,1.0585096054117629,0.0,0.0,0.0
0.335,0.008062154824925338,0.001186565864945263,0.000823626179882378,0.8612975848854898,0.10390646962612336,0.17529825095897336,0.128174602952571,0.02884387744759633,0.007081392767202055,0.0,0.0,0.0,0.10082355812944827,0.008149221586090084,0.48474387473958663,0.04713042583850251,0.003564418159112941,0.7303664057723323,0.08901451029573629,0.006928373708598889,0.9388647169375431,0.0,0.0,0.0
0.34,0.008379555806421024,0.0012021799457044675,0.0008335467025378253,0.9991999687853919,0.10181744388015548,0.17011032634668352,0.1281748677469876,0.028897205019968723,0.007099123545116218,0.0,0.0,0.0,0.030716834247993652,0.0030437070576383603,0.22449590722179033,0.013202284746392746,0.0016370402485564987,0.44772133408660064,0.03186995766987309,0.0033563968599573837,0.6053791841212522,0.0,0.0,0.0
0.34500000000000003,0.008700687267417462,0.0012893576688533764,0.0008930003393056091,0.9394249638355082,0.09878981263190897,0.16347023599883082,0.1281751332306218,0.028952707351256,0.007117512661269243,0.0,0.0,0.0,0.04605056869293275,0.0046711785743777864,0.3148361164511732,0.01418948236176442,0.001501644558254222,0.3945747209676003,0.031371397055315456,0.0035260100802527107,0.6197803089066847,0.0,0.0,0.0
0.35000000000000003,0.009024718809123367,0.001401297842061854,0.0009694538532794352,0.7803059328643304,0.08519697668801682,0.13979920985047684,0.12817539871048922,0.029009372985680203,0.007136290810467796,0.0,0.0,0.0,0.501264162364115,0.03899612837612293,2.191743637250398,0.17605229492155947,0.012221948453039302,2.9799677251735983,0.03519174947033214,0.003506273766338566,0.5860238060197159,0.0,0.0,0.0
0.355,0.00935083959786931,0.0013849645518811823,0.0009570995444872351,1.0858253060651024,0.128906590823931,0.2098247426497502,0.12817566355111598,0.02906604710922609,0.00715514707067928,0.0,0.0,0.0,0.08234017385568129,0.0067213751943457625,0.39962759335189435,0.03252687886005595,0.002934112726206327,0.5461021187513928,0.07882780232057879,0.007387049208537153,0.9450971600651388,0.0,0.0,0.0
0.36,0.009678290912973342,0.0014432745495249067,0.000996288673087517,1.0347209977882712,0.10606520675943137,0.17145446569093084,0.1281759272036842,0.02912189505719536,0.007173846672229612,0.0,0.0,0.0,0.08950116242141827,0.010798507795068907,0.6316649463394627,0.036429494063406405,0.004296627642839733,0.8116927578322792,0.07642728471475599,0.008830053884576904,1.1783412539623075,0.0,0.0,0.0
0.365,0.010006407946483664,0.001531943358484362,0.0010563118745327783,0.9080900363228132,0.10602521306787167,0.17005402466560107,0.12817618919089036,0.029176265466565647,0.007192198260118615,0.0,0.0,0.0,0.09100861731610214,0.009119745045097973,0.5331508671312772,0.04443585992485262,0.004448370643906281,0.8890259589891752,0.06725391691841633,0.007664155003154719,1.0386634352847277,0.0,0.0,0.0
0.37,0.01033467003505506,0.0016006767700251364,0.001102457502363348,1.3202520390684165,0.13997981025372552,0.22236652388389547,0.1281764491043651,0.029228384224241018,0.007209978417734608,0.0,0.0,0.0,0.0859012918183721,0.007480426935246257,0.40095782812158726,0.02974174032278644,0.002501350295421482,0.46546793571467104,0.09039651226049725,0.008956849411036699,1.0955725197620136,0.0,0.0,0.0
0.375,0.010662737087240637,0.0017350182287626916,0.0011936210395515122,1.2929583385423689,0.13497904216297932,0.21249182190535318,0.12817670660526126,0.02927838746279899,0.007227187691449172,0.0,0.0,0.0,0.054313285051097476,0.007018306888860693,0.41443202289658326,0.013764874458216371,0.001926502137224212,0.45369450717666376,0.05250722559004412,0.006391268462573369,0.9547392878793487,0.0,0.0,0.0
