s,x_maximum_difference,x_rms_difference,x_relative_rms_difference,velocity_maximum_difference,velocity_rms_difference,velocity_relative_rms_difference,heat_maximum_difference,heat_rms_difference,heat_relative_rms_difference,charge_maximum_difference,charge_rms_difference,charge_relative_rms_difference,density_maximum_difference,density_rms_difference,density_relative_rms_difference,radial_maximum_difference,radial_rms_difference,radial_relative_rms_difference,current_maximum_difference,current_rms_difference,current_relative_rms_difference,angular_maximum_difference,angular_rms_difference,angular_relative_rms_difference
0.165,0.008865782480217743,0.001314623005132878,0.0009408835310704888,0.29079578432845904,0.030056919241689142,0.08376387425559603,0.12438805931991714,0.026091432660638722,0.00808130416863478,0.0022004723045802588,0.0004229256305968316,0.003851073872775117,0.016513777340598224,0.0014600259109608272,0.18740779339034458,0.0013808559454837922,0.00014256344337557325,0.04405479748641886,0.00822809474578598,0.0006821574329777644,0.5055082453073617,8.608600292838667e-06,1.1798764263281888e-06,0.006327989689688433
0.17,0.009070984428310447,0.0013292614852712737,0.0009506621262006594,0.3565560325505648,0.03504071015488341,0.09556473173587773,0.12452337010646808,0.026096697026600675,0.008076874512404719,0.0022004723045802588,0.0004229256305968316,0.003851073872775117,0.01887991270916822,0.0020215754959636042,0.24438194474975575,0.0031407731400935725,0.00028900113972243696,0.08996043480493901,0.008021417468543929,0.00083259407315732,0.5278408674716086,8.64085673393675e-06,1.1797229285042881e-06,0.006330869284927855
0.17500000000000002,0.009296261764853764,0.0013412575090520481,0.0009585201491446611,0.47444000200934056,0.04809962571100935,0.12820289875245702,0.12467931639277374,0.02610237192067535,0.008072749349200794,0.0022004723045802588,0.0004229256305968316,0.003851073872775117,0.025540086969906235,0.0030155511481080107,0.33998815973179447,0.008192695595176044,0.0008165952376884665,0.25555759053216714,0.014586657668676515,0.0017909423747875597,0.7672417126522182,8.673683144049145e-06,1.1801906513042426e-06,0.006337187789972772
0.18,0.009577219200927578,0.001324909506430286,0.0009461092564879272,0.4640946579487707,0.06300565171784794,0.16438375461426816,0.1248551749594462,0.02610855959717194,0.008068982884863109,0.0022004723045802588,0.0004229256305968316,0.003851073872775117,0.02313316156943921,0.002535674429002647,0.28311357271988585,0.007474098555652016,0.0006010505781158696,0.18891697602090457,0.013233851018383997,0.0014109827302070128,0.6916215512190551,8.503763096767724e-06,1.1732639441114593e-06,0.006303908032514358
0.185,0.009869957671250873,0.0013183678491846698,0.0009406987819595977,0.5260988334422507,0.06551515567587785,0.16738709915391517,0.1250499920370074,0.02611536291508794,0.00806562934445863,0.0022004723045802588,0.0004229256305968316,0.003851073872775117,0.025858460528007145,0.0021277777069327753,0.2090221453044136,0.0021052321812872095,0.0002382885871855445,0.07495984292034763,0.008546953802241264,0.0008559130742378424,0.5090666467427095,8.250819230230051e-06,1.1672502774147113e-06,0.006275604976236256
0.19,0.010178521418128028,0.0013213996233519393,0.0009421104708813682,0.6708113759953822,0.06859090707227872,0.17235365191539156,0.12526256748851772,0.02612298249286827,0.008062773095381604,0.0022004723045802588,0.0004229256305968316,0.003851073872775117,0.050070085622743926,0.0038462960031115496,0.30088054287628835,0.008811710179497044,0.0008418830194882346,0.2594177908879755,0.013239197152302328,0.0012623580997943526,0.6291730248993089,8.06447687003712e-06,1.156757481146361e-06,0.006223276737001109
0.195,0.010507388013797025,0.001309335268287333,0.000932758189655222,0.5340679200713101,0.06756209341373098,0.1662057158487065,0.12549144579721094,0.02613165894104362,0.008060510783372509,0.0022004723045802588,0.0004229256305968316,0.003851073872775117,0.07521330234644305,0.006666701490058622,0.6961410543373742,0.011736378225799076,0.0008005367946248161,0.2563457035677377,0.01035098368888291,0.0009474725750059505,0.5122969115339941,8.001693594498588e-06,1.1449704281083083e-06,0.0061640422706558595
0.2,0.010861531781719114,0.0012936972049496336,0.0009208636717280373,0.6034238632554431,0.07809547121568043,0.18831586854183924,0.12573490742098503,0.02614159050467028,0.00805892593227064,0.0022004723045802588,0.0004229256305968316,0.003851073872775117,0.0747790970983152,0.005546230373883026,0.6351021903868566,0.0086231799592636,0.0005271799702904051,0.17057151195572598,0.00961237413381346,0.000991328791669064,0.5128070387536438,7.982985470418741e-06,1.1380879243802068e-06,0.006131245524252122
0.20500000000000002,0.011246496711665999,0.0012981882042341756,0.0009232893320709728,0.5388576781077692,0.07974324777978757,0.18894923172681247,0.1259909604747973,0.026152918285264178,0.008058084795667811,0.0022004723045802588,0.0004229256305968316,0.003851073872775117,0.054496497925068485,0.004050695512798251,0.44827882211597797,0.004647529501822797,0.00041240596051271,0.13339093840322006,0.020267290198553882,0.0015923895674726804,0.7634380506142989,8.020551057627204e-06,1.1360192683747731e-06,0.0061244680535737
0.21,0.011668471543052727,0.0013286589116543175,0.0009441562070701292,0.693219867616564,0.0850482566430162,0.19755559647454782,0.12625733267552608,0.02616548540305628,0.00805796241782608,0.0022004723045802588,0.0004229256305968316,0.003851073872775117,0.04101829638093743,0.0037737838823958,0.38557116196440766,0.010318811732330794,0.0008717604187215859,0.2736912700568832,0.035419728640700886,0.0026394609094793735,0.9906352123167299,8.304283898190621e-06,1.136621885096927e-06,0.006132188396710836
