regulator,coordinate,pressure_derivative,lapse_term,angular_term,material_exchange,active,absolute_residual,relative_residual
4.0,5.000193321273031,-1.99626147561674e-05,-8.451652638084114e-12,1.971298816517975e-05,3.113632129784694e-07,True,6.172817033818282e-08,0.0015437069440064188
4.0,5.062693040179293,-1.7426541717708674e-05,-4.2936537028792724e-12,1.7162469768863243e-05,2.415296564139008e-07,True,2.2546586085232588e-08,0.0006473222225660299
4.0,5.125192759134624,-1.5185290890976753e-05,-2.176425944310156e-12,1.5008150516209001e-05,1.8675494721887284e-07,True,9.612396025177314e-09,0.0003164033314470417
4.0,5.187692478115564,-1.318830998511232e-05,-1.0862288216927587e-12,1.302623269665496e-05,1.4390445761588656e-07,True,1.8173917070295904e-08,0.0006894911610402264
4.0,5.250192197110776,-1.1463938903540182e-05,-5.404581685677327e-13,1.1348292246570977e-05,1.1045135886434043e-07,True,5.19583856303365e-09,0.00022666799308914315
4.0,5.312691916112724,-9.917548456256341e-06,-2.649987001198008e-13,9.820228973088761e-06,8.438278170994995e-08,True,1.2936966456329353e-08,0.000652651686074175
4.0,5.3751916351194176,-8.560972097375685e-06,-1.2930737211936094e-13,8.515412480348757e-06,6.414416163118245e-08,True,1.8584415296881924e-08,0.001084238149200793
4.0,5.437691354129168,-7.407337801671952e-06,-6.229045339051864e-14,7.346524025842899e-06,4.845312671750104e-08,True,1.2360711402005064e-08,0.0008350525838835111
4.0,5.500191073138915,-6.363332507042025e-06,-2.976237890197557e-14,6.3320755396711264e-06,3.635235382218942e-08,True,5.095356688912398e-09,0.0004002083385724882
4.0,5.562690792148608,-5.464500434521701e-06,-1.4077447001884386e-14,5.443585059770573e-06,2.703344117686348e-08,True,6.118052348288648e-09,0.0005594865841438632
4.0,5.625190511158356,-4.690268043740776e-06,-6.575652792259072e-15,4.6570321938866705e-06,1.9905700625566863e-08,True,1.3330155804191821e-08,0.0014230663746163253
4.0,5.687690230168106,-4.006492727166897e-06,-3.0487221494889108e-15,3.98343369097723e-06,1.4465715040413167e-08,True,8.59332419797579e-09,0.0010735761131787415
4.0,5.750189949177854,-3.3838510083069885e-06,-1.3889547412744602e-15,3.3758269464031085e-06,1.0348469939479175e-08,True,2.3244066466443115e-09,0.0003433378986091246
4.0,5.812689668187604,-2.8577767521406146e-06,-6.299507884107753e-16,2.867463156771875e-06,7.2444705726538495e-09,True,1.6930874573963687e-08,0.0029534968525503
4.0,5.875189387197352,-2.4107148451119473e-06,-2.7906323156403646e-16,2.4012365027601727e-06,4.928540684384319e-09,True,4.549801946453286e-09,0.0009445537467103327
4.0,5.937689106207101,-1.9970647668466867e-06,-1.2317066282279238e-16,2.016802399623243e-06,3.2125882331445967e-09,True,2.2950220886529853e-08,0.005713160377001911
4.0,6.000188825216852,-1.6824020268226733e-06,-5.28066914715299e-17,1.6613254056231901e-06,1.9586043682686837e-09,True,1.9118016884021243e-08,0.005714229211394944
4.0,6.250187701255848,-6.832013377160455e-07,-1.4525657197964163e-18,6.845939445278966e-07,-3.2250511054951075e-10,False,1.0701016998490147e-09,0.0007821707383229903
4.0,6.500186577294843,-1.4291312474288347e-07,-1.2926892876996298e-20,1.4560458827122728e-07,-6.750581500210563e-10,False,2.0164053783098344e-09,0.00697253036510145
4.0,6.750185453333838,1.4059967002065548e-07,1.0296563808591914e-21,-1.3902351991968843e-07,-5.300361726827781e-10,False,1.0461139282852982e-09,0.003734077750235308
4.0,7.000184329372779,2.815218108647804e-07,-2.5904808218588804e-22,-2.770691415565234e-07,-3.284514923449311e-10,False,4.124217815911809e-09,0.007378913287020156
4.0,7.2501832054117745,3.3382532042438117e-07,-1.0434985056731343e-21,-3.319417585053263e-07,-1.773374180349011e-10,False,1.7062245010188898e-09,0.0025621124813635077
4.0,7.50018208145077,3.407702613544621e-07,-1.5181173197188883e-21,-3.420018917183218e-07,-8.351663866550136e-11,False,1.3151470025267169e-09,0.001925951648146157
4.0,7.750180957489766,3.2779053239204107e-07,-1.5353418158547212e-21,-3.2793289374391363e-07,-3.1200467524778526e-11,False,1.7356181939887607e-10,0.00026467494449539694
