grid,s,l,field,reference,interpolated,relative_error
coarse,1.1005794146765688,5.9754127984452285,beta,0.0,1.8315553247740691e-47,1.8315553247740691e-47
coarse,1.1005794146765688,5.9754127984452285,gamma_ll,1.000000000000067,1.000000000000067,0.0
coarse,1.1005794146765688,5.9754127984452285,gamma_omega,38.76808226555604,38.76808224630354,4.966068827974549e-10
coarse,2.2634753117911495,2.678014612274575,alpha,1.0012046299123916,1.001204623448163,6.456450852000968e-09
coarse,2.2634753117911495,2.678014612274575,beta,-0.0023750345480765566,-0.0023749928801060126,4.166797054399804e-08
coarse,2.2634753117911495,2.678014612274575,gamma_ll,1.0043723801742408,1.0043723574453565,2.2629937639512735e-08
coarse,2.2634753117911495,2.678014612274575,gamma_omega,10.42523675671971,10.425236787060097,2.910282702583604e-09
coarse,0.3182384836995824,4.147868694117706,alpha,1.0000039409000754,1.000003940885191,1.4884257344568734e-11
coarse,0.3182384836995824,4.147868694117706,beta,1.2396564148922918e-63,-7.227868203130201e-37,7.227868203130201e-37
coarse,0.3182384836995824,4.147868694117706,gamma_ll,1.0000142990452943,1.0000142989912904,5.4003140259678106e-11
coarse,0.3182384836995824,4.147868694117706,gamma_omega,20.292391475744893,20.29239147469646,5.166637109167895e-11
coarse,-1.0049916863659658,3.2365773559775217,alpha,1.0037444917557623,1.0037444383830298,5.3173624258210837e-08
coarse,-1.0049916863659658,3.2365773559775217,beta,1.5628915363353244e-36,1.4649214752972851e-27,1.4649214737343937e-27
coarse,-1.0049916863659658,3.2365773559775217,gamma_ll,1.0136364348656564,1.0136362442413949,1.88059796323447e-07
coarse,-1.0049916863659658,3.2365773559775217,gamma_omega,13.790863361488167,13.790863367074634,4.0508460233078934e-10
coarse,-1.489769751017426,-4.236888495139576,alpha,1.0000020524991002,1.0000020523973738,1.0172619628440287e-10
coarse,-1.489769751017426,-4.236888495139576,beta,6.146549043085286e-74,-2.5661753623871687e-21,2.5661753623871687e-21
coarse,-1.489769751017426,-4.236888495139576,gamma_ll,1.0000074472131988,1.0000074468441025,3.6909356035345816e-10
coarse,-1.489769751017426,-4.236888495139576,gamma_omega,21.032979043839333,21.032979027516983,7.760360365521042e-10
coarse,2.3809205209417237,-2.5818786184770692,alpha,1.0005814591719007,1.0005814578307546,1.340366714558225e-09
coarse,2.3809205209417237,-2.5818786184770692,beta,0.0,-7.03178144817387e-50,7.03178144817387e-50
coarse,2.3809205209417237,-2.5818786184770692,gamma_ll,1.0021109484141013,1.0021109436047215,4.799248816632072e-09
coarse,2.3809205209417237,-2.5818786184770692,gamma_omega,9.889336981598161,9.889336993152527,1.1683661274850069e-09
coarse,0.8802596746580349,-1.8738359517113832,alpha,4.868603437785172,4.86860297678252,9.468888931773827e-08
coarse,0.8802596746580349,-1.8738359517113832,beta,1.2127223467151727e-44,-8.039244994713019e-23,8.039244994713019e-23
coarse,0.8802596746580349,-1.8738359517113832,gamma_ll,72.74870326422611,72.7486120381149,1.253989516181698e-06
coarse,0.8802596746580349,-1.8738359517113832,gamma_omega,7.855331358136682,7.855334063803581,3.444370168565506e-07
coarse,2.20111316432177,-3.032361779598346,alpha,1.0002574131430961,1.0002574098166106,3.325629470739241e-09
coarse,2.20111316432177,-3.032361779598346,beta,0.0,-6.145102243152943e-53,6.145102243152943e-53
coarse,2.20111316432177,-3.032361779598346,gamma_ll,1.0009342232304081,1.0009342111737856,1.2045369525155689e-08
coarse,2.20111316432177,-3.032361779598346,gamma_omega,12.383865564494583,12.383865575793553,9.123944853208264e-10
coarse,-0.345317247859908,0.5597936494011888,alpha,431.7523835770369,431.79634088533555,0.00010181138534659504
coarse,-0.345317247859908,0.5597936494011888,beta,-0.0026554542729095515,-0.00265518274879747,2.715241120814643e-07
coarse,-0.345317247859908,0.5597936494011888,gamma_ll,346675.9905416952,346734.98731626733,0.00017017842648963817
coarse,-0.345317247859908,0.5597936494011888,gamma_omega,4.564377442082169,4.564377451481572,2.0592957425088026e-09
coarse,-0.2728948413663448,4.135792970043397,alpha,1.0000047989595695,1.0000047987285385,2.3102986342797832e-10
coarse,-0.2728948413663448,4.135792970043397,beta,6.15626172149466e-50,2.1887493598302913e-32,2.1887493598302913e-32
coarse,-0.2728948413663448,4.135792970043397,gamma_ll,1.0000174124176924,1.0000174115794436,8.382342080187139e-10
coarse,-0.2728948413663448,4.135792970043397,gamma_omega,20.193355931821326,20.193355910770496,1.0424631984512206e-09
coarse,2.272128913102564,-2.0266155220469324,alpha,1.018434555879768,1.0184345867230284,3.028497041080146e-08
coarse,2.272128913102564,-2.0266155220469324,beta,0.0,7.395577808564166e-42,7.395577808564166e-42
coarse,2.272128913102564,-2.0266155220469324,gamma_ll,1.068096277776591,1.0680963969382726,1.115645509796427e-07
coarse,2.272128913102564,-2.0266155220469324,gamma_omega,7.50296396193975,7.502963926709484,4.6955132508494415e-09
coarse,2.5318655889762685,1.402743921061619,alpha,1.0005580991400151,1.0005581134640438,1.4316038860909547e-08
coarse,2.5318655889762685,1.402743921061619,beta,-4.476450588673995e-07,-4.4755084988768737e-07,9.420897971214925e-11
coarse,2.5318655889762685,1.402743921061619,gamma_ll,1.0019724641887722,1.0019725170098122,5.271705747837024e-08
coarse,2.5318655889762685,1.402743921061619,gamma_omega,5.2115456975589805,5.211545699789288,4.279550873532377e-10
coarse,2.734398777659049,5.26902785798957,alpha,1.0,1.0,0.0
coarse,2.734398777659049,5.26902785798957,beta,0.0,-7.905117356757742e-26,7.905117356757742e-26
coarse,2.734398777659049,5.26902785798957,gamma_ll,1.0,1.0,0.0
coarse,2.734398777659049,5.26902785798957,gamma_omega,30.82519562222528,30.825195623684195,4.732864584710618e-11
coarse,0.037802284119540897,-1.7518619279881928,alpha,22.54764804917541,22.547647656323015,1.7423209511277455e-08
coarse,0.037802284119540897,-1.7518619279881928,beta,-2.8627021596016573e-10,-2.862248191843e-10,4.539677586570787e-14
coarse,0.037802284119540897,-1.7518619279881928,gamma_ll,1704.7464092610937,1704.7463160280315,5.469028220843976e-08
coarse,0.037802284119540897,-1.7518619279881928,gamma_omega,7.484907624921329,7.484907623249125,2.2341006631371373e-10
coarse,-1.2692425008458774,-2.922572531726614,alpha,1.0263167512572493,1.026316449366288,2.9414989180559493e-07
