initial_l,minimum_preload,min_source_integral
-1.4175000000000004,1.6301991155017168e-07,-1.6301991155017168e-07
-1.3950000000000005,1.5142759545049192e-07,-1.5142759545049192e-07
-1.3725000000000005,2.049336095651102e-07,-2.049336095651102e-07
-1.3500000000000005,3.2110209466521035e-07,-3.2110209466521035e-07
-1.3275000000000006,4.5540872520472035e-07,-4.5540872520472035e-07
-1.3050000000000006,6.039127576957146e-07,-6.039127576957146e-07
-1.2825000000000006,7.767449240537792e-07,-7.767449240537792e-07
-1.2600000000000007,9.708063808210715e-07,-9.708063808210715e-07
-1.2375000000000007,1.113222484621353e-06,-1.113222484621353e-06
-1.2149999999999999,1.186094683435782e-06,-1.186094683435782e-06
-1.1925,1.7829389405924976e-06,-1.7829389405924976e-06
-1.17,2.2170963170292692e-06,-2.2170963170292692e-06
-1.1475,2.1579768819760397e-06,-2.1579768819760397e-06
-1.125,8.266043086263246e-06,-8.266043086263246e-06
-1.1025,2.516829817870481e-05,-2.516829817870481e-05
-1.08,4.810719520495704e-05,-4.810719520495704e-05
-1.0575,4.981260024472763e-05,-4.981260024472763e-05
-1.0350000000000001,2.939200327348108e-05,-2.939200327348108e-05
-1.0125000000000002,5.457155538739997e-06,-5.457155538739997e-06
-0.9900000000000002,-0.0,0.0
-0.9675000000000011,-0.0,0.0
-0.9450000000000003,-0.0,0.0
-0.9224999999999994,6.024398718269496e-06,-6.024398718269496e-06
-0.9000000000000004,1.4933685397350287e-05,-1.4933685397350287e-05
-0.8774999999999995,1.6627289107035534e-05,-1.6627289107035534e-05
-0.8550000000000004,1.244402341010491e-05,-1.244402341010491e-05
-0.8324999999999996,5.96276592757098e-06,-5.96276592757098e-06
-0.8100000000000005,1.7225873506450701e-06,-1.7225873506450701e-06
-0.7874999999999996,-0.0,0.0
-0.7650000000000006,-0.0,0.0
-0.7424999999999997,-0.0,0.0
-0.7200000000000006,4.3237940162050003e-07,-4.3237940162050003e-07
-0.6974999999999998,1.384545243810561e-06,-1.384545243810561e-06
-0.6750000000000007,1.5176559872600944e-06,-1.5176559872600944e-06
-0.6524999999999999,1.1065487117515769e-06,-1.1065487117515769e-06
-0.6300000000000008,1.0526415259228232e-06,-1.0526415259228232e-06
-0.6074999999999999,9.880751875795662e-07,-9.880751875795662e-07
-0.5850000000000009,1.1735664039976675e-06,-1.1735664039976675e-06
-0.5625,1.7876451984485883e-06,-1.7876451984485883e-06
-0.5400000000000009,3.0458521146986616e-06,-3.0458521146986616e-06
-0.5175000000000001,5.342419171701453e-06,-5.342419171701453e-06
-0.495000000000001,9.530024503330207e-06,-9.530024503330207e-06
-0.47250000000000014,1.7277991734593428e-05,-1.7277991734593428e-05
-0.45000000000000107,3.220465750260705e-05,-3.220465750260705e-05
-0.4275000000000002,6.181194715616899e-05,-6.181194715616899e-05
-0.40500000000000114,0.00012225514964420966,-0.00012225514964420966
-0.3825000000000003,0.00024528267679837194,-0.00024528267679837194
-0.35999999999999943,0.00048409507304065185,-0.00048409507304065185
-0.33750000000000036,0.000890951785145733,-0.000890951785145733
-0.3149999999999995,0.001480016558345978,-0.001480016558345978
-0.2925000000000004,0.004970898979909139,-0.004970898979909139
-0.2699999999999996,0.013291544199185079,-0.013291544199185079
-0.2475000000000005,0.023047986424827156,-0.023047986424827156
-0.22499999999999964,0.029383675032576755,-0.029383675032576755
-0.20250000000000057,0.029959573579723318,-0.029959573579723318
-0.17999999999999972,0.025452015023198528,-0.025452015023198528
-0.15750000000000064,0.017714877473870693,-0.017714877473870693
-0.1349999999999998,0.008823709421505399,-0.008823709421505399
-0.11250000000000071,0.008397589965597235,-0.008397589965597235
-0.08999999999999986,0.012577794970067467,-0.012577794970067467
-0.06750000000000078,0.01634064526700856,-0.01634064526700856
-0.04499999999999993,0.019145578141055792,-0.019145578141055792
-0.022500000000000853,0.02121997824928637,-0.02121997824928637
0.0,0.023194838302404146,-0.023194838302404146
0.022499999999999076,0.02538367225496243,-0.02538367225496243
0.04499999999999993,0.02752604906111565,-0.02752604906111565
0.067499999999999,0.0287912933398931,-0.0287912933398931
0.08999999999999986,0.028368952927966002,-0.028368952927966002
0.11249999999999893,0.025831491377918344,-0.025831491377918344
0.1349999999999998,0.021271915771229874,-0.021271915771229874
0.15749999999999886,0.01536986489316883,-0.01536986489316883
0.17999999999999972,0.00912793971527352,-0.00912793971527352
0.2024999999999988,0.0036297572338975094,-0.0036297572338975094
0.22499999999999964,0.0030874667338161204,-0.0030874667338161204
0.2475000000000005,0.004875014451973861,-0.004875014451973861
0.2699999999999996,0.006883401093807451,-0.006883401093807451
