s,l,field,reference,interpolated,relative_error
-1.5,7.5,gamma_omega,59.31250000885164,59.3125,1.4923739469469864e-10
-1.5,7.625,alpha,1.0,1.0,0.0
-1.5,7.625,beta,0.0,0.0,0.0
-1.5,7.625,gamma_ll,1.0,1.0,0.0
-1.5,7.625,gamma_omega,61.203125004221945,61.20312500000002,6.89821662428217e-11
-1.5,7.75,alpha,1.0,1.0,0.0
-1.5,7.75,beta,0.0,0.0,0.0
-1.5,7.75,gamma_ll,1.0,1.0,0.0
-1.5,7.75,gamma_omega,63.1250000019873,63.12500000000001,3.148191146618277e-11
-1.5,7.875,alpha,1.0,1.0,0.0
-1.5,7.875,beta,0.0,0.0,0.0
-1.5,7.875,gamma_ll,1.0,1.0,0.0
-1.5,7.875,gamma_omega,65.07812500092317,65.078125,1.4185496954558187e-11
-1.5,8.0,alpha,1.0,1.0,0.0
-1.5,8.0,beta,0.0,0.0,0.0
-1.5,8.0,gamma_ll,1.0,1.0,0.0
-1.5,8.0,gamma_omega,67.06250000042323,67.06249999999999,6.31115580212772e-12
-1.21875,-8.0,alpha,1.0,1.0,0.0
-1.21875,-8.0,beta,0.0,0.0,0.0
-1.21875,-8.0,gamma_ll,1.0,1.0,0.0
-1.21875,-8.0,gamma_omega,67.06250000042323,67.06249999999999,6.31115580212772e-12
-1.21875,-7.875,alpha,1.0,1.0,0.0
-1.21875,-7.875,beta,0.0,0.0,0.0
-1.21875,-7.875,gamma_ll,1.0,1.0,0.0
-1.21875,-7.875,gamma_omega,65.07812500092317,65.078125,1.4185496954558187e-11
-1.21875,-7.75,alpha,1.0,1.0,0.0
-1.21875,-7.75,beta,0.0,0.0,0.0
-1.21875,-7.75,gamma_ll,1.0,1.0,0.0
-1.21875,-7.75,gamma_omega,63.125000001987274,63.12500000000001,3.148146122128093e-11
-1.21875,-7.625,alpha,1.0,1.0,0.0
-1.21875,-7.625,beta,0.0,0.0,0.0
-1.21875,-7.625,gamma_ll,1.0,1.0,0.0
-1.21875,-7.625,gamma_omega,61.2031250042219,61.20312500000002,6.898146966786511e-11
-1.21875,-7.5,alpha,1.0,1.0,0.0
-1.21875,-7.5,beta,0.0,0.0,0.0
-1.21875,-7.5,gamma_ll,1.0,1.0,0.0
-1.21875,-7.5,gamma_omega,59.312500008851515,59.3125,1.4923523835847273e-10
-1.21875,-7.375,alpha,1.0,1.0,0.0
-1.21875,-7.375,beta,0.0,0.0,0.0
-1.21875,-7.375,gamma_ll,1.0,1.0,0.0
-1.21875,-7.375,gamma_omega,57.453125018314026,57.45312499999998,3.187650308288723e-10
-1.21875,-7.25,alpha,1.0,1.0,0.0
-1.21875,-7.25,beta,0.0,0.0,0.0
-1.21875,-7.25,gamma_ll,1.0,1.0,0.0
-1.21875,-7.25,gamma_omega,55.625000037393775,55.62499999999998,6.722480265807662e-10
-1.21875,-7.125,alpha,1.0,1.0,0.0
-1.21875,-7.125,beta,0.0,0.0,0.0
-1.21875,-7.125,gamma_ll,1.0,1.0,0.0
-1.21875,-7.125,gamma_omega,53.82812507534564,53.82812500000001,1.3997446845920284e-09
-1.21875,-7.0,alpha,1.0,1.0,0.0
-1.21875,-7.0,beta,0.0,0.0,0.0
-1.21875,-7.0,gamma_ll,1.0,1.0,0.0
-1.21875,-7.0,gamma_omega,52.06250014981454,52.0625,2.8775901850590223e-09
-1.21875,-6.875,alpha,1.0,1.0,0.0
-1.21875,-6.875,beta,0.0,0.0,0.0
-1.21875,-6.875,gamma_ll,1.0,1.0,0.0
-1.21875,-6.875,gamma_omega,50.32812529395463,50.328125,5.840762516651717e-09
-1.21875,-6.75,alpha,1.0,1.0,0.0
-1.21875,-6.75,beta,0.0,0.0,0.0
-1.21875,-6.75,gamma_ll,1.0,1.0,0.0
-1.21875,-6.75,gamma_omega,48.62500056915466,48.625000000000014,1.1704979676155485e-08
-1.21875,-6.625,alpha,1.0,1.0,0.0
-1.21875,-6.625,beta,0.0,0.0,0.0
-1.21875,-6.625,gamma_ll,1.0,1.0,0.0
-1.21875,-6.625,gamma_omega,46.953126087418816,46.95312500000001,2.3159667946190896e-08
-1.21875,-6.5,alpha,1.0,1.0,0.0
-1.21875,-6.5,beta,0.0,0.0,0.0
-1.21875,-6.5,gamma_ll,1.0,1.0,0.0
-1.21875,-6.5,gamma_omega,45.31250205008819,45.3125,4.524332356191036e-08
-1.21875,-6.375,alpha,1.0000000000000004,1.0,4.440892098500624e-16
-1.21875,-6.375,beta,0.0,0.0,0.0
-1.21875,-6.375,gamma_ll,1.0000000000000013,1.0,1.332267629550186e-15
-1.21875,-6.375,gamma_omega,43.703128813727886,43.703125,8.726441309583083e-08
-1.21875,-6.25,alpha,1.0000000000000013,1.0,1.332267629550186e-15
-1.21875,-6.25,beta,0.0,0.0,0.0
-1.21875,-6.25,gamma_ll,1.0000000000000053,1.0,5.329070518200723e-15
-1.21875,-6.25,gamma_omega,42.12500700035901,42.12500000000001,1.6618060159136741e-07
-1.21875,-6.125,alpha,1.000000000000006,1.0,5.995204332975809e-15
-1.21875,-6.125,beta,0.0,0.0,0.0
-1.21875,-6.125,gamma_ll,1.0000000000000222,1.0,2.220446049250264e-14
-1.21875,-6.125,gamma_omega,40.5781376787382,40.578125,3.1245244180308796e-07
-1.21875,-6.0,alpha,1.0000000000000278,1.0,2.7755575615628144e-14
-1.21875,-6.0,beta,0.0,0.0,0.0
-1.21875,-6.0,gamma_ll,1.0000000000001004,1.0,1.0036416142610408e-13
-1.21875,-6.0,gamma_omega,39.06252265730113,39.062500000000014,5.800265721429076e-07
-1.21875,-5.875,alpha,1.0000000000001226,1.000000000000002,1.2057022047427723e-13
-1.21875,-5.875,beta,0.0,-1.337570878302741e-85,1.337570878302741e-85
-1.21875,-5.875,gamma_ll,1.0000000000004445,1.000000000000007,4.374278717021172e-13
-1.21875,-5.875,gamma_omega,37.578164949162094,37.578125641273445,1.0460300204147443e-06
-1.21875,-5.75,alpha,1.0000000000005267,1.0000000000000546,4.72066830070368e-13
-1.21875,-5.75,beta,0.0,6.223718848016189e-82,6.223718848016189e-82
-1.21875,-5.75,gamma_ll,1.0000000000019105,1.0000000000001976,1.7128520823884191e-12
-1.21875,-5.75,gamma_omega,36.125069496838975,36.12500719400252,1.7246426739695527e-06
-1.21875,-5.625,alpha,1.0000000000021962,1.0000000000006044,1.5918377727040533e-12
-1.21875,-5.625,beta,0.0,-1.2376912296388473e-78,1.2376912296388473e-78
-1.21875,-5.625,gamma_ll,1.0000000000079692,1.0000000000021934,5.7758242632638855e-12
-1.21875,-5.625,gamma_omega,34.70324428075249,34.703157826919124,2.491232020536009e-06
-1.21875,-5.5,alpha,1.0000000000088758,1.0000000000044378,4.43800551859721e-12
-1.21875,-5.5,beta,0.0,1.455194401533414e-75,1.455194401533414e-75
-1.21875,-5.5,gamma_ll,1.0000000000322045,1.0000000000161022,1.6102230659434856e-11
-1.21875,-5.5,gamma_omega,33.31270198223116,33.312600990962494,3.0316144490706588e-06
-1.21875,-5.375,alpha,1.0000000000347604,1.000000000025194,9.566347713652594e-12
-1.21875,-5.375,beta,0.0,-1.3067686882510827e-72,1.3067686882510827e-72
-1.21875,-5.375,gamma_ll,1.0000000001261236,1.0000000000914135,3.4710012637503144e-11
-1.21875,-5.375,gamma_omega,31.953462428945674,31.953369565607137,2.9062058217817344e-06
-1.21875,-5.25,alpha,1.00000000013193,1.0000000001182732,1.3656853424112301e-11
-1.21875,-5.25,beta,0.0,1.0178287029475111e-69,1.0178287029475111e-69
-1.21875,-5.25,gamma_ll,1.0000000004786886,1.0000000004291367,4.9551918100559896e-11
-1.21875,-5.25,gamma_omega,30.625556116763676,30.62549854952073,1.87971257483989e-06
-1.21875,-5.125,alpha,1.0000000004852578,1.0000000004774683,7.789546781595084e-12
-1.21875,-5.125,beta,0.0,-6.60361271928392e-67,6.60361271928392e-67
-1.21875,-5.125,gamma_ll,1.0000000017606885,1.0000000017324253,2.82631695327249e-11
-1.21875,-5.125,gamma_omega,29.32902917231362,29.329014658096977,4.948754545976573e-07
-1.21875,-5.0,alpha,1.0000000017297066,1.0000000017297066,0.0
-1.21875,-5.0,beta,0.0,3.620185203070923e-64,3.620185203070923e-64
-1.21875,-5.0,gamma_ll,1.0000000062759917,1.0000000062759917,0.0
-1.21875,-5.0,gamma_omega,28.063950185995427,28.063950185995402,8.861545002318926e-16
-1.21875,5.0,alpha,1.0000000017297066,1.0000000017297066,0.0
-1.21875,5.0,beta,0.0,-3.620984055582247e-97,3.620984055582247e-97
-1.21875,5.0,gamma_ll,1.0000000062759917,1.0000000062759917,0.0
-1.21875,5.0,gamma_omega,28.063950185995427,28.063950185995402,8.861545002318926e-16
-1.21875,5.125,alpha,1.0000000004852578,1.0000000004774683,7.789546781595084e-12
-1.21875,5.125,beta,0.0,-6.901598616473079e-100,6.901598616473079e-100
-1.21875,5.125,gamma_ll,1.0000000017606885,1.0000000017324253,2.82631695327249e-11
-1.21875,5.125,gamma_omega,29.32902917231362,29.329014658096995,4.948754539919922e-07
-1.21875,5.25,alpha,1.00000000013193,1.0000000001182732,1.3656853424112301e-11
-1.21875,5.25,beta,0.0,2.2827433657464497e-103,2.2827433657464497e-103
-1.21875,5.25,gamma_ll,1.0000000004786886,1.0000000004291367,4.9551918100559896e-11
-1.21875,5.25,gamma_omega,30.625556116763676,30.62549854952072,1.8797125751879047e-06
-1.21875,5.375,alpha,1.0000000000347604,1.000000000025194,9.566347713652594e-12
-1.21875,5.375,beta,0.0,-1.8701991881505527e-106,1.8701991881505527e-106
-1.21875,5.375,gamma_ll,1.0000000001261236,1.0000000000914135,3.4710012637503144e-11
-1.21875,5.375,gamma_omega,31.953462428945674,31.953369565607115,2.9062058224488385e-06
-1.21875,5.5,alpha,1.0000000000088758,1.0000000000044378,4.43800551859721e-12
-1.21875,5.5,beta,0.0,1.5967349400030565e-109,1.5967349400030565e-109
-1.21875,5.5,gamma_ll,1.0000000000322045,1.0000000000161022,1.6102230659434856e-11
-1.21875,5.5,gamma_omega,33.31270198223116,33.312600990962494,3.0316144490706588e-06
-1.21875,5.625,alpha,1.0000000000021962,1.0000000000006044,1.5918377727040533e-12
-1.21875,5.625,beta,0.0,9.074401125486802e-113,9.074401125486802e-113
-1.21875,5.625,gamma_ll,1.0000000000079692,1.0000000000021934,5.7758242632638855e-12
-1.21875,5.625,gamma_omega,34.70324428075249,34.703157826919124,2.491232020536009e-06
-1.21875,5.75,alpha,1.0000000000005267,1.0000000000000546,4.72066830070368e-13
-1.21875,5.75,beta,0.0,1.9506710186125798e-115,1.9506710186125798e-115
-1.21875,5.75,gamma_ll,1.0000000000019105,1.0000000000001976,1.7128520823884191e-12
-1.21875,5.75,gamma_omega,36.125069496838975,36.1250071940025,1.7246426745596217e-06
-1.21875,5.875,alpha,1.0000000000001226,1.000000000000002,1.2057022047427723e-13
-1.21875,5.875,beta,0.0,-5.773773598905446e-119,5.773773598905446e-119
-1.21875,5.875,gamma_ll,1.0000000000004445,1.000000000000007,4.374278717021172e-13
-1.21875,5.875,gamma_omega,37.578164949162094,37.578125641273445,1.0460300204147443e-06
-1.21875,6.0,alpha,1.0000000000000278,1.0,2.7755575615628144e-14
-1.21875,6.0,beta,0.0,0.0,0.0
-1.21875,6.0,gamma_ll,1.0000000000001004,1.0,1.0036416142610408e-13
-1.21875,6.0,gamma_omega,39.06252265730113,39.062500000000014,5.800265721429076e-07
-1.21875,6.125,alpha,1.000000000000006,1.0,5.995204332975809e-15
-1.21875,6.125,beta,0.0,0.0,0.0
-1.21875,6.125,gamma_ll,1.0000000000000222,1.0,2.220446049250264e-14
-1.21875,6.125,gamma_omega,40.5781376787382,40.578125,3.1245244180308796e-07
-1.21875,6.25,alpha,1.0000000000000013,1.0,1.332267629550186e-15
-1.21875,6.25,beta,0.0,0.0,0.0
