beta,tension_factor_B,yukawa,gauge_coupling,role,required_radius_sqrt_mu,scalar_core_radius_sqrt_mu,core_over_loop_radius,fermi_momentum_over_sqrt_mu,bulk_mass_over_sqrt_mu,fermi_over_bulk_mass,exterior_mass_fraction,semiclassical_mode_number,radial_speed_bound,radial_lorentz_factor,exterior_channel_energetically_open,exterior_wkb_exponent,target_exponent,minimum_mode_number,yukawa_loop_size,quartic_loop_to_tree_diagnostic,minimum_node_action_for_six_rotors,geometric_and_exponent_diagnostics_met,local_string_decay_rate_proved
1e-10,0.10098980584149425,2.0,1.0,relaxed_stationary_string,12083558.574048096,120835.58574048096,0.01,2.5066282746310002,3.5507188906122815,0.7059495138458456,0.99,30288989.57986881,0.0,1.0,False,,100.0,100.0,0.025330295910584444,1013211836.4233776,1.915075190356527e+16,True,False
3.1622776601683795e-10,0.10658563650349748,0.3,0.3,rotor_forward_branch,23772889.306100264,237728.89306100266,0.01,3.5658079220099768,0.5184381794168956,6.8779809504395635,0.99,84766085.5263544,0.00905,1.000040953765679,True,1662.535065686521,100.0,100.0,0.0005699316579881499,1802282.149878652,7.412420749900779e+16,True,False
3.1622776601683795e-10,0.10658563650349748,0.3,0.3,relaxed_stationary_string,23772889.306100264,237728.89306100266,0.01,2.5066282746310002,0.5184381794168956,4.834960799859083,0.99,59589796.50434386,0.0,1.0,True,137463.40111767154,100.0,100.0,0.0005699316579881499,1802282.149878652,7.412420749900779e+16,True,False
3.1622776601683795e-10,0.10658563650349748,0.3,1.0,rotor_forward_branch,7131866.79183008,71318.6679183008,0.01,3.5658079220099768,0.5184381794168956,6.8779809504395635,0.99,25429825.657906324,0.00905,1.000040953765679,True,498.760519705427,100.0,100.0,0.0005699316579881499,162205.39348907868,6671178674910702.0,True,False
3.1622776601683795e-10,0.10658563650349748,0.3,1.0,relaxed_stationary_string,7131866.79183008,71318.6679183008,0.01,2.5066282746310002,0.5184381794168956,4.834960799859083,0.99,17876938.951303158,0.0,1.0,True,41239.02033529948,100.0,100.0,0.0005699316579881499,162205.39348907868,6671178674910702.0,True,False
3.1622776601683795e-10,0.10658563650349748,1.0,0.3,rotor_forward_branch,23772889.306100264,237728.89306100266,0.01,3.5658079220099768,1.7281272647229855,2.063394285131869,0.99,84766085.5263544,0.00905,1.000040953765679,True,6477797.475782282,100.0,100.0,0.006332573977646111,222503969.12082127,7.412420749900779e+16,True,False
3.1622776601683795e-10,0.10658563650349748,1.0,0.3,relaxed_stationary_string,23772889.306100264,237728.89306100266,0.01,2.5066282746310002,1.7281272647229855,1.4504882399577248,0.99,59589796.50434386,0.0,1.0,True,17227648.821630817,100.0,100.0,0.006332573977646111,222503969.12082127,7.412420749900779e+16,True,False
3.1622776601683795e-10,0.10658563650349748,1.0,1.0,rotor_forward_branch,7131866.79183008,71318.6679183008,0.01,3.5658079220099768,1.7281272647229855,2.063394285131869,0.99,25429825.657906324,0.00905,1.000040953765679,True,1943339.2427346848,100.0,100.0,0.006332573977646111,20025357.22087391,6671178674910702.0,True,False
3.1622776601683795e-10,0.10658563650349748,1.0,1.0,relaxed_stationary_string,7131866.79183008,71318.6679183008,0.01,2.5066282746310002,1.7281272647229855,1.4504882399577248,0.99,17876938.951303158,0.0,1.0,True,5168294.646489233,100.0,100.0,0.006332573977646111,20025357.22087391,6671178674910702.0,True,False
3.1622776601683795e-10,0.10658563650349748,2.0,0.3,rotor_forward_branch,23772889.306100264,237728.89306100266,0.01,3.5658079220099768,3.456254529445971,1.0316971425659345,0.99,84766085.5263544,0.00905,1.000040953765679,True,164694188.0533755,100.0,100.0,0.025330295910584444,3560063505.9331403,7.412420749900779e+16,True,False
