case,s,model,required_negative_null,baseline_required_negative_null,auxiliary_slice_energy,required_negative_null_of_endpoint_remainder
refined_eta098_recovery100_voltage050,0.5,benchmark_bank_mass_only,28575742107.778065,0.07055558037646578,202601655139608.06,28575742107.77589
refined_eta098_recovery100_voltage050,0.5,any_recovery_bank_mass_lower_bound,28430174504.692856,0.07055558037646578,200851344632977.28,28430174504.6518
refined_eta098_recovery100_voltage050,1.285,inventory_only,0.1971394103280818,0.10398176192529458,58.47711174770555,0.1126803569126037
refined_eta098_recovery100_voltage050,1.285,isotropic_wall_bound,0.2627878457397267,0.10398176192529458,92.88149880075721,0.17832879232294951
refined_eta098_recovery100_voltage050,1.285,benchmark_bank_mass_only,385831351461.8283,0.10398176192529458,202601653190195.53,385831351461.8241
refined_eta098_recovery100_voltage050,1.285,any_recovery_bank_mass_lower_bound,291233947121.1847,0.10398176192529458,200851342916881.03,291233947121.1805
refined_eta095_recovery000_voltage050,0.0,inventory_only,0.10888566774580193,0.0731058499918498,66.186284811592,0.049976369710418106
refined_eta095_recovery000_voltage050,0.0,isotropic_wall_bound,0.13051813860531564,0.0731058499918498,104.66919215786085,0.0791298348063976
refined_eta095_recovery000_voltage050,0.0,benchmark_bank_mass_only,171348210090.8749,0.0731058499918498,226806868292439.44,171348210090.86182
refined_eta095_recovery000_voltage050,0.0,any_recovery_bank_mass_lower_bound,53971386084.37378,0.0731058499918498,208935367152348.62,53971386084.36072
refined_eta095_recovery000_voltage050,0.5,inventory_only,0.09447032496049489,0.07055558037646578,65.7122955840195,0.02394458328929716
refined_eta095_recovery000_voltage050,0.5,isotropic_wall_bound,0.10842086736786535,0.07055558037646578,104.03991906185132,0.03791252826095433
refined_eta095_recovery000_voltage050,0.5,benchmark_bank_mass_only,82095982815.8211,0.07055558037646578,225894232499973.16,82095982815.81894
refined_eta095_recovery000_voltage050,0.5,any_recovery_bank_mass_lower_bound,29327969489.050255,0.07055558037646578,208301651108955.97,29327969489.009197
refined_eta095_recovery000_voltage050,1.285,inventory_only,0.40790668986226236,0.10398176192529458,65.15723262602111,0.32344763644261365
refined_eta095_recovery000_voltage050,1.285,isotropic_wall_bound,0.596502704752777,0.10398176192529458,103.48485545423306,0.5120436513293963
refined_eta095_recovery000_voltage050,1.285,benchmark_bank_mass_only,1108464790868.7185,0.10398176192529458,225894228681935.28,1108464790868.714
refined_eta095_recovery000_voltage050,1.285,any_recovery_bank_mass_lower_bound,349145060559.2686,0.10398176192529458,208301649215213.78,349145060559.2644
refined_eta095_recovery100_voltage050,0.0,inventory_only,0.08670069019198062,0.0731058499918498,61.50726562616725,0.01925400553115486
refined_eta095_recovery100_voltage050,0.0,isotropic_wall_bound,0.09474031477409571,0.0731058499918498,97.23758141390456,0.030486091559898003
refined_eta095_recovery100_voltage050,0.0,benchmark_bank_mass_only,66013986801.307,0.0731058499918498,210428322298160.22,66013986801.29393
refined_eta095_recovery100_voltage050,0.0,any_recovery_bank_mass_lower_bound,53971386084.37378,0.0731058499918498,208935367152348.62,53971386084.36072
refined_eta095_recovery100_voltage050,0.5,inventory_only,0.07976903394519164,0.07055558037646578,61.10666484986208,0.009224950791328991
refined_eta095_recovery100_voltage050,0.5,isotropic_wall_bound,0.08514382071918838,0.07055558037646578,96.72450669769738,0.014606443490392057
refined_eta095_recovery100_voltage050,0.5,benchmark_bank_mass_only,31628478191.68508,0.07055558037646578,209767304999032.72,31628478191.682907
refined_eta095_recovery100_voltage050,0.5,any_recovery_bank_mass_lower_bound,29327969489.050255,0.07055558037646578,208301651108955.97,29327969489.009197
refined_eta095_recovery100_voltage050,1.285,inventory_only,0.20916134576170156,0.10398176192529458,60.55160239622383,0.12470229234598557
refined_eta095_recovery100_voltage050,1.285,isotropic_wall_bound,0.2818225768350712,0.10398176192529458,96.16944388864938,0.1973635234179174
refined_eta095_recovery100_voltage050,1.285,benchmark_bank_mass_only,427049573703.18915,0.10398176192529458,209767302910236.16,427049573703.18494
refined_eta095_recovery100_voltage050,1.285,any_recovery_bank_mass_lower_bound,349145060559.2686,0.10398176192529458,208301649215213.78,349145060559.2644
coarse_eta100_recovery000_voltage050,0.0,inventory_only,0.08148420360801631,0.0731271696096231,58.68819090688862,0.011874158446675765
coarse_eta100_recovery000_voltage050,0.0,isotropic_wall_bound,0.08640063788542827,0.0731271696096231,92.79567006094418,0.018801336608411066
coarse_eta100_recovery000_voltage050,0.0,benchmark_bank_mass_only,40711556441.056015,0.0731271696096231,201057696745172.72,40711556441.04288
coarse_eta100_recovery000_voltage050,0.0,any_recovery_bank_mass_lower_bound,39799875274.21686,0.0731271696096231,197303053003983.4,39799875274.20372
