speed,arrival,arrival_direction_deg,origin,origin_offset,origin_r,energy_ratio_at_origin,status
10.0,7.0,157.5,alongside,0.4541145642552501,2.574572071755044,0.9808461659897173,0
10.0,7.0,180.0,ahead,93.12707758437196,3.5245761725314275e-13,0.09090910387437773,0
10.0,7.0,202.5,alongside,0.45411456417403245,2.574572071700271,0.9808461660278328,0
10.0,7.0,225.0,alongside,0.723003153685599,0.9933161177538009,0.7045737681717118,0
10.0,7.0,247.49999999999997,alongside,1.520187370637952,3.4996911319558275,0.11812493023346866,0
10.0,7.0,270.0,alongside,3.8483050553735247,10.927737786317865,1.3935243351391593e+59,-1
10.0,7.0,292.5,alongside,-1.5201873702952513,3.4996911319268986,0.11812493025344468,0
10.0,7.0,315.0,alongside,-0.7230031536201194,0.9933161177677537,0.7045737681714865,0
10.0,7.0,337.5,alongside,-0.4541145641337395,2.574572071673715,0.9808461660015276,0
10.0,12.75,0.0,ahead,39.09952506972549,0.0,1.3407807929929583e+154,-1
10.0,12.75,22.5,alongside,-1.1949922835850655,1.8300886786570087,0.5882645439181838,0
10.0,12.75,45.0,alongside,0.605856427356708,0.30053291304030616,0.9999999983021306,0
10.0,12.75,67.5,alongside,1.0091481690002848,0.060296000966287094,1.00000000054159,0
10.0,12.75,90.0,alongside,3.848227139953159,10.927738369216067,1.9301995491175714e+152,-1
10.0,12.75,112.5,alongside,-1.009148169299325,0.060296001037663464,1.000000000112577,0
10.0,12.75,135.0,alongside,-0.605856427763401,0.30053291297739676,0.9999999985288752,0
10.0,12.75,157.5,alongside,1.194992283693986,1.8300886789294675,0.5882645438832557,0
10.0,12.75,180.0,ahead,156.37707758441732,3.602034867176712e-13,0.09090910574718748,0
10.0,12.75,202.5,alongside,1.1949922833972288,1.8300886781778118,0.588264543981211,0
10.0,12.75,225.0,alongside,-0.6058564275095248,0.3005329130169184,0.9999999986048322,0
10.0,12.75,247.49999999999997,alongside,-1.0091481699915303,0.06029600119809786,1.0000000000772498,0
10.0,12.75,270.0,alongside,3.8482344343954544,10.927738359451446,1.9301483803069487e+152,-1
10.0,12.75,292.5,alongside,1.0091481688284798,0.06029600092742379,1.0000000005718133,0
10.0,12.75,315.0,alongside,0.6058564277335431,0.30053291298024526,0.9999999982755263,0
10.0,12.75,337.5,alongside,-1.1949922828685235,1.8300886768378435,0.5882645441797316,0
