lambda1,lambda2,nodes,energy,pressure,opacity_scaling_derivative,effective_exponent,minimum_dec_holding_energy,zero_wall_mass_held_energy_floor,zero_wall_mass_released_energy,virial_identity_error,measured_mass_025_released_energy,measured_mass_025_held_floor,measured_mass_1_released_energy,measured_mass_1_held_floor,released_zero_energy_mass_per_wall
0.000251188643151,0.000251188643151,128,-1.9906408859330886e-10,-1.9967918394405232e-10,3.9751308183587425e-10,1.003089936286801,1.9967918394405232e-10,6.150953507434619e-13,-1.9906408859330886e-10,0.0,0.4999999998009359,0.5000000000006151,1.999999999800936,2.000000000000615,9.953204429665443e-11
0.000251188643151,0.000251188643151,256,-1.9906408859331028e-10,-1.996791839440534e-10,3.9751308183587725e-10,1.0030899362867993,1.996791839440534e-10,6.150953507431259e-13,-1.9906408859331028e-10,-2.0679515313825692e-25,0.4999999998009359,0.5000000000006151,1.999999999800936,2.000000000000615,9.953204429665514e-11
0.000251188643151,0.000251188643151,512,-1.990640885933092e-10,-1.9967918394405224e-10,3.9751308183587497e-10,1.003089936286799,1.9967918394405224e-10,6.150953507430483e-13,-1.990640885933092e-10,-3.101927297073854e-25,0.4999999998009359,0.5000000000006151,1.999999999800936,2.000000000000615,9.95320442966546e-11
0.000316227766017,0.000316227766017,128,-3.152477927118556e-10,-3.1642928402129234e-10,6.293140941142747e-10,1.0037478178650299,3.1642928402129234e-10,1.1814913094367422e-12,-3.152477927118556e-10,2.0679515313825692e-25,0.4999999996847522,0.5000000000011815,1.9999999996847522,2.0000000000011813,1.576238963559278e-10
0.000316227766017,0.000316227766017,256,-3.1524779271185777e-10,-3.16429284021294e-10,6.293140941142789e-10,1.0037478178650283,3.16429284021294e-10,1.1814913094362252e-12,-3.1524779271185777e-10,-4.1359030627651384e-25,0.4999999996847522,0.5000000000011815,1.9999999996847522,2.0000000000011813,1.5762389635592888e-10
0.000316227766017,0.000316227766017,512,-3.15247792711856e-10,-3.1642928402129203e-10,6.293140941142755e-10,1.0037478178650276,3.1642928402129203e-10,1.1814913094360184e-12,-3.15247792711856e-10,-6.203854594147708e-25,0.4999999996847522,0.5000000000011815,1.9999999996847522,2.0000000000011813,1.57623896355928e-10
0.000398107170553,0.000398107170553,128,-4.991589755497364e-10,-5.014251449553078e-10,9.960517816939012e-10,1.0045399752715567,5.014251449553078e-10,2.2661694055713986e-12,-4.991589755497364e-10,-2.0679515313825692e-25,0.499999999500841,0.5000000000022662,1.999999999500841,2.000000000002266,2.495794877748682e-10
0.000398107170553,0.000398107170553,256,-4.991589755497399e-10,-5.014251449553106e-10,9.960517816939083e-10,1.0045399752715554,5.014251449553106e-10,2.2661694055706748e-12,-4.991589755497399e-10,-8.271806125530277e-25,0.499999999500841,0.5000000000022662,1.999999999500841,2.000000000002266,2.4957948777486997e-10
0.000398107170553,0.000398107170553,512,-4.991589755497369e-10,-5.014251449553074e-10,9.960517816939027e-10,1.004539975271555,5.014251449553074e-10,2.266169405570468e-12,-4.991589755497369e-10,-6.203854594147708e-25,0.499999999500841,0.5000000000022662,1.999999999500841,2.000000000002266,2.4957948777486847e-10
0.000501187233627,0.000501187233627,128,-7.902031008732415e-10,-7.945430352456643e-10,1.5760662673740612e-09,1.0054921758312854,7.945430352456643e-10,4.3399343724227505e-12,-7.902031008732415e-10,8.271806125530277e-25,0.4999999992097969,0.50000000000434,1.999999999209797,2.00000000000434,3.9510155043662076e-10
0.000501187233627,0.000501187233627,256,-7.902031008732474e-10,-7.945430352456683e-10,1.5760662673740726e-09,1.005492175831283,7.945430352456683e-10,4.339934372420889e-12,-7.902031008732474e-10,-1.2407709188295415e-24,0.4999999992097969,0.50000000000434,1.999999999209797,2.00000000000434,3.951015504366237e-10
