interval,incoming,outgoing,geometric,balance_residual
82,2.5061109056319543e-05,0.0016602076996491168,0.0021619575038837554,1.5070410197548512e-17
83,2.5369883674435933e-05,0.0016655313338183242,0.0021730733433000353,9.64939933512099e-18
84,2.56844839030416e-05,0.001670908273785622,0.0021842835392074755,7.37257477290143e-18
85,2.600483839313029e-05,0.0016763387286569263,0.0021955892508600996,-3.3393426912553537e-17
86,2.6331010899874796e-05,0.0016818229059377115,0.0022069915366210724,6.288372600415926e-18
87,2.6663136280225317e-05,0.001687361013626869,0.0022184913055459266,2.7430314963883262e-17
88,2.700136426655129e-05,0.0016929532596055995,0.0022300890640138907,1.5178830414797062e-18
89,2.7345861452846523e-05,0.0016985998504917682,0.002241785580520158,-2.6020852139652106e-17
90,2.7696798837672044e-05,0.0017043009940196196,0.002253581608854788,-1.5829351718288365e-17
91,2.8054341818869534e-05,0.0017100568961914437,0.002265477816172255,1.214306433183765e-17
92,2.841865529547679e-05,0.0017158677634278897,0.002277475164379066,4.206704429243757e-17
93,2.878990619612637e-05,0.0017217338018175427,0.0022895745724271933,-3.968179951296946e-17
94,2.916826273343723e-05,0.0017276552161064806,0.0023017770350802214,-3.0357660829594124e-18
95,2.955389613585572e-05,0.0017336322120053557,0.002314082973451743,-6.938893903907228e-18
96,2.994697768275847e-05,0.0017396649933510387,0.0023264925316690507,1.3660947373317356e-17
97,3.034768098567042e-05,0.001745753764332828,0.0023390065433163804,3.65376132127615e-17
98,3.075618188706241e-05,0.0017518987110223022,0.0023516253202613088,-5.5294310796760726e-17
99,1.8993195163849856e-05,0.001073273811062937,0.0014428504299698723,3.10623922417097e-17
100,1.2179447379804428e-05,0.0006848262675335598,0.0009214996771577326,1.2305694657710475e-17
101,3.1597289562203536e-05,0.0017643577829339612,0.0023771800748595227,-1.1058862159352145e-17
102,3.203025964450252e-05,0.0017706724282864354,0.002390117153303721,2.1575623232461538e-17
103,3.247175372656167e-05,0.0017770441256688945,0.0024031617566232467,-5.583641188300348e-17
104,3.292196042524063e-05,0.001783473062435396,0.0024163143669322074,1.8323016715005025e-17
105,3.338107091699295e-05,0.001789959419063293,0.002429575831489505,3.003240017784847e-17
