interval,incoming,outgoing,geometric,balance_residual
204,0.002740105241968005,1.5028161788883975e-228,-1.6705431296641532e-05,1.5178830414797062e-17
205,0.0027528805314555914,1.5374177645725043e-227,4.380376577545704e-06,-5.984795992119984e-17
206,0.002765714416594174,1.5353267395802505e-226,2.588713311216872e-05,2.5587171270657905e-17
207,0.0027786064788853,1.4971048723679763e-225,4.7821726862901345e-05,-1.3444106938820255e-17
208,0.002791556281482677,1.425825479480534e-224,7.019109227584852e-05,2.3852447794681098e-17
209,0.0028045633522471073,1.3266737069565069e-223,9.300206361603742e-05,2.2985086056692694e-17
210,0.002817627190294993,1.2063320462994583e-222,0.00011626195741279721,2.2551405187698492e-17
211,0.0028307472829167493,1.0722507193169377e-221,0.00013997776632964046,-5.334274688628682e-17
212,0.002843923116968809,9.319110106027344e-221,0.00016415689850088472,1.1275702593849246e-17
213,0.002857154175074794,7.921782058801653e-220,0.00018880678717086795,2.5153490401663703e-17
214,0.002870439912329163,6.588142244746319e-219,0.00021393478010617913,-9.540979117872439e-18
215,0.0028837797477925114,5.361856219844182e-218,0.00023954871567047583,-1.6479873021779667e-17
216,0.002897173073563101,4.271681149892341e-217,0.0002656560899289109,-3.642919299551295e-17
217,0.0029106192731633116,3.332205825546579e-216,0.000292264845806406,2.211772431870429e-17
218,0.0029241177319810317,2.545834523300243e-215,0.00031938292834499143,3.0357660829594124e-18
219,0.00293766781931019,1.9054948642079952e-214,0.00034701821219666897,8.586881206085195e-17
220,0.0029512688710614217,1.3975782639721054e-213,0.0003751790702516839,-6.808789643208968e-17
221,0.0029649201864822687,1.0047177532517895e-212,0.0004038735116132034,-2.0816681711721685e-17
222,0.0029786210447701723,7.081375263472936e-212,0.0004331100248372484,-1.6479873021779667e-17
223,0.0029923707252647257,4.894403735583117e-211,0.00046289707461507647,1.0842021724855044e-17
224,0.003006168499168852,3.318108939911228e-210,0.0004932430711326132,1.5612511283791264e-17
225,0.003020013611172859,2.2069226965534912e-209,0.0005241569288589029,-6.938893903907228e-18
226,0.0030339052660077696,1.4404001603936292e-208,0.000555647174552995,4.0766001685454967e-17
227,0.003047842638936834,9.227195390012051e-208,0.0005877228504495022,-7.45931094670027e-17
228,0.0030618249002112795,5.802763459885648e-207,0.0006203929452191386,1.2793585635328952e-16
229,0.0030758512155490514,3.5831412345133944e-206,0.0006536664077986074,-1.0234868508263162e-16
230,0.003089920730839943,2.1728991603212783e-205,0.0006875526966681881,3.9898639947466563e-17
231,0.0031040325525757383,1.2943209287910973e-204,0.0007220608566131679,-2.6454533008646308e-17
232,0.0031181857519483698,7.574411916989928e-204,0.0007572004824391119,8.673617379884035e-18
233,0.003132379389982114,4.355479064853998e-203,0.0007929810800836607,3.382710778154774e-17
234,0.0031466125241218735,2.4613669062917146e-202,0.0008294121340062234,-7.806255641895632e-17
235,0.0031608841971168186,1.367229614586575e-201,0.0008665036411885205,2.42861286636753e-17
236,0.0031751934145040957,7.46621423636575e-201,0.0009042651552163201,1.734723475976807e-18
237,0.0031895391437966247,4.008856714157984e-200,0.0009427068179469007,2.7755575615628914e-17
238,0.0032039203386927074,2.116737027341224e-199,0.0009818386424671455,6.071532165918825e-18
239,0.0032183359494266056,1.099265790815915e-198,0.0010216706363219265,-8.673617379884035e-18
240,0.003232784915585556,5.6155073249659446e-198,0.0010622133207698109,6.071532165918825e-18
241,0.0032472661425172185,2.822179458831197e-197,0.0011034767382410654,3.469446951953614e-17
242,0.003261778496895582,1.3955525103198041e-196,0.0011454715578932766,-4.5102810375396984e-17
243,0.0032763208291904807,6.790908268102086e-196,0.0011882082747022777,1.9949319973733282e-17
244,0.0032908919866734554,3.2522309843503526e-195,0.0012316973959963342,1.734723475976807e-17
245,0.0033054908106577873,1.5330484629926005e-194,0.0012759499421869961,-1.1535911115245767e-16
246,0.003320116113055148,7.113738587298534e-194,0.0013209764162138786,1.1449174941446927e-16
247,0.00333476666783632,3.249760629170564e-193,0.0013667879875710952,-2.3418766925686896e-17
248,0.0033494412297273043,1.4616982150390312e-192,0.0014133955973403096,-4.0766001685454967e-17
249,0.003364138549872031,6.473751048366642e-192,0.001460810216222452,8.933825901280557e-17
250,0.0033788573804001956,2.8234698536682134e-191,0.001509043320444623,-4.683753385137379e-17
251,0.0033935964531947847,1.2127585995730678e-190,0.0015581058259072527,3.903127820947816e-17
252,0.003408354465811712,5.130543802162351e-190,0.0016080093554649859,-7.19910242530375e-17
253,0.003423130093216849,2.137879058189902e-189,0.0016587652446895613,-3.729655473350135e-17
254,0.003437922004506357,8.77538189110855e-189,0.0017103848758526284,-4.163336342344337e-17
255,0.0034527288765121436,3.548498889876693e-188,0.001762880128441655,2.6020852139652106e-17
256,0.0034675493785437145,1.413684042802453e-187,0.0018162622694002212,1.240327285323417e-16
