s,steps,minimum_heat,coldest_l,maximum_abs_velocity,maximum_sound2,minimum_stretch,maximum_stretch,minimum_relative_cell_width,minimum_packet_gap,canonical_energy,slice_energy,field_slice_energy,thermal_inventory,canonical_balance_residual,momentum_balance_residual,thermal_balance_residual,maximum_anchor_force,canonical_geometry_integral,canonical_endpoint_integral,heat_endpoint_integral,heat_electrical_integral,momentum_free_integral,anchor_left_integral,anchor_right_integral,receiver_velocity,receiver_heat,receiver_l,receiver_effective_n,maximum_gamma,minimum_sound2,minimum_rest_dec_margin,maximum_density,maximum_abs_radial_stress,backbone_slice_energy,maximum_backbone_inverse_stretch,minimum_backbone_inverse_stretch
0.6599999999999824,1320,0.24999999999999967,-2.1,0.266796968057334,0.9995226757592903,0.004798742870111222,0.22752395021986296,0.6242288303941712,0.8099999999999824,18239.88258789166,1625.4102561968439,0.0,26.870378684234023,6.12938477776448e-10,-1.2647660696529783e-12,1.7439342490043159e-15,116.67758906868804,-605.548599879049,4.437076477967362,0.04517323663141534,0.0,-394.2034069146547,895.5184647744001,-111.27755716370847,0.17220804324306957,3.363226428356744,-1.2760331862249057,0.01009782661920557,1.037610520006499,0.4992716786707013,0.01615879650098058,13.805757274805998,13.792537620710444,1590.005936156656,771.7171407348219,6.1020258015522115
0.6649999999999818,1330,0.24999999999999967,-2.1,0.2690148396066709,0.9995244611420593,0.004849898554078945,0.2283785834920975,0.6249639377987859,0.8149999999999819,18193.97340824346,1635.0836245573505,0.0,26.87571597949437,6.565675272443385e-10,-1.2505552149377763e-12,-9.591638369523736e-16,117.55319488304751,-609.2162190088453,4.4513591706076365,0.045597965093128044,0.0,-394.99684620700407,902.3068353948792,-112.52841258254875,0.17503285863574886,3.3687047198705593,-1.2754439410853005,0.0101928672556403,1.0382749339765138,0.5019227569475818,0.016359048243743346,13.910001533824758,13.896732031283781,1599.659207430874,774.6158911502763,6.167074776235005
0.6699999999999813,1340,0.24999999999999967,-2.1,0.2706584096414907,0.9995262463756973,0.004904710707335213,0.22923958609412937,0.6253427564208613,0.8199999999999813,18148.56143519711,1644.8608946430775,0.0,26.88016076613712,7.4284344241108e-10,-1.3216094885137863e-12,3.2262783606579845e-15,118.43864162256027,-612.8412802164661,4.462650385280202,0.045951669975719166,0.0,-395.75826116648915,909.0935996850413,-113.77550102693287,0.17784796362148503,3.373817208640584,-1.2748458060965457,0.010289433424260395,1.0387716838966123,0.5045236253459335,0.016571815464364384,14.015425561831615,14.002105833271084,1609.4168595473832,777.5362450979078,6.2367732748754685
0.6749999999999807,1350,0.24999999999999967,-2.1,0.2716539111731992,0.9995280313313232,0.004963657235250868,0.23010696662082863,0.6253785624629304,0.8249999999999807,18103.648521415525,1654.7430312043625,0.0,26.883683490999477,8.521002255375008e-10,-1.3500311979441904e-12,9.591638369523736e-16,119.33401231747783,-616.4236265544613,4.4709406047671285,0.04623199951321758,0.0,-396.4877918260695,915.8787016470801,-115.02023100430667,0.18065280981437853,3.378552185164809,-1.2742388340327009,0.01038755725156907,1.0390743832649336,0.5071944812855139,0.016797191779639502,14.122039525427057,14.108669192578445,1619.279943041704,780.4782317298495,6.311728996402783
0.6799999999999802,1360,0.24999999999999967,-2.1,0.2719209662421375,0.9995298158810862,0.005027270008097666,0.23098073333412825,0.6251221736707069,0.8299999999999802,18059.23642370593,1664.7310142592485,0.0,26.88625763738837,9.671161771278335e-10,-1.4210854715202004e-12,4.534229047411222e-15,120.23939034746907,-619.963120497238,4.47623210575353,0.04643684357423447,0.0,-397.1855816040281,922.6620847675701,-116.26387339699926,0.18344693051189978,3.3828987791852065,-1.273623079126696,0.010487270646787198,1.0391558201539928,0.5100058055893821,0.01698086371695566,14.229853639309594,14.216432323225966,1629.249524102586,783.4418790689768,6.392618260888513
0.6849999999999796,1370,0.24999999999999967,-2.1,0.27137252799913825,0.9995315998974325,0.005096140100646447,0.2318608937848878,0.624657832128579,0.8349999999999796,18015.3268227757,1674.825835576846,0.0,26.887859653269775,1.0521978461208568e-09,-1.2931877790833823e-12,-1.4823441116536686e-15,121.15485904600261,-623.4596415633584,4.478538153247825,0.046564327947453805,0.0,-397.8517772815197,929.443692014711,-117.50742737614765,0.1862299336818801,3.3868469656927087,-1.2729985967985837,0.010588605295239664,1.038988684357106,0.5129747569998021,0.01713815562106657,14.338878121153792,14.325405442245858,1639.3266645538104,786.4272127263422,6.480192672158899
0.6899999999999791,1380,0.24999999999999967,-2.1,0.2699150847981325,0.99953338325383,0.0051709229227705445,0.23274745514708517,0.6240955278427429,0.8399999999999791,17971.92133065765,1685.0285026793654,0.0,26.88846887062963,1.1088073469909361e-09,-1.2505552149377763e-12,1.743934249004316e-16,122.08050203658574,-626.9130849072037,4.477882183126652,0.04661280792457266,0.0,-398.48652889123696,936.2234658350897,-118.75150504292958,0.1890014953266649,3.390387570610549,-1.2723654434082339,0.010691592733081014,1.0385465595278258,0.5161202627473119,0.017287593481867307,14.449123229964718,14.43559880801926,1649.5124109746503,789.4342570346877,6.5752856418106695
0.6949999999999785,1390,0.24999999999999967,-2.1,0.27408379352881823,0.9995351658243484,0.005252342874239471,0.233640423990443,0.6235605351494455,0.8449999999999785,17929.021542379243,1695.3400373126824,0.0,26.88806751286021,1.1058273121462375e-09,-9.805489753489383e-13,2.8774915108571213e-15,123.01640299035911,-630.3233565873696,4.47429718224077,0.046580868888096864,0.0,-399.0899897669782,943.0013481510507,-119.9962465828077,0.1917613529235595,3.3935123064545007,-1.2717236760318211,0.010796264361291491,1.0398190222645927,0.5194631784907332,0.01743558452497515,14.560599238427812,14.547022692638217,1659.8077839983177,792.4630342772392,6.67881830819273
0.699999999999978,1400,0.24999999999999967,-2.1,0.2787204935136526,0.9995369474836797,0.005341197316334872,0.23453980626846108,0.6231812269303716,0.849999999999978,17886.630226421654,1705.7615102671582,0.0,26.886674788191428,1.0606915034872074e-09,-8.952838470577262e-13,1.9183276739047473e-15,123.96264560409331,-633.6903696820494,4.467916537513764,0.04647003938039547,0.0,-399.66230557545714,949.7772803566677,-121.24127717314356,0.19450928577761678,3.396223745766118,-1.2710733522738766,0.01090265151110572,1.041262890364877,0.523026432025126,0.01758919991140659,14.673316430425407,14.659687379422774,1670.2137785149023,795.5135646471145,6.791804586666972
0.7049999999999774,1410,0.24999999999999967,-2.1,0.2830208444621267,0.9995387281075996,0.005438359547326779,0.23544560753015328,0.6230763815803564,0.8549999999999774,17844.752790342132,1716.2940901822506,0.0,26.884392728956676,9.711676851751203e-10,-7.958078640513122e-13,5.231802747012947e-15,124.91931381311348,-637.0140439309574,4.459090308393708,0.04628843887657566,0.0,-400.2036013619296,956.5512033155785,-122.48571477904181,0.19724509598576057,3.39854892728702,-1.2704145301720802,0.011010785565773545,1.042629188890212,0.5268351371214332,0.017755547448386,14.78728512558538,14.77360318745828,1680.7313760067973,798.585866965493,6.915354953189371
0.7099999999999769,1420,0.24999999999999967,-2.1,0.2869292758233272,0.9995405075723077,0.005544780357161242,0.2363578325658102,0.6233432013005413,0.8599999999999769,17803.394690146823,1726.9389656320614,0.0,26.88133155054531,8.768445598097732e-10,-6.963318810448982e-13,9.591638369523736e-16,125.88649141112192,-640.2943041576083,4.448177493565167,0.046044838038648374,0.0,-400.7140077152642,963.3230573584142,-123.72823339740715,0.19996863775076798,3.4005178530478797,-1.2697472680652346,0.011120697910770524,1.0438938920887118,0.5301393067312151,0.017941208382023954,14.902515636570106,14.888780428902438,1691.3615602355283,801.6799574801119,7.0506784212327664
0.7149999999999763,1430,0.24999999999999967,-2.1,0.29038450527033316,0.999542285755164,0.0056578430807530085,0.23727648576098836,0.6240471423553795,0.8649999999999763,17762.56098849094,1737.6973362483716,0.0,26.87759698658716,8.07165318103956e-10,-7.247535904753022e-13,6.365360008865753e-15,126.86426241275412,-643.5310816517841,4.4355122561098606,0.0457476508815317,0.0,-401.1936645473962,970.0927822810781,-124.96717951463593,0.20267981650466727,3.4021597857218766,-1.269071624411322,0.01123242000350664,1.045030306204949,0.5329952960303557,0.01815176645009413,15.019018309885944,15.005229449776616,1702.1053442214547,804.7958510659287,7.194447669809892
