id,layout,module,compartment_count,compartment,domain,boundary,angular_index,geometry_stride,nodes,control,lowest_squared_frequency
100,broad,0,32,19,"[np.float64(-0.1081824537080788), np.float64(0.026802364033525306)]",dirichlet,0,1,1025,mesh,709.7343954609438
101,broad,0,32,20,"[np.float64(0.026802364033525306), np.float64(0.21297418731105103)]",dirichlet,0,1,257,mesh,931.8994807865727
102,broad,0,32,20,"[np.float64(0.026802364033525306), np.float64(0.21297418731105103)]",dirichlet,0,1,513,mesh,931.8958799740383
103,broad,0,32,20,"[np.float64(0.026802364033525306), np.float64(0.21297418731105103)]",dirichlet,0,1,1025,mesh,931.8949797618526
104,broad,0,32,21,"[np.float64(0.21297418731105103), np.float64(0.5178507081509361)]",dirichlet,0,1,257,mesh,334.56939928478823
105,broad,0,32,21,"[np.float64(0.21297418731105103), np.float64(0.5178507081509361)]",dirichlet,0,1,513,mesh,334.566331965171
106,broad,0,32,21,"[np.float64(0.21297418731105103), np.float64(0.5178507081509361)]",dirichlet,0,1,1025,mesh,334.5655652265801
107,broad,0,32,22,"[np.float64(0.5178507081509361), np.float64(0.9161725210881861)]",dirichlet,0,1,257,mesh,190.36643671574717
108,broad,0,32,22,"[np.float64(0.5178507081509361), np.float64(0.9161725210881861)]",dirichlet,0,1,513,mesh,190.36448830989036
109,broad,0,32,22,"[np.float64(0.5178507081509361), np.float64(0.9161725210881861)]",dirichlet,0,1,1025,mesh,190.36400120578034
110,broad,0,32,23,"[np.float64(0.9161725210881861), np.float64(1.2966128286036718)]",dirichlet,0,1,257,mesh,292.3987253680068
111,broad,0,32,23,"[np.float64(0.9161725210881861), np.float64(1.2966128286036718)]",dirichlet,0,1,513,mesh,292.39644625813384
112,broad,0,32,23,"[np.float64(0.9161725210881861), np.float64(1.2966128286036718)]",dirichlet,0,1,1025,mesh,292.3958764399742
113,broad,0,32,24,"[np.float64(1.2966128286036718), np.float64(1.4793563095016111)]",dirichlet,0,1,257,mesh,283.7987836958249
114,broad,0,32,24,"[np.float64(1.2966128286036718), np.float64(1.4793563095016111)]",dirichlet,0,1,513,mesh,283.7962227107477
115,broad,0,32,24,"[np.float64(1.2966128286036718), np.float64(1.4793563095016111)]",dirichlet,0,1,1025,mesh,283.7955824545281
116,broad,0,32,25,"[np.float64(1.4793563095016111), np.float64(1.6073890244363416)]",dirichlet,0,1,257,mesh,220.84389645102993
117,broad,0,32,25,"[np.float64(1.4793563095016111), np.float64(1.6073890244363416)]",dirichlet,0,1,513,mesh,220.84203200232173
118,broad,0,32,25,"[np.float64(1.4793563095016111), np.float64(1.6073890244363416)]",dirichlet,0,1,1025,mesh,220.84156589226586
119,broad,0,32,26,"[np.float64(1.6073890244363416), np.float64(1.7291940585498182)]",dirichlet,0,1,257,mesh,206.97959547692787
120,broad,0,32,26,"[np.float64(1.6073890244363416), np.float64(1.7291940585498182)]",dirichlet,0,1,513,mesh,206.97773439028546
121,broad,0,32,26,"[np.float64(1.6073890244363416), np.float64(1.7291940585498182)]",dirichlet,0,1,1025,mesh,206.9772691207856
122,broad,0,32,27,"[np.float64(1.7291940585498182), np.float64(1.851454407567245)]",dirichlet,0,1,257,mesh,201.33195422302606
123,broad,0,32,27,"[np.float64(1.7291940585498182), np.float64(1.851454407567245)]",dirichlet,0,1,513,mesh,201.33009299693106
124,broad,0,32,27,"[np.float64(1.7291940585498182), np.float64(1.851454407567245)]",dirichlet,0,1,1025,mesh,201.32962769255386
125,broad,0,32,28,"[np.float64(1.851454407567245), np.float64(1.9785850755778214)]",dirichlet,0,1,257,mesh,199.05944631899078
126,broad,0,32,28,"[np.float64(1.851454407567245), np.float64(1.9785850755778214)]",dirichlet,0,1,513,mesh,199.05758331756726
127,broad,0,32,28,"[np.float64(1.851454407567245), np.float64(1.9785850755778214)]",dirichlet,0,1,1025,mesh,199.05711756934951
128,broad,0,32,29,"[np.float64(1.9785850755778214), np.float64(2.11624318954827)]",dirichlet,0,1,257,mesh,198.0624759256139
129,broad,0,32,29,"[np.float64(1.9785850755778214), np.float64(2.11624318954827)]",dirichlet,0,1,513,mesh,198.06060740030753
130,broad,0,32,29,"[np.float64(1.9785850755778214), np.float64(2.11624318954827)]",dirichlet,0,1,1025,mesh,198.0601402710373
131,broad,0,32,30,"[np.float64(2.11624318954827), np.float64(2.271467933895275)]",dirichlet,0,1,257,mesh,197.51586139310632
132,broad,0,32,30,"[np.float64(2.11624318954827), np.float64(2.271467933895275)]",dirichlet,0,1,513,mesh,197.51398402001732
133,broad,0,32,30,"[np.float64(2.11624318954827), np.float64(2.271467933895275)]",dirichlet,0,1,1025,mesh,197.51351467902236
134,broad,0,32,31,"[np.float64(2.271467933895275), np.float64(2.45)]",dirichlet,0,1,257,mesh,197.259695068171
135,broad,0,32,31,"[np.float64(2.271467933895275), np.float64(2.45)]",dirichlet,0,1,513,mesh,197.2578127697439
136,broad,0,32,31,"[np.float64(2.271467933895275), np.float64(2.45)]",dirichlet,0,1,1025,mesh,197.25734219660166
137,broad,0,32,31,"[np.float64(2.271467933895275), np.float64(2.45)]",dirichlet,0,2,1025,metric,197.25734219583774
138,broad,0,32,31,"[np.float64(2.271467933895275), np.float64(2.45)]",dirichlet,0,4,1025,metric,197.2573421902885
139,broad,1,1,0,"[np.float64(0.55), np.float64(2.95)]",dirichlet,0,1,257,mesh,2.5898629124212746
140,broad,1,1,0,"[np.float64(0.55), np.float64(2.95)]",dirichlet,0,1,513,mesh,2.5897466357367946
141,broad,1,1,0,"[np.float64(0.55), np.float64(2.95)]",dirichlet,0,1,1025,mesh,2.5897175781883206
142,broad,1,1,0,"[np.float64(0.55), np.float64(2.95)]",dirichlet,0,2,1025,metric,2.5897175589193964
143,broad,1,1,0,"[np.float64(0.55), np.float64(2.95)]",dirichlet,0,4,1025,metric,2.5897175701841206
144,broad,1,1,0,"[np.float64(0.55), np.float64(2.95)]",dirichlet,1,1,1025,angular,4.444543753686082
145,broad,1,1,0,"[np.float64(0.55), np.float64(2.95)]",dirichlet,2,1,1025,angular,6.296265900797223
146,broad,1,8,0,"[np.float64(0.55), np.float64(1.1749238704083365)]",dirichlet,0,1,257,mesh,74.71854953285067
147,broad,1,8,0,"[np.float64(0.55), np.float64(1.1749238704083365)]",dirichlet,0,1,513,mesh,74.71768000138103
148,broad,1,8,0,"[np.float64(0.55), np.float64(1.1749238704083365)]",dirichlet,0,1,1025,mesh,74.71746071025126
149,broad,1,8,0,"[np.float64(0.55), np.float64(1.1749238704083365)]",dirichlet,0,2,1025,metric,74.71746070643786
150,broad,1,8,0,"[np.float64(0.55), np.float64(1.1749238704083365)]",dirichlet,0,4,1025,metric,74.71746065085685
151,broad,1,8,1,"[np.float64(1.1749238704083365), np.float64(1.5016076942842547)]",dirichlet,0,1,257,mesh,190.40442290758074
152,broad,1,8,1,"[np.float64(1.1749238704083365), np.float64(1.5016076942842547)]",dirichlet,0,1,513,mesh,190.40149882524614
153,broad,1,8,1,"[np.float64(1.1749238704083365), np.float64(1.5016076942842547)]",dirichlet,0,1,1025,mesh,190.40076800764064
154,broad,1,8,2,"[np.float64(1.5016076942842547), np.float64(1.692994878567967)]",dirichlet,0,1,257,mesh,99.34143831728922
155,broad,1,8,2,"[np.float64(1.5016076942842547), np.float64(1.692994878567967)]",dirichlet,0,1,513,mesh,99.34064605936713
156,broad,1,8,2,"[np.float64(1.5016076942842547), np.float64(1.692994878567967)]",dirichlet,0,1,1025,mesh,99.34044799564897
157,broad,1,8,3,"[np.float64(1.692994878567967), np.float64(1.8811199211601528)]",dirichlet,0,1,257,mesh,87.3260813039056
158,broad,1,8,3,"[np.float64(1.692994878567967), np.float64(1.8811199211601528)]",dirichlet,0,1,513,mesh,87.32529484077715
159,broad,1,8,3,"[np.float64(1.692994878567967), np.float64(1.8811199211601528)]",dirichlet,0,1,1025,mesh,87.3250982258683
160,broad,1,8,4,"[np.float64(1.8811199211601528), np.float64(2.0839902313226273)]",dirichlet,0,1,257,mesh,84.30114207598416
161,broad,1,8,4,"[np.float64(1.8811199211601528), np.float64(2.0839902313226273)]",dirichlet,0,1,513,mesh,84.30035172259214
162,broad,1,8,4,"[np.float64(1.8811199211601528), np.float64(2.0839902313226273)]",dirichlet,0,1,1025,mesh,84.30015413515999
163,broad,1,8,4,"[np.float64(1.8811199211601528), np.float64(2.0839902313226273)]",dirichlet,0,2,1025,metric,84.30015413534271
164,broad,1,8,4,"[np.float64(1.8811199211601528), np.float64(2.0839902313226273)]",dirichlet,0,4,1025,metric,84.30015413797967
165,broad,1,8,5,"[np.float64(2.0839902313226273), np.float64(2.3244630762385112)]",dirichlet,0,1,257,mesh,83.32315385880158
166,broad,1,8,5,"[np.float64(2.0839902313226273), np.float64(2.3244630762385112)]",dirichlet,0,1,513,mesh,83.32235134527986
167,broad,1,8,5,"[np.float64(2.0839902313226273), np.float64(2.3244630762385112)]",dirichlet,0,1,1025,mesh,83.32215071775208
168,broad,1,8,6,"[np.float64(2.3244630762385112), np.float64(2.61915223474268)]",dirichlet,0,1,257,mesh,83.11544641851606
169,broad,1,8,6,"[np.float64(2.3244630762385112), np.float64(2.61915223474268)]",dirichlet,0,1,513,mesh,83.11464093809768
170,broad,1,8,6,"[np.float64(2.3244630762385112), np.float64(2.61915223474268)]",dirichlet,0,1,1025,mesh,83.11443956892828
171,broad,1,8,7,"[np.float64(2.61915223474268), np.float64(2.95)]",dirichlet,0,1,257,mesh,83.56830728645363
172,broad,1,8,7,"[np.float64(2.61915223474268), np.float64(2.95)]",dirichlet,0,1,513,mesh,83.56751266939045
173,broad,1,8,7,"[np.float64(2.61915223474268), np.float64(2.95)]",dirichlet,0,1,1025,mesh,83.56731401604439
174,broad,1,8,7,"[np.float64(2.61915223474268), np.float64(2.95)]",dirichlet,0,2,1025,metric,83.56731401595987
175,broad,1,8,7,"[np.float64(2.61915223474268), np.float64(2.95)]",dirichlet,0,4,1025,metric,83.5673140163018
176,broad,1,32,0,"[np.float64(0.55), np.float64(0.6947804107094294)]",dirichlet,0,1,257,mesh,1329.2358906711584
177,broad,1,32,0,"[np.float64(0.55), np.float64(0.6947804107094294)]",dirichlet,0,1,513,mesh,1329.2231705924266
178,broad,1,32,0,"[np.float64(0.55), np.float64(0.6947804107094294)]",dirichlet,0,1,1025,mesh,1329.2199905893913
179,broad,1,32,0,"[np.float64(0.55), np.float64(0.6947804107094294)]",dirichlet,0,2,1025,metric,1329.2199905675222
180,broad,1,32,0,"[np.float64(0.55), np.float64(0.6947804107094294)]",dirichlet,0,4,1025,metric,1329.2199902191435
181,broad,1,32,1,"[np.float64(0.6947804107094294), np.float64(0.8548477371826356)]",dirichlet,0,1,257,mesh,1337.2505173368168
182,broad,1,32,1,"[np.float64(0.6947804107094294), np.float64(0.8548477371826356)]",dirichlet,0,1,513,mesh,1337.2378184470017
183,broad,1,32,1,"[np.float64(0.6947804107094294), np.float64(0.8548477371826356)]",dirichlet,0,1,1025,mesh,1337.2346437446306
184,broad,1,32,2,"[np.float64(0.8548477371826356), np.float64(1.022164008608819)]",dirichlet,0,1,257,mesh,1319.1033383763502
185,broad,1,32,2,"[np.float64(0.8548477371826356), np.float64(1.022164008608819)]",dirichlet,0,1,513,mesh,1319.090573947228
186,broad,1,32,2,"[np.float64(0.8548477371826356), np.float64(1.022164008608819)]",dirichlet,0,1,1025,mesh,1319.08738285332
187,broad,1,32,3,"[np.float64(1.022164008608819), np.float64(1.1749238704083365)]",dirichlet,0,1,257,mesh,1388.9111549236295
188,broad,1,32,3,"[np.float64(1.022164008608819), np.float64(1.1749238704083365)]",dirichlet,0,1,513,mesh,1388.898412238895
