s,l,endpoint_speed,timelike_margin,packet_edge_distance
1.28,-2.1,-3.385163672504091e-55,1.0,3.03
1.28,-0.5,-1.5680186925330556e-10,1.0,1.4300000000000002
1.29,-2.1,2.2549659546502045e-55,1.0,3.04
1.29,-0.5,-1.217186109809342e-10,1.0,1.44
1.3,-2.1,1.9115163565059208e-55,1.0,3.0500000000000003
1.3,-0.5,-9.431476678239145e-11,1.0,1.4500000000000002
1.31,-2.1,-8.05511066510892e-57,1.0,3.06
1.31,-0.5,-7.294618622552323e-11,1.0,1.46
1.32,-2.1,-7.015439882639242e-56,1.0,3.07
1.32,-0.5,-5.6314812044069084e-11,1.0,1.4700000000000002
1.33,-2.1,-2.305574786037567e-56,1.0,3.08
1.33,-0.5,-4.33944083490737e-11,1.0,1.48
1.34,-2.1,1.6356272387898593e-56,1.0,3.0900000000000003
1.34,-0.5,-3.337510232941449e-11,1.0,1.4900000000000002
1.35,-2.1,1.3400431727380039e-56,1.0,3.1
1.35,-0.5,-2.5619427411416443e-11,1.0,1.5
1.36,-2.1,-5.52855528252419e-58,1.0,3.11
1.36,-0.5,-1.9626989758000743e-11,1.0,1.5100000000000002
1.37,-2.1,-4.92420470505443e-57,1.0,3.12
