half_angle,layer,rounding,kind,r0,kept_energy,status,time,exit_angle_deg
30.0,2.0,0.5,matter,0.05,95615.40414744416,left sideways,25.652981272341165,61.56343436994321
30.0,2.0,0.5,matter,0.2,42408.12353485851,left sideways,25.209406323683663,61.563841491722506
30.0,2.0,0.5,matter,0.5,22900.264867675363,left sideways,24.957133697616,61.56446472052332
30.0,2.0,0.5,matter,1.0,12421.535500268332,left sideways,24.753612750237053,61.565607604805976
30.0,2.0,0.5,matter,2.0,4987.604816058891,left sideways,24.44789801820137,61.5693299609079
30.0,2.0,0.5,matter,4.0,1019.5615323066143,left sideways,23.883434826340665,61.59352268888062
30.0,2.0,0.5,matter,7.0,105.19000194654923,left sideways,23.041246816732652,61.85628147878547
30.0,2.0,0.5,matter,10.0,10.50152291007417,left sideways,22.176712471495804,64.3538284508113
30.0,2.0,0.5,matter,12.5,1.3362993295454804,left sideways,25.043297389986616,79.59137165119219
30.0,2.0,2.0,light,0.05,181203263.3197373,left sideways,31.067787628682595,61.56310967690984
30.0,2.0,2.0,light,0.2,18794503.592422705,left sideways,29.844248125207667,61.56310804737184
30.0,2.0,2.0,light,0.5,3853965.5116689983,left sideways,29.078600969184343,61.56310100914874
30.0,2.0,2.0,light,1.0,935174.9297972772,left sideways,28.616045283726223,61.563073366795
30.0,2.0,2.0,light,2.0,135188.29836458707,left sideways,28.46787735625756,61.56285739785158
30.0,2.0,2.0,light,4.0,8447.547368664262,left sideways,28.983571651114254,61.559069541542854
30.0,2.0,2.0,light,7.0,384.8810482341125,left sideways,30.20727724008766,61.474395506773305
30.0,2.0,2.0,light,10.0,27.92988038373597,left sideways,31.648236013210788,60.33388128171729
30.0,2.0,2.0,light,12.5,3.5463204881621215,left sideways,33.73410772105113,51.398830526619946
30.0,2.0,2.0,matter,0.05,78219195.27613917,left sideways,26.727797521316397,61.5631102617511
30.0,2.0,2.0,matter,0.2,8399615.278542444,left sideways,25.499272444063223,61.563113552467264
30.0,2.0,2.0,matter,0.5,1903755.042068516,left sideways,24.707169800200774,61.563126160669725
30.0,2.0,2.0,matter,1.0,549647.0401157243,left sideways,24.13583657825676,61.56316631354624
30.0,2.0,2.0,matter,2.0,103474.58088136159,left sideways,23.56175160907892,61.56340971773801
30.0,2.0,2.0,matter,4.0,8350.244818559946,left sideways,22.841111105764757,61.56682532319274
30.0,2.0,2.0,matter,7.0,434.25891819101105,left sideways,21.939650643437627,61.634452838075994
30.0,2.0,2.0,matter,10.0,33.42787305373078,left sideways,21.063232752056095,62.473940186015085
30.0,2.0,2.0,matter,12.5,4.162160492429913,left sideways,20.526388521219854,68.11790171075961
30.0,5.0,0.5,light,0.05,492.8888079746888,left sideways,35.427762850895505,61.49384204080724
30.0,5.0,0.5,light,0.2,250.62855609712227,left sideways,34.84205756875245,61.42684377911219
30.0,5.0,0.5,light,0.5,156.03434222944836,left sideways,34.663666107279745,61.344147922185556
30.0,5.0,0.5,light,1.0,109.785703406821,left sideways,34.76908569207549,61.251770563332336
30.0,5.0,0.5,light,2.0,71.8911604856683,left sideways,35.19115976654368,61.08728700142333
30.0,5.0,0.5,light,4.0,35.53620900851506,left sideways,36.165651804809244,60.59823182353232
30.0,5.0,0.5,light,7.0,11.783917512019372,left sideways,37.834523792834545,58.624694864217396
30.0,5.0,0.5,light,10.0,3.017544268087161,left sideways,40.859713299708744,49.47509675523598
30.0,5.0,0.5,light,12.5,1.032809331740621,passed,63.634742369984714,10.466874210762366
30.0,5.0,0.5,matter,0.05,355.22248419456054,left sideways,29.90276309272494,61.650297757219704
30.0,5.0,0.5,matter,0.2,222.2363066527043,left sideways,29.28407443715037,61.70232017032026
30.0,5.0,0.5,matter,0.5,161.08293656282603,left sideways,28.950454471830987,61.754959655807724
30.0,5.0,0.5,matter,1.0,122.8872735024788,left sideways,28.714420545844003,61.81428024207047
30.0,5.0,0.5,matter,2.0,83.51328036243783,left sideways,28.393948697357327,61.93179865319371
30.0,5.0,0.5,matter,4.0,40.97231454498787,left sideways,27.820780424952723,62.308760949466766
30.0,5.0,0.5,matter,7.0,12.627754724482964,left sideways,26.981946182536944,63.9049210464114
30.0,5.0,0.5,matter,10.0,2.9041801833661203,left sideways,26.760009548600742,70.57577893483888
30.0,5.0,0.5,matter,12.5,1.024833218908204,passed,33.67613783705895,86.97707953975538
30.0,5.0,2.0,light,0.05,12075.531616505956,left sideways,37.26681396738003,61.56028342824184
30.0,5.0,2.0,light,0.2,3511.579247065607,left sideways,35.64088608139187,61.55339009121187
30.0,5.0,2.0,light,0.5,1464.3283414768014,left sideways,34.627512363907165,61.5397995714794
30.0,5.0,2.0,light,1.0,686.7915079387338,left sideways,34.01123963892398,61.513403112017976
30.0,5.0,2.0,light,2.0,271.8479085639343,left sideways,33.770608352179416,61.4374864990643
30.0,5.0,2.0,light,4.0,83.64876745222395,left sideways,34.27218075430893,61.154299286379235
30.0,5.0,2.0,light,7.0,22.40631598839157,left sideways,35.59450648748546,60.02856102060237
30.0,5.0,2.0,light,10.0,6.004899511428382,left sideways,37.47241242185491,55.70729719170158
30.0,5.0,2.0,light,12.5,1.689078357033439,left sideways,42.47667747085694,38.15836512411199
30.0,5.0,2.0,matter,0.05,5692.582486923581,left sideways,31.67895546049695,61.56855973307513
30.0,5.0,2.0,matter,0.2,1805.5074537281546,left sideways,30.046832455770737,61.580288567042516
30.0,5.0,2.0,matter,0.5,860.9062251963417,left sideways,29.014717850965717,61.5991232201904
30.0,5.0,2.0,matter,1.0,477.4615347674009,left sideways,28.29510540269434,61.628006143318274
30.0,5.0,2.0,matter,2.0,233.16842671049483,left sideways,27.61663102868219,61.695811261285115
30.0,5.0,2.0,matter,4.0,85.1474617333145,left sideways,26.836854211344434,61.92477534979224
30.0,5.0,2.0,matter,7.0,23.706270354196548,left sideways,25.908667441725306,62.83788667868063
30.0,5.0,2.0,matter,10.0,5.927085698659035,left sideways,25.13626855651984,66.32136744188881
30.0,5.0,2.0,matter,12.5,1.6139338428581036,left sideways,26.942278078870533,76.65712635339827
45.0,2.0,0.5,light,0.05,4437823360767391.5,left sideways,28.115081715339993,61.56310985726147
45.0,2.0,0.5,light,0.2,672991562217728.2,left sideways,27.559487936834266,61.563109857971654
45.0,2.0,0.5,light,0.5,155966237145473.94,left sideways,27.261929374299033,61.56310985481467
45.0,2.0,0.5,light,1.0,30488109359145.29,left sideways,27.109863096976525,61.56310985695526
45.0,2.0,0.5,light,2.0,1699850436094.0845,left sideways,26.999025927604773,61.563109857447536
45.0,2.0,0.5,light,4.0,6258918208.321895,left sideways,26.880300494422425,61.56310984717252
45.0,2.0,0.5,light,7.0,1478454.001456556,left sideways,26.73998378056866,61.56308677160219
45.0,2.0,0.5,light,10.0,407.295695185144,left sideways,26.66609439385418,61.47927964668354
45.0,2.0,0.5,light,12.5,1.6833812059436861,left sideways,30.22534964425834,38.060929481449705
45.0,2.0,0.5,matter,0.05,1965511806154680.8,left sideways,24.1492775809693,61.56310985661509
