front,decel,launch,z,signal_arrival,pattern_arrival,element_arrival,lead_over_pattern,lead_over_element,packet_arrival
shelf_running,6.0,0.0,12.0,3.00565845533893,3.2499999999999996,-1.5714285714285714,0.2443415446610695,-4.577087026767502,7.5
shelf_running,6.0,0.0,14.0,3.7414173376818245,4.2023809523809526,-1.0000000000000002,0.46096361469912805,-4.741417337681825,7.5
shelf_running,6.0,0.0,16.0,4.477176220024708,5.154761904761904,-0.42857142857142855,0.6775856847371964,-4.905747648596137,7.5
shelf_running,6.0,0.0,18.0,5.212935102367586,6.107142873529439,0.14285714285714254,0.8942077711618523,-5.070077959510444,7.5
shelf_running,6.0,0.0,20.0,5.948693984710464,,0.7142857142857149,,-5.234408270424749,7.5
shelf_running,6.0,0.0,22.0,6.693232046113055,,1.285719515976696,,-5.4075125301363585,7.5
shelf_running,6.0,3.0,13.0,4.388329431101816,3.726190476190476,-1.2857142857142854,-0.6621389549113403,-5.674043716816102,7.5
shelf_running,6.0,3.0,15.0,4.791793806358683,4.678571428571429,-0.7142857142857142,-0.1132223777872543,-5.5060795206443975,7.5
shelf_running,6.0,3.0,17.0,5.527415182940716,5.630952380952381,-0.1428571428571423,0.10353719801166505,-5.670272325797859,7.5
shelf_running,6.0,3.0,19.0,6.263174065283594,6.639537385739497,0.4285714285714285,0.37636332045590315,-5.834602636712165,7.5
shelf_running,6.0,3.0,21.0,6.998932947626472,,0.9999999999999999,,-5.998932947626472,7.5
shelf_running,6.0,3.0,23.0,8.087384640717922,,1.6154560054219143,,-6.471928635296007,7.5
shelf_running,18.0,0.0,8.0,1.5462935560214652,1.345235593424841,-2.5,-0.20105796259662423,-4.046293556021466,19.5
shelf_running,18.0,0.0,10.0,2.269899572996036,2.2976190476190474,-2.142857142857143,0.027719474623011386,-4.412756715853179,19.5
shelf_running,18.0,0.0,12.0,3.00565845533893,3.25,-1.5714285714285712,0.24434154466106994,-4.577087026767501,19.5
shelf_running,18.0,0.0,14.0,3.7414173376818245,4.2023809523809526,-1.0,0.46096361469912805,-4.741417337681824,19.5
shelf_running,18.0,0.0,16.0,4.477176220024708,5.154761904761904,-0.42857142857142855,0.6775856847371964,-4.905747648596137,19.5
shelf_running,18.0,0.0,18.0,5.212935102367586,6.107142857142857,0.14285714285714285,0.8942077547752705,-5.070077959510443,19.5
shelf_running,18.0,0.0,20.0,5.948693984710464,7.059523809523808,0.7142857142857143,1.1108298248133446,-5.234408270424749,19.5
shelf_running,18.0,0.0,22.0,6.684452867053341,8.011904761904761,1.2857142857142863,1.3274518948514196,-5.398738581339055,19.5
shelf_running,18.0,0.0,24.0,7.420211749396219,8.964285714285714,1.857142857142857,1.5440739648894946,-5.563068892253362,19.5
shelf_running,18.0,0.0,26.0,8.155970631739097,9.916666666666666,2.428571428571429,1.7606960349275695,-5.727399203167668,19.5
shelf_running,18.0,0.0,28.0,8.891729514081975,10.869047619047619,3.0,1.9773181049656436,-5.891729514081975,19.5
shelf_running,18.0,0.0,30.0,9.627488396424852,11.821428571428571,3.5714285714285716,2.1939401750037195,-6.0560598249962805,19.5
shelf_running,18.0,0.0,32.0,10.36324727876773,12.773809523809524,4.142857142857143,2.4105622450417936,-6.220390135910587,19.5
shelf_running,18.0,0.0,34.0,11.099006161110609,13.726190476190474,4.7142857142857135,2.627184315079866,-6.384720446824895,19.5
shelf_running,18.0,0.0,36.0,11.834765043453487,14.678571428571429,5.285714285714285,2.843806385117942,-6.549050757739202,19.5
shelf_running,18.0,0.0,38.0,12.570523925796365,15.63095238095238,5.857142857142858,3.060428455156014,-6.713381068653508,19.5
shelf_running,18.0,0.0,40.0,13.306282808139242,16.583333333333332,6.42857142857143,3.27705052519409,-6.877711379567812,19.5
shelf_running,18.0,0.0,42.0,14.04204169048212,17.535714285714285,6.999999999999999,3.493672595232164,-7.0420416904821215,19.5
