family,unload_fraction,route,time,required_negative_null,peak_x,peak_null_cosine,auxiliary_ADM
directional,0.5,guide_omitted_tensor_bound,0.0,0.1283889980856878,-0.50078125,1.0,-350.61907483670484
directional,0.5,guide_omitted_tensor_bound,0.5,0.05542846075065272,-0.50390625,-1.0,-107.69174211974334
directional,0.5,guide_omitted_tensor_bound,1.285,2.786277827535277,-0.50078125,-1.0,281.47650201973016
directional,1.0,delivery_drift050,0.0,9.84961382719406,-0.50078125,0.003629908723195546,80937.12118023193
directional,1.0,delivery_drift050,0.5,9.868351495049849,-0.50078125,-0.0016640689503838381,45635.843745592065
directional,1.0,delivery_drift050,1.285,12.33416855433529,-0.50078125,-0.19327344750741676,4707.700430896668
directional,1.0,delivery_drift090,0.0,0.8154549258882141,-0.50078125,0.04878167835550285,6001.666553916161
directional,1.0,delivery_drift090,0.5,0.8031245940905487,-0.50078125,-0.021948197548259146,3473.622542824268
directional,1.0,delivery_drift090,1.285,6.71584595967739,-0.50078125,-1.0,741.0749063311414
directional,1.0,guide_omitted_tensor_bound,0.0,0.15818164877804752,-0.50078125,1.0,-354.4657581374074
directional,1.0,guide_omitted_tensor_bound,0.5,0.09169288425291564,-0.50078125,-1.0,-102.63729133907178
directional,1.0,guide_omitted_tensor_bound,1.285,6.715845959677391,-0.50078125,-1.0,404.62006272960116
stiff_fluid,0.0,delivery_drift050,0.0,0.14760454258718037,-0.50078125,0.5533693795965586,287.9364482561542
stiff_fluid,0.0,delivery_drift050,0.5,0.10431252853874398,-0.50078125,0.018717620077174292,299.16818907921805
stiff_fluid,0.0,delivery_drift050,1.285,0.6797880352712092,-0.51328125,-0.033507757326168904,338.4976298041878
stiff_fluid,0.0,delivery_drift090,0.0,0.14760454258718037,-0.50078125,0.5533693795965586,287.9364482561542
stiff_fluid,0.0,delivery_drift090,0.5,0.10431252853874398,-0.50078125,0.018717620077174292,299.16818907921805
stiff_fluid,0.0,delivery_drift090,1.285,0.6797880352712092,-0.51328125,-0.033507757326168904,338.4976298041878
stiff_fluid,0.0,guide_omitted_tensor_bound,0.0,0.13884695339696826,-0.50078125,1.0,-262.7362437813802
stiff_fluid,0.0,guide_omitted_tensor_bound,0.5,0.04997806215915246,-0.51328125,1.0,-10.666240668227863
stiff_fluid,0.0,guide_omitted_tensor_bound,1.285,0.624934269904451,-0.51328125,-1.0,309.3483790682056
stiff_fluid,1.0,delivery_drift050,0.0,12.659453058510316,-0.50078125,0.003904865529530006,104166.27181869616
stiff_fluid,1.0,delivery_drift050,0.5,12.6829741783392,-0.50078125,-0.0016720951705178149,58740.60860865054
stiff_fluid,1.0,delivery_drift050,1.285,15.851405924851035,-0.50078125,-0.19322390245107138,6061.347496106582
stiff_fluid,1.0,delivery_drift090,0.0,1.0515718285578832,-0.50078125,0.0525530240544318,7879.904862445754
stiff_fluid,1.0,delivery_drift090,0.5,1.0348493324026262,-0.50078125,-0.02200251818201061,4565.35708499276
stiff_fluid,1.0,delivery_drift090,1.285,8.629749951685657,-0.50078125,-1.0,964.5350094012706
stiff_fluid,1.0,guide_omitted_tensor_bound,0.0,0.2150224272551644,-0.50078125,1.0,-287.2423347361963
stiff_fluid,1.0,guide_omitted_tensor_bound,0.5,0.11849969877199645,-0.50234375,-1.0,-29.865142460352914
stiff_fluid,1.0,guide_omitted_tensor_bound,1.285,8.629749951685655,-0.50078125,-1.0,532.216093118231
radiation_fluid,0.0,delivery_drift050,0.0,0.18441578169852763,-0.50078125,0.7054228679598084,428.4116449382523
radiation_fluid,0.0,delivery_drift050,0.5,0.12449433827541961,-0.50234375,0.018926588055273558,439.1409656653147
radiation_fluid,0.0,delivery_drift050,1.285,0.9533055247594279,-0.51328125,-0.03350775687101568,478.4704048429551
radiation_fluid,0.0,delivery_drift090,0.0,0.18441578169852763,-0.50078125,0.7054228679598084,428.4116449382523
radiation_fluid,0.0,delivery_drift090,0.5,0.12449433827541961,-0.50234375,0.018926588055273558,439.1409656653147
radiation_fluid,0.0,delivery_drift090,1.285,0.9533055247594279,-0.51328125,-0.03350775687101568,478.4704048429551
