s,drift_comparison,x,required_negative_null,worst_direction
0.0,0.2,-1.5093750000000001,0.29312327943456234,0.0008220971647802867
0.0,0.2,-1.503125,0.2949089510263514,0.0008182928885896037
0.0,0.2,-1.496875,0.29669683800213525,0.0008146087754593211
0.0,0.2,-1.490625,0.29848728077114384,0.0008110500603346184
0.0,0.2,-1.484375,0.3002807024716574,0.0008076053878551764
0.0,0.2,-1.4781250000000001,0.3020773759621532,0.0008042499514246916
0.0,0.2,-1.471875,0.30387838814940754,0.0008009534716814671
0.0,0.2,-1.465625,0.30568393393137455,0.0007976847623874697
0.0,0.2,-1.459375,0.3074952303751434,0.0007944185270103907
0.0,0.2,-1.453125,0.30931240261081683,0.0007911262750554781
0.0,0.2,-1.4468750000000001,0.3111367952171665,0.0007877872994821655
0.0,0.2,-1.440625,0.3129684716183642,0.0007843834552377244
0.0,0.2,-1.434375,0.31480889145802693,0.0007809090823933597
0.0,0.2,-1.428125,0.3166580655530599,0.0007773662011594031
0.0,0.2,-1.421875,0.31851757706218486,0.0007737707726439412
0.0,0.2,-1.4156250000000001,0.3203873854043915,0.0007701304912911731
0.0,0.2,-1.409375,0.32226917206819017,0.000766441923003761
0.0,0.2,-1.403125,0.32416285939812944,0.0007627463351441609
0.0,0.2,-1.396875,0.3260686372717901,0.0007590620297875772
0.0,0.2,-1.390625,0.327986447090419,0.000755480189269807
0.0,0.2,-1.3843750000000001,0.32991492155627233,0.0007517642374775427
0.0,0.2,-1.378125,0.3318540803898924,0.0007481197643682241
0.0,0.2,-1.371875,0.3338028645421088,0.0007443626875363978
0.0,0.2,-1.365625,0.3357613249910042,0.0007407136965962107
0.0,0.2,-1.359375,0.337728322713115,0.0007369744575521977
0.0,0.2,-1.3531250000000001,0.3397039271689205,0.0007333538362397445
0.0,0.2,-1.346875,0.3416869308192071,0.0007296450244195441
0.0,0.2,-1.340625,0.34367742336798623,0.000726061465400677
0.0,0.2,-1.334375,0.3456741373798164,0.0007223965161545142
0.0,0.2,-1.328125,0.34767717541343335,0.0007188572444352028
0.0,0.2,-1.3218750000000001,0.34968521667129077,0.0007152209567965158
0.0,0.2,-1.315625,0.3516983752052651,0.0007116948674171794
0.0,0.2,-1.309375,0.3537152879587188,0.0007080522053239506
0.0,0.2,-1.303125,0.35573777123245515,0.0007092945165371326
0.0,0.2,-1.296875,0.4007069228800978,0.0006265975022445215
0.0,0.2,-1.2906250000000001,0.4029927474851746,0.0006224127654760718
0.0,0.2,-1.284375,0.40529708216231763,0.000618893812357576
0.0,0.2,-1.278125,0.4076195194139002,0.0006156060775351959
0.0,0.2,-1.271875,0.40995672136747274,0.0006124078166366126
0.0,0.2,-1.265625,0.4123085400320692,0.0006092732555552847
0.0,0.2,-1.2593750000000001,0.41467569128701753,0.0006061644031870392
0.0,0.2,-1.253125,0.41705802147414556,0.0006030405025113653
0.0,0.2,-1.246875,0.41945637952027104,0.0005999516275363565
0.0,0.2,-1.240625,0.4218706429156254,0.0005969321013059676
0.0,0.2,-1.234375,0.4243017372746562,0.0005939817129902572
0.0,0.2,-1.2281250000000001,0.42674952664457916,0.0005911050662214481
0.0,0.2,-1.221875,0.4292149553149797,0.0005883142797795074
0.0,0.2,-1.215625,0.4316978929054115,0.0005856282679511067
0.0,0.2,-1.209375,0.4342033032579232,0.0005830732572313541
0.0,0.2,-1.203125,0.4367310008213437,0.0005806797251970994
0.0,0.2,-1.1968750000000001,0.4392903776769936,0.000578488959431217
0.0,0.2,-1.190625,0.441881165336766,0.000576548584499013
0.0,0.2,-1.184375,0.4444882561641185,0.0005748971023715365
0.0,0.2,-1.178125,0.44711159497006153,0.0005735634321994176
0.0,0.2,-1.171875,0.4497348156041583,0.0005725588326291601
0.0,0.2,-1.1656250000000001,0.4523580296747486,0.0005718776698798945
0.0,0.2,-1.159375,0.4549811748018111,0.0005715255620970389
0.0,0.2,-1.153125,0.45760435645853775,0.0005715898115606368
0.0,0.2,-1.146875,0.4602262367270631,0.0005720965300040471
0.0,0.2,-1.140625,0.46284686171498596,0.0005730317637858782
0.0,0.2,-1.1343750000000001,0.46546550519915325,0.0005743618787081983
0.0,0.2,-1.128125,0.46808217596827784,0.0005760473870162172
0.0,0.2,-1.121875,0.4706965606862942,0.0005780706156039671
0.0,0.2,-1.115625,0.47330866048109915,0.0005804380935354334
0.0,0.2,-1.109375,0.4759369194441986,0.0005831934136319353
0.0,0.2,-1.1031250000000001,0.4785811604367658,0.000586375266182961
0.0,0.2,-1.096875,0.48123648466944363,0.0005900000310349725
