s,x,velocity,gamma,heat,effective_n,momentum,alpha,b,coordinate_fixed_velocity,momentum_rate,decomposition_residual,traction,lapse,radial_metric,shift,endpoint
0.25,-1.3583286009618574,-0.6051586558374369,1.2561158816059879,3.2242120732896393,0.004425888665336985,-5.134452440921549,114.68523106080312,163.76279051161433,-1.3348875705128974e-08,-16.06893836940699,-7.105427357601002e-15,64.0501420582865,-58.87811567704937,-20.895284880002404,1.098949221526293e-06,-0.3456809695909406
0.255,-1.360462802916304,-0.6157798068172136,1.2691671388566967,3.222731931110742,0.004422761700937076,-5.214292557086175,112.96353508667528,161.81904856490607,-1.1144536219096858e-08,-15.866485938141548,-7.105427357601002e-15,62.637301151433235,-57.93185714830143,-20.15341812677176,9.325087947168195e-07,-0.418512747010392
0.26,-1.3626271361163964,-0.6263622259897539,1.2828207394345754,3.220149379691428,0.004419036478431969,-5.2931098342487575,111.2466347859509,159.8721764743188,-9.291256797440264e-09,-15.659511102739906,1.2434497875801753e-14,61.231389160372714,-56.98907375453247,-19.411836165548884,7.896597569633959e-07,-0.48999113269100975
0.265,-1.3648211848222358,-0.6368978380671597,1.297103989453772,3.2164727780613642,0.004414692746098357,-5.370878637740963,109.5352904651669,157.92291536475167,-7.735194752149905e-09,-15.44712297533011,1.2434497875801753e-14,59.833175195024296,-56.05048534135552,-18.670990244115004,6.673694259110495e-07,-0.5588232522532978
0.27,-1.3670445045357906,-0.6473769395595248,1.3120432571119616,3.2117246969701734,0.004409716973686109,-5.447572368943127,107.83025360956158,155.97201004098588,-6.430557301536425e-09,-15.229519072652556,-5.329070518200751e-15,58.443438236002066,-55.116846220505856,-17.931360474882407,5.629627370033952e-07,-0.6247511762291029
0.275,-1.369296620823675,-0.6577896855721961,1.3276657007875146,3.205928141904319,0.0044040963791140645,-5.523165532576874,106.13226617232021,154.02020854932798,-5.338774935073028e-09,-15.006938729452637,1.0658141036401503e-14,57.06296407020659,-54.188900628120976,-17.193439021261547,4.741107532266791e-07,-0.6875636243874464
0.28,-1.3715770296627072,-0.6681261418392386,1.343999272680571,3.199106608870615,0.004397819066913796,-5.5976339144485205,104.4420586779701,152.06826043488203,-4.425921574125293e-09,-14.779654246174127,-3.552713678800501e-15,55.69254147845254,-53.26738021455083,-16.457727742914777,3.986707470598805e-07,-0.7470881658318065
0.28500000000000003,-1.3738851979641495,-0.6783763337637885,1.3610727133109672,3.191284139751947,0.004390874143256205,-5.67095473373347,102.76034991432036,150.11691671214933,-3.6641220150270297e-09,-14.547965714487468,5.329070518200751e-15,54.33296010774217,-52.35300274935811,-15.724736474866523,3.3483521720299236e-07,-0.8031869328402124
0.29,-1.376220564275669,-0.6885303023026231,1.378915552320094,3.182485382028593,0.00438325179640911,-5.743106793718325,101.08784455574418,148.16692763063426,-3.0290705793492097e-09,-14.312225553850807,1.7763568394002505e-15,52.98500742994332,-51.446502072153415,-14.994978231285161,2.809013574242789e-07,-0.8557529612569095
0.295,-1.3785825396814144,-0.698578185993727,1.3975581566186688,3.1727356375198363,0.004374943028073818,-5.814071099160651,99.42523056139764,146.2190426028129,-2.5004101750003736e-09,-14.072938271811054,-1.9539925233402755e-14,51.649468070549574,-50.54873896308574,-14.268959268732853,2.3515359748735707e-07,-0.9047083456956525
0.3,-1.380970508897954,-0.7085102652444266,1.4170317175964784,3.1620609183202495,0.004365939781949155,-5.883830885429907,97.77317798617614,144.27400888266567,-2.0612305721965237e-09,-13.830476900380203,3.552713678800501e-15,50.32711892392285,-49.66040018859991,-13.5471999503231,1.9642862879394271e-07,-0.949995881808673
0.305,-1.383383831456943,-0.7183169815298415,1.4373681788039996,3.1504880119941387,0.004356235351629086,-5.952371176947024,96.13233900540416,142.3325691676928,-1.6967655049680841e-09,-13.58520094544462,7.105427357601002e-15,49.01872161329601,-48.78212282539733,-12.830222288114099,1.637193046648753e-07,-0.9915776089484977
0.31,-1.3858218430117257,-0.7279889841734681,1.4586002009557446,3.1380445373338093,0.0043458245798566305,-6.019678811766366,94.50334768073898,140.395461253331,-1.3949502902024693e-09,-13.337475120058066,1.2434497875801753e-14,47.72502229720013,-47.914520061880125,-12.11854553085885,1.3618278599573894e-07,-1.029431960701992
0.315,-1.3882838567844362,-0.7375171805030648,1.4807611277379396,3.124759005645075,0.00433470408189177,-6.085742453114368,92.88681795462828,138.46341574248922,-1.145336976227652e-09,-13.087664168603611,-3.552713678800501e-15,46.446748053297256,-47.05817830891107,-11.412683269000663,1.1306094857551383e-07,-1.06355075705009
0.32,-1.3907691651428382,-0.7468927809114544,1.5038849349431822,3.110660878685647,0.004322872442409606,-6.150552580948903,91.28334307943972,136.53715529779188,-9.391791993741399e-10,-12.836129473350407,7.105427357601002e-15,45.184603921614354,-46.21365551514727,-10.713141191870317,9.369989974201777e-08,-1.0939367816470635
0.325,-1.3932770412939046,-0.7561073432343179,1.528006171251126,3.0957806289054863,0.00431033041976303,-6.2141014662376675,89.69349458175667,134.61739331281646,-7.692261212232855e-10,-12.58322548003983,0.0,43.93926963377865,-45.38147925866019,-10.020414722798776,7.754213273752948e-08,-1.1206012099016451
0.33,-1.3958067410843944,-0.7651528159384401,1.5531598901335315,3.0801498023698746,0.004297081154822646,-6.2763831286815135,88.11782082679258,132.7048320593319,-6.292158294480983e-10,-12.329296838877244,-7.105427357601002e-15,42.71139613377312,-44.56214468883866,-9.334986587492612,6.408931652065697e-08,-1.143561760408421
0.335,-1.3983575048944314,-0.7740215757909058,1.5793815607432082,3.0638010776429936,0.004283130350453488,-6.337393281566785,86.55684690998783,130.80016227898975,-5.140795223960514e-10,-12.074675860408183,-7.105427357601002e-15,41.501603573748156,-43.75611357924441,-8.657324993315425,5.2928191611672985e-08,-1.1628409145246992
