s,peak_velocity,peak_velocity_fraction,peak_velocity_l,material_fraction_above_09,material_fraction_above_099,maximum_density,maximum_radial_stress,reference_maximum_speed,density_peak_over_reference,radial_peak_over_reference
0.5299999999999967,-0.25856205173159647,0.8125,-0.8433502396241616,0.0,0.0,8.911595437008632,8.89953399684695,0.9690395742988633,74.6476513401382,116.51413358264024
0.5349999999999961,-0.2623906963183517,0.8125,-0.8443359079898041,0.0,0.0,8.971491865316485,8.95938997797482,0.9703616605730866,19.505716436608992,56.051577076803554
0.5399999999999956,-0.26620265311674113,0.8125,-0.8453346653162801,0.0,0.0,9.032113984762473,9.019971295842925,0.9716198197302713,33.83081192298752,92.63956553778922
0.544999999999995,-0.2699876922912323,0.8125,-0.8463463896966942,0.0,0.0,9.093468553371709,9.081284707441858,0.9728235126383993,49.26942306802481,76.6879728948946
0.5499999999999945,-0.2737334643659283,0.8125,-0.8473709171315754,0.0,0.0,9.155562365161634,9.143337005773029,0.9740351757645984,50.0569195837597,81.61399110936675
0.5549999999999939,-0.2774249753133133,0.8125,-0.8484080328109949,0.0,0.0,9.218402268436037,9.206135038130764,0.975189035024077,33.43992224776437,61.05843273020606
0.5599999999999934,-0.28104390136586516,0.8125,-0.8494574601912348,0.0,0.0,9.281995133650017,9.269685673988125,0.9762882792887598,17.953638048988037,39.117919438860376
0.5649999999999928,-0.28456769394756265,0.8125,-0.8505188471947857,0.0,0.0,9.346347883597094,9.333995835164414,0.977336051959947,41.97476821690776,60.038176520687415
0.5700000000000001,-0.28796839518445855,0.8125,-0.851591748628491,0.0,0.0,9.411467473836435,9.399072476264987,0.9783354335726329,45.29788999242767,88.63866997087214
0.5750000000000001,-0.2912110585592796,0.8125,-0.8526756035805749,0.0,0.0,9.477360891531529,9.464922583520574,0.9792894282267833,22.180852717603077,35.5982454814375
0.577364632377326,-0.2926773219969095,0.8125,-0.8531918060596706,0.0,0.0,9.508795172012617,9.496336255243161,0.9797205119795356,17.286860789772746,29.611874990970207
