s,steps,minimum_heat,coldest_l,maximum_abs_velocity,maximum_sound2,minimum_stretch,maximum_stretch,minimum_relative_cell_width,minimum_packet_gap,canonical_energy,slice_energy,field_slice_energy,thermal_inventory,canonical_balance_residual,momentum_balance_residual,thermal_balance_residual,maximum_anchor_force,canonical_geometry_integral,canonical_endpoint_integral,heat_endpoint_integral,heat_electrical_integral,momentum_free_integral,anchor_left_integral,anchor_right_integral,receiver_velocity,receiver_heat,receiver_l,receiver_effective_n,maximum_gamma,minimum_rest_dec_margin,maximum_density,maximum_abs_radial_stress,backbone_slice_energy,maximum_backbone_inverse_stretch,minimum_backbone_inverse_stretch
0.22,440,0.2500000000000001,-2.1,0.37704074290674044,0.9933825639362831,0.0022493589087221985,0.1762196452260107,0.8208317374626098,0.37,8872.272078481208,134.500528297835,0.0,26.89141040862586,3.6630990113485855e-11,-6.185850442985696e-13,-9.853228506874384e-15,6.380771985234073,-140.51026754245663,6.270424038351207,0.051925086677495076,0.0,-113.62611847646927,27.11510682950407,-0.01746052727849404,-0.3113427186839916,3.1920902343280066,-1.3271068942295887,0.005401448695315988,1.079684292227881,0.004275308441805013,0.7750449020798285,0.7648087590110485,98.84593136632158,181.84256856773086,5.644626368766155e-07
0.225,450,0.2500000000000001,-2.1,0.3851820988278021,0.9933968315104126,0.002263203034458344,0.17660294233910132,0.8185550203929007,0.375,8816.476808750147,134.94328337483864,0.0,26.900432526093113,2.6831474781480803e-11,-6.116843143111339e-13,-7.237327133367912e-15,6.408363151778666,-145.01871961377108,6.338829620244436,0.05264304397352961,0.0,-116.35704134623528,27.736770694159475,0.027019221340567064,-0.317310767844162,3.1965501255190136,-1.3282502894944301,0.005452236043720699,1.0836107699123327,0.004285364197270531,0.7784029174179967,0.7681445437359562,99.24318719736313,182.23809615762923,5.666260224555869e-07
0.23,460,0.2500000000000001,-2.1,0.3951039809643762,0.9934112285954473,0.0022782392321714293,0.176991401434238,0.8162726232386511,0.38,8760.177105994635,135.3932031036234,0.0,26.90783109537861,3.7278338506716254e-11,-6.202399704946515e-13,-4.272638910060574e-15,6.436386398979007,-149.55281248015658,6.392734492556958,0.05323180341032686,0.0,-119.08093204526939,28.358703484427494,0.07055138547260704,-0.323240073735713,3.200379110821681,-1.329412749134966,0.00550463487482992,1.0885699660644206,0.004298042324330863,0.7818136009839307,0.771532696791999,99.64808919026508,182.6389504412283,5.687900363256533e-07
0.23500000000000001,470,0.2500000000000001,-2.1,0.4052725573930423,0.9934257549511993,0.0022944508868113097,0.17738507285846378,0.8139829841728888,0.385,8703.398878667533,135.85036781206767,0.0,26.913552662123553,4.096152764061337e-11,-6.002975894148221e-13,-6.452556721315969e-15,6.464847845716916,-154.11032291582848,6.431977158676867,0.05368711122517096,0.0,-121.79665952795213,28.98090652504326,0.11312748564699493,-0.3291295560595664,3.2035580775969446,-1.3305940118349686,0.005558709298840813,1.0938574474356408,0.004313323383146092,0.7852776955245483,0.7749739579828376,100.06074931240626,183.04518337207503,5.709547990576948e-07
0.24,480,0.2500000000000001,-2.1,0.4154518348938451,0.9934404104018257,0.0023118233727482985,0.17778400971731217,0.8116856491968198,0.39,8646.168049981283,136.31486320593442,0.0,26.917545652122698,3.535861568541231e-11,-5.88640247656258e-13,-5.057409322112516e-15,6.493753880816539,-158.6890589142113,6.456428515728987,0.05400486327321104,0.0,-124.50315858182645,29.603381276116647,0.15475105366648267,-0.33497788173139453,3.206069047787401,-1.3317938125322641,0.005614526903792661,1.099365999690021,0.004331195982577685,0.7887959760897183,0.7784690992549879,100.48128249800529,183.45684975022652,5.731204485306863e-07
0.245,490,0.2500000000000001,-2.1,0.42563388854476514,0.9934551948195585,0.002330342124673233,0.17818826748797156,0.8093812205109623,0.395,8588.51147923567,136.78678020484162,0.0,26.919760363177712,4.092804410303249e-11,-5.584699369620694e-13,-4.8830158972120845e-15,6.523111138426678,-163.28678584852423,6.465991332095695,0.05418110437917395,0.0,-127.19943113588397,30.226129349352313,0.1954357044398989,-0.3407834629089893,3.207895205688674,-1.3330118816329373,0.005672158914674199,1.1051000304170504,0.004351654678754396,0.7923692470399821,0.7820189217276591,100.90980647927167,183.87400682307097,5.752871289995312e-07
0.25,500,0.2500000000000001,-2.1,0.43581079689162816,0.9934701081181976,0.002349992502780563,0.17859790389133195,0.8070712880915869,0.4,8530.456887349475,137.2662149984222,0.0,26.920148946618067,3.494565205524808e-11,-5.57748291996063e-13,-7.062933708467479e-15,6.552926491636846,-167.90123180425346,6.460599653890005,0.05421202686684191,0.0,-129.88452969709212,30.84915252326319,0.23520144077826896,-0.3465444570498549,3.2090209262638236,-1.334247944233325,0.005731680383068897,1.111063823792087,0.004374700044777752,0.795998341294716,0.7856242549483,101.346441807914,184.29671415329153,5.774549909489746e-07
0.255,510,0.2500000000000001,-2.1,0.4459747156631105,0.993485150256441,0.002370761639638646,0.17901297903322497,0.8047583656015782,0.405,8472.032194757418,137.75326932330336,0.0,26.918665378148447,3.5849707569931923e-11,-5.997424779025096e-13,-8.632474532571364e-15,6.583207065360115,-172.53013959621455,6.440218133525821,0.05409396823916459,0.0,-132.55754875020162,31.47245275721995,0.27407363551574027,-0.3522587689926482,3.209431803889887,-1.3355017193575525,0.005793170409505111,1.1172615625597684,0.004400339824635868,0.7996841219477427,0.7892859585002491,101.79131210642532,184.72503376461316,5.796242024750948e-07
0.26,520,0.2500000000000001,-2.1,0.4561175160623711,0.9935003212148144,0.002392635500308681,0.17943355481637507,0.8024458167561692,0.41000000000000003,8413.267774499322,138.24806976952578,0.0,26.91528677239262,3.413088597411327e-11,-5.981326545168031e-13,-1.0114818644225033e-14,6.613960196931178,-177.1712553408257,6.405009897134375,0.053825107335765315,0.0,-135.21756762364393,32.0960322043639,0.31208001434540605,-0.35792364019188255,3.209121481920444,-1.3367729188674666,0.005856713280360543,1.1236970759530127,0.004428584789866391,0.8034274774700585,0.7930049172390528,102.24454292861199,185.15902953499,5.817949311997318e-07
0.265,530,0.2500000000000001,-2.1,0.46622917269468506,0.9935156210047481,0.002415601574569511,0.17985969523382597,0.8001377760189203,0.41500000000000004,8354.20390713491,138.75084217181532,0.0,26.91009396431341,5.5950991297655264e-11,-5.141997938551413e-13,-2.7902947984069054e-15,6.645193459754514,-181.82236022219942,6.3559615539212,0.053411876798598046,0.0,-137.86355061452662,32.71989322330588,0.349249381600468,-0.36353407894555956,3.2081173590573253,-1.3380612421805829,0.005922402536179102,1.1303726860779357,0.00445945282959133,0.8072293246507811,0.7967820442168235,102.7062589208281,185.59876749939468,5.839673626504242e-07
0.27,540,0.2500000000000001,-2.1,0.4762992015953159,0.9935310496517832,0.0024396477096898894,0.18029146594523832,0.7978390734842782,0.42000000000000004,8294.882704744237,139.26184178242164,0.0,26.903194085624875,6.00471440617166e-11,-5.833666882892885e-13,-3.923852060259711e-15,6.676914635462026,-186.4812905869509,6.294260623357243,0.052862801898590696,0.0,-140.49453032313463,33.34403838853181,0.3856101076095307,-0.3690842846416941,3.2064566373650294,-1.3393663704651029,0.005990338007631787,1.1372899190131247,0.004492965321635511,0.8110906052238592,0.8006182773331739,103.17658595928212,186.04431541259603,5.861416894347736e-07
0.275,550,0.2500000000000001,-2.1,0.48631732333692607,0.9935466071884643,0.0024593449700348984,0.18072893411428403,0.7955551455996128,0.42500000000000004,8235.345061616823,139.78132458275542,0.0,26.894691127072093,5.665414558685381e-11,-5.225264665398299e-13,-5.493392884363595e-15,6.709131704621158,-191.14593362580442,6.221048560326391,0.05218615795630032,0.0,-143.10959877991823,33.96847049957241,0.42118835205689137,-0.37456828180643936,3.2041761833330282,-1.340687965692779,0.006060624579409282,1.144449859684092,0.004529147033618361,0.815012284770989,0.8045145782475195,103.65565205034984,186.4957425813653,5.883181098751218e-07
0.28,560,0.2500000000000001,-2.1,0.49627351057778174,0.993562293656963,0.0024790744915254947,0.1811721685170667,0.7932919539069154,0.43000000000000005,8175.630527080601,140.30954782359083,0.0,26.884687506392858,5.4924162811841525e-11,-5.487277299209836e-13,-3.749458635359279e-15,6.7418528570256875,-195.81424225339248,6.137425514978879,0.051390095116341815,0.0,-145.70787222495306,34.593192588835564,0.45600790989016976,-0.3799799500982105,3.201312520030265,-1.342025670384499,0.006133372376620798,1.1518531423892222,0.004568029046617137,0.8189953540278591,0.8084719336792793,104.14358743966059,186.95311997635557,5.90496837967948e-07
0.28500000000000003,570,0.2500000000000001,-2.1,0.5061580068437707,0.9935781090866916,0.0025001672673901814,0.18162123894191864,0.7910558953550855,0.43500000000000005,8115.776493494166,140.84676946119205,0.0,26.873284043287292,6.418794154255245e-11,-5.12423437015741e-13,-4.8830158972120845e-15,6.775086450580577,-200.4842992532487,6.044449860199685,0.05048263635553368,0.0,-148.28852666725135,35.21820792818471,0.4900881917451451,-0.3853130525067401,3.197901816708122,-1.3433791074670443,0.006208696886839195,1.1594999230927967,0.0046096424658733795,0.8230408238847167,0.8124913504427,104.6405241893669,187.41651961274763,5.926780849322145e-07
0.29,580,0.2500000000000001,-2.1,0.5159613485354342,0.9935940535030977,0.002522637461504221,0.1820762164632427,0.7888537107180353,0.44000000000000006,8055.819202178587,141.39324841785802,0.0,26.860579921301667,6.070565363414064e-11,-5.345723863570129e-13,-5.231802747012948e-16,6.80884103339338,-205.1542368077075,5.943137771021157,0.049471674449705946,0.0,-150.85083451933858,35.843520034247014,0.5234445257885499,-0.39056126691041626,3.193979879114539,-1.3447478802418578,0.006286719160636169,1.1673898543311554,0.004654024300792902,0.8271497281392441,0.8165738581843107,105.14659662896129,187.88601483282963,5.948620751847889e-07
0.295,590,0.2500000000000001,-2.1,0.5256743793762935,0.9936101269120178,0.0025464996998572783,0.18253717302081637,0.7866923980133438,0.44499999999999995,7995.794121325156,141.94924430096927,0.0,26.846672695953806,5.279237758585865e-11,-4.879430193227563e-13,-3.3134750731082e-15,6.843125315424649,-209.82220634167024,5.83446314132741,0.04836497262030352,0.0,-153.39415831082826,36.46913267244498,0.5560870823754248,-0.39571821610567753,3.189582134977097,-1.3461315724665848,0.006367565945076762,1.175522054647592,0.0047012131975670635,0.8313231200628832,0.8207205059732736,105.66194115561753,188.36167987187693,5.970490355021757e-07
0.3,600,0.2500000000000001,-2.1,0.535288265312824,0.9936263292935578,0.0025717688340992336,0.18300418126134052,0.784579115115031,0.45000000000000007,7935.736034835787,142.51501802868066,0.0,26.831661005209916,5.1754387920851283e-11,-4.652944696204031e-13,-5.754983021714243e-15,6.877948158972533,-214.48638295358705,5.719369084532533,0.04717038022727539,0.0,-155.91784789373295,37.09504985986511,0.5880203663923885,-0.40077749990529893,3.1847436178572925,-1.3475297485478335,0.006451369822813297,1.1838950783964801,0.004751248997140232,0.8355620712751982,0.8249323611848915,106.18669612519156,188.8435896946455,5.992391936877747e-07
0.305,610,0.2500000000000001,-2.1,0.5447945123627502,0.9936426606055384,0.002598461797849917,0.18347731465273817,0.7825210920987462,0.45499999999999996,7875.678963944279,143.090832819971,0.0,26.81564791622165,5.604028073120429e-11,-4.4353409833775004e-13,-1.0463605494025895e-15,6.9133185890963045,-219.14498462581307,5.598780906756192,0.04589609909394862,0.0,-158.42115819520419,37.72127586690845,0.6192437817904265,-0.40573273589143366,3.17949894943471,-1.3489419538587692,0.006538269165033787,1.192506888760054,0.004804176443134663,0.8398676730624965,0.8292105108128673,106.72100174821703,189.33182011331743,6.014327878661278e-07
0.31,620,0.2500000000000001,-2.1,0.5541849752573562,0.9936591207632279,0.0026265941502631117,0.18395664690918467,0.7805255371928326,0.4600000000000001,7815.6555779406945,143.67695278550784,0.0,26.79873675367372,5.687736917072636e-11,-3.999023334699814e-13,-5.144606034562732e-15,6.949245753439902,-223.7963028033679,5.473589792519327,0.044550351537481846,0.0,-160.90335169836132,38.347815217853736,0.6497503351386362,-0.4105776014196314,3.173882316169353,-1.3503677152054423,0.006628407902190464,1.2013548235806497,0.004860038365518039,0.8442410314901839,0.8335560566144199,107.26499994714074,189.82644719418462,6.036300496653618e-07
