scenario,pressure_cap,host_stiffness_control,velocity_step,points,max_action_hessian_error,max_normalized_action_hessian_error,min_radial_kinetic,max_radial_kinetic,min_angular_kinetic,negative_radial_kinetic_points,negative_angular_kinetic_points,positive_definite_kinetic_points,full_material_candidate_pass
low_preload_counterflow,0.5,mixed,0.01,2049,1.5265566588595902e-16,3.807567146773588e-15,-0.022231704375160834,-1.3384998469416362e-06,-0.00038439959719308345,2049,1165,0,False
low_preload_counterflow,1.0,zero,0.04,2049,4.85722573273506e-17,1.4412299521794976e-15,-0.022231704375160744,-1.3384998469401691e-06,-0.00038439959719308476,2049,1165,0,False
low_preload_counterflow,1.0,zero,0.02,2049,4.163336342344337e-17,1.4956484269593183e-15,-0.022231704375160758,-1.3384998469401696e-06,-0.0003843995971930852,2049,1165,0,False
low_preload_counterflow,1.0,zero,0.01,2049,6.591949208711867e-17,1.7096416836513642e-15,-0.02223170437516075,-1.3384998469401691e-06,-0.00038439959719308416,2049,1165,0,False
low_preload_counterflow,1.0,positive,0.04,2049,5.898059818321144e-17,1.4412299521794976e-15,-0.02223170437516075,-1.3384998469401691e-06,-0.00038439959719308486,2049,1165,0,False
low_preload_counterflow,1.0,positive,0.02,2049,4.85722573273506e-17,1.4737732273870056e-15,-0.022231704375160755,-1.3384998469401696e-06,-0.0003843995971930854,2049,1165,0,False
low_preload_counterflow,1.0,positive,0.01,2049,6.245004513516506e-17,1.7096416836513642e-15,-0.022231704375160758,-1.3384998469401691e-06,-0.0003843995971930838,2049,1165,0,False
low_preload_counterflow,1.0,mixed,0.04,2049,5.898059818321144e-17,1.4412299521794976e-15,-0.02223170437516075,-1.3384998469401691e-06,-0.00038439959719308454,2049,1165,0,False
low_preload_counterflow,1.0,mixed,0.02,2049,4.5102810375396984e-17,1.4737732273870056e-15,-0.022231704375160755,-1.3384998469401696e-06,-0.0003843995971930851,2049,1165,0,False
low_preload_counterflow,1.0,mixed,0.01,2049,6.245004513516506e-17,1.7096416836513642e-15,-0.022231704375160758,-1.3384998469401691e-06,-0.00038439959719308454,2049,1165,0,False
high_preload_counterflow,0.5,zero,0.04,2049,1.457167719820518e-16,3.5136328244067637e-15,-0.022340364010961775,-1.33852240577495e-06,-0.0006483925510087511,2049,1188,0,False
high_preload_counterflow,0.5,zero,0.02,2049,1.214306433183765e-16,3.442865144108879e-15,-0.022340364010961844,-1.338522405774244e-06,-0.0006483925510087511,2049,1188,0,False
high_preload_counterflow,0.5,zero,0.01,2049,1.8041124150158794e-16,3.291146885298446e-15,-0.022340364010961757,-1.338522405774244e-06,-0.0006483925510087497,2049,1188,0,False
high_preload_counterflow,0.5,positive,0.04,2049,1.8735013540549517e-16,3.708834647984917e-15,-0.022340364010961757,-1.3385224057753028e-06,-0.0006483925510087518,2049,1188,0,False
high_preload_counterflow,0.5,positive,0.02,2049,1.5959455978986625e-16,4.193225998525856e-15,-0.022340364010961827,-1.3385224057735383e-06,-0.0006483925510087505,2049,1188,0,False
high_preload_counterflow,0.5,positive,0.01,2049,1.942890293094024e-16,4.0023097431547275e-15,-0.022340364010961778,-1.3385224057738913e-06,-0.0006483925510087505,2049,1188,0,False
