scenario,preload_fraction,initial_drift,points,pressure_cap,family,feasible_points,infeasible_points,all_points_algebraically_feasible,min_support_radial_enthalpy,max_support_radial_enthalpy,min_support_angular_enthalpy,negative_support_radial_points,negative_support_angular_points,max_normalized_tensor_error,minimum_host_margin,initial_ordinary_coordinate_mass,reference_coordinate_mass,reference_proper_energy,complete_material_candidate_pass,host_coordinate_mass,host_proper_energy,vacuum_coordinate_mass,vacuum_proper_energy,support_coordinate_mass,support_proper_energy,max_host_required_static_force,max_vacuum_required_static_force,max_ordinary_required_static_force,max_total_required_static_force,force_sum_identity_error,closed_form_weight_error,inner_pressure_matching_error,inner_normal_acceleration_matching_error,outer_pressure_matching_error,outer_normal_acceleration_matching_error
low_preload_counterflow,0.01,0.04,2049,0.5,radial_only,380,1669,False,-0.022231704375160772,-1.3384998469416487e-06,-0.0003843995971930848,2049,1165,2.087328498447575e-16,-1.734723475976807e-18,0.007686392008042856,-0.8299406760788179,43.35437039828398,False,,,,,,,,,,,,,,,,
low_preload_counterflow,0.01,0.04,2049,0.5,two_orientations,2049,0,True,-0.022231704375160772,-1.3384998469416487e-06,-0.0003843995971930848,2049,1165,5.761846219020473e-16,-8.326672684688674e-17,0.007686392008042856,-0.8299406760788179,43.35437039828398,False,18.21401971263365,86.97820062382988,-19.05164678072051,-43.63545551462386,-0.8376270680868607,43.342745109206,0.3668724439583983,0.36687358406949544,6.5552545470415285e-06,1.9391737208651954e-06,4.453812103803333e-15,,0.0,0.0,0.0,0.0
high_preload_counterflow,0.1,0.04,513,1.0,radial_only,98,415,False,-0.022339722440242075,-1.338537941375506e-06,-0.0006483080097639102,513,297,1.563852663568078e-16,-1.734723475976807e-18,0.07686392008042855,-0.829940676517362,43.35437612884015,False,,,,,,,,,,,,,,,,
high_preload_counterflow,0.1,0.04,513,1.0,two_orientations,513,0,True,-0.022339722440242075,-1.338537941375506e-06,-0.0006483080097639102,513,297,2.1179548013542813e-16,-2.7755575615628914e-17,0.07686392008042855,-0.829940676517362,43.35437612884015,False,4.825515540562307,54.216311476246005,-5.732320137160096,-10.978188238186084,-0.9068045965977904,43.23812323805991,0.16150344645929446,0.16151308886164262,6.555254548584359e-05,3.793483653150263e-06,7.623409551247602e-16,6.938893903907228e-18,0.0,0.0,0.0,0.0
high_preload_counterflow,0.1,0.04,513,0.5,radial_only,95,418,False,-0.022339722440242075,-1.338537941375506e-06,-0.0006483080097639102,513,297,1.5550155526400106e-16,-1.734723475976807e-18,0.07686392008042855,-0.829940676517362,43.35437612884015,False,,,,,,,,,,,,,,,,
high_preload_counterflow,0.1,0.04,513,0.5,two_orientations,513,0,True,-0.022339722440242075,-1.338537941375506e-06,-0.0006483080097639102,513,297,6.353864404062844e-16,-8.326672684688674e-17,0.07686392008042855,-0.829940676517362,43.35437612884015,False,18.24048745968983,86.99709983873393,-19.147292056287625,-43.758976600674,-0.9068045965977904,43.23812323805991,0.36122856858147123,0.36125195327664295,6.555254548584359e-05,3.793483653150263e-06,1.3071867722237512e-15,,0.0,0.0,1.3552527156068805e-20,1.1087733454878071e-18
high_preload_counterflow,0.1,0.04,1025,1.0,radial_only,196,829,False,-0.022339722440242075,-1.338537941375506e-06,-0.0006483925510087506,1025,594,1.5666386106481297e-16,-1.734723475976807e-18,0.07686392008042855,-0.8299406762207305,43.35437073860058,False,,,,,,,,,,,,,,,,
high_preload_counterflow,0.1,0.04,1025,1.0,two_orientations,1025,0,True,-0.022339722440242075,-1.338537941375506e-06,-0.0006483925510087506,1025,594,2.186078457690181e-16,-2.7755575615628914e-17,0.07686392008042855,-0.8299406762207305,43.35437073860058,False,4.825351315697383,54.21558037886287,-5.732155911998542,-10.977462531044825,-0.9068045963011593,43.238117847818046,0.16254376572342583,0.162557049848011,6.555254547132119e-05,3.7387630223447547e-06,1.3663319065569668e-15,6.938893903907228e-18,0.0,0.0,0.0,0.0
high_preload_counterflow,0.1,0.04,1025,0.5,radial_only,190,835,False,-0.022339722440242075,-1.338537941375506e-06,-0.0006483925510087506,1025,594,1.5550155526400106e-16,-1.734723475976807e-18,0.07686392008042855,-0.8299406762207305,43.35437073860058,False,,,,,,,,,,,,,,,,
high_preload_counterflow,0.1,0.04,1025,0.5,two_orientations,1025,0,True,-0.022339722440242075,-1.338537941375506e-06,-0.0006483925510087506,1025,594,6.353864404062844e-16,-8.326672684688674e-17,0.07686392008042855,-0.8299406762207305,43.35437073860058,False,18.2402875080191,86.99760061176133,-19.147092104320258,-43.759482763943254,-0.9068045963011593,43.238117847818046,0.3625070803437891,0.36252408617474596,6.555254547132119e-05,3.7387630223447547e-06,3.3112405732851793e-15,,0.0,0.0,1.3552527156068805e-20,1.1087733454878071e-18
