beta,B,normalization,stretch,carrier_energy_over_bare_tension,tension_over_energy,target_fermi_momentum_over_bulk_mass,fermi_momentum_over_eta,required_yukawa_g,yukawa_loop_size_g2_over_16pi2,escape_ratio_squared_times_yukawa_loop_size,gauge_coupling,scalar_self_coupling,scalar_quartic_loop_size_g4_over_16pi2,quartic_loop_size_over_scalar_self_coupling,bulk_fermion_mass_over_vector_mass,bulk_fermion_mass_over_higgs_mass,fermion_asymptotic_tail_over_vector_length,fermion_asymptotic_tail_over_higgs_length
1e-12,0.08329151380923958,canonical_two_branches,1.0,1.0,0.0,0.1,1.2822279760362945,12.822279760362944,1.0411439226154948,0.01041143922615495,0.3,9e-14,171.17536588212226,1901948509801358.5,42.74093253454315,42740932.53454315,0.023396775425800587,2.339677542580059e-08
1e-12,0.08329151380923958,canonical_two_branches,1.0,1.0,0.0,0.1,1.2822279760362945,12.822279760362944,1.0411439226154948,0.01041143922615495,1.0,1e-12,171.17536588212226,171175365882122.28,12.822279760362944,12822279.760362945,0.0779892514193353,7.798925141933529e-08
1e-12,0.08329151380923958,printed_ringeval_two_branches,2.3349,0.18342707034423192,0.6900069722236839,1.0,0.3883130313428265,0.3883130313428265,0.0009548698976603095,0.0009548698976603095,0.1,1.0000000000000002e-14,0.00014398197710383914,14398197710.383911,3.883130313428265,3883130.3134282655,0.2575241929280346,2.5752419292803455e-07
1e-12,0.08329151380923958,printed_ringeval_two_branches,2.3349,0.18342707034423192,0.6900069722236839,1.0,0.3883130313428265,0.3883130313428265,0.0009548698976603095,0.0009548698976603095,0.3,9e-14,0.00014398197710383914,1599799745.5982127,1.2943767711427552,1294376.7711427552,0.7725725787841038,7.725725787841038e-07
1e-12,0.08329151380923958,printed_ringeval_two_branches,2.3349,0.18342707034423192,0.6900069722236839,1.0,0.3883130313428265,0.3883130313428265,0.0009548698976603095,0.0009548698976603095,1.0,1e-12,0.00014398197710383914,143981977.10383913,0.3883130313428265,388313.03134282655,2.575241929280346,2.5752419292803458e-06
1e-12,0.08329151380923958,printed_ringeval_two_branches,2.3349,0.18342707034423192,0.6900069722236839,0.5,0.3883130313428265,0.776626062685653,0.003819479590641238,0.0009548698976603095,0.1,1.0000000000000002e-14,0.0023037116336614262,230371163366.14258,7.76626062685653,7766260.626856531,0.1287620964640173,1.2876209646401728e-07
1e-12,0.08329151380923958,printed_ringeval_two_branches,2.3349,0.18342707034423192,0.6900069722236839,0.5,0.3883130313428265,0.776626062685653,0.003819479590641238,0.0009548698976603095,0.3,9e-14,0.0023037116336614262,25596795929.571404,2.5887535422855104,2588753.5422855103,0.3862862893920519,3.862862893920519e-07
1e-12,0.08329151380923958,printed_ringeval_two_branches,2.3349,0.18342707034423192,0.6900069722236839,0.5,0.3883130313428265,0.776626062685653,0.003819479590641238,0.0009548698976603095,1.0,1e-12,0.0023037116336614262,2303711633.661426,0.776626062685653,776626.0626856531,1.287620964640173,1.2876209646401729e-06
1e-12,0.08329151380923958,printed_ringeval_two_branches,2.3349,0.18342707034423192,0.6900069722236839,0.3,0.3883130313428265,1.2943767711427552,0.010609665529558996,0.0009548698976603096,0.1,1.0000000000000002e-14,0.017775552728869035,1777555272886.903,12.943767711427551,12943767.711427553,0.07725725787841038,7.725725787841036e-08
1e-12,0.08329151380923958,printed_ringeval_two_branches,2.3349,0.18342707034423192,0.6900069722236839,0.3,0.3883130313428265,1.2943767711427552,0.010609665529558996,0.0009548698976603096,0.3,9e-14,0.017775552728869035,197506141431.87817,4.314589237142518,4314589.237142517,0.2317717736352311,2.317717736352311e-07
1e-12,0.08329151380923958,printed_ringeval_two_branches,2.3349,0.18342707034423192,0.6900069722236839,0.3,0.3883130313428265,1.2943767711427552,0.010609665529558996,0.0009548698976603096,1.0,1e-12,0.017775552728869035,17775552728.869034,1.2943767711427552,1294376.7711427552,0.7725725787841037,7.725725787841037e-07
1e-12,0.08329151380923958,printed_ringeval_two_branches,2.3349,0.18342707034423192,0.6900069722236839,0.1,0.3883130313428265,3.883130313428265,0.09548698976603094,0.0009548698976603096,0.1,1.0000000000000002e-14,1.4398197710383913,143981977103839.1,38.83130313428265,38831303.134282656,0.02575241929280346,2.575241929280346e-08
1e-12,0.08329151380923958,printed_ringeval_two_branches,2.3349,0.18342707034423192,0.6900069722236839,0.1,0.3883130313428265,3.883130313428265,0.09548698976603094,0.0009548698976603096,0.3,9e-14,1.4398197710383913,15997997455982.127,12.943767711427551,12943767.71142755,0.07725725787841038,7.725725787841038e-08
