amplitude,presheath,s,z,crossings,width
flat_lapse_1,7.0,-1.2,-1.7,1,0.0
flat_lapse_1,7.0,-0.9,-0.0,1,0.0
flat_lapse_1,7.0,0.1,2.1,1,0.0
flat_lapse_1,7.0,0.2,1.3,1,0.0
flat_lapse_1,7.0,-4.2,-4.4,1,0.0
flat_lapse_1,7.0,-0.5,-0.2,1,0.0
flat_lapse_1,7.0,-1.1,-0.4,1,0.0
flat_lapse_1,7.0,-0.1,1.7,1,0.0
flat_lapse_1,7.0,-0.8,0.2,1,0.0
flat_lapse_1,7.0,-0.9,-0.9,1,0.0
flat_lapse_1,7.0,-0.3,1.3,1,0.0
flat_lapse_1,7.0,0.9,3.3,1,0.0
flat_lapse_1,7.0,-0.0,0.9,1,0.0
flat_lapse_1,7.0,-1.0,-1.2,1,0.0
flat_lapse_1,7.0,0.4,1.6,1,0.0
flat_lapse_1,7.0,-1.3,-0.9,1,0.0
flat_lapse_1,7.0,0.2,2.3,1,0.0
flat_lapse_1,7.0,-4.3,-4.4,1,0.0
flat_lapse_1,7.0,-2.8,-3.2,1,0.0
flat_lapse_1,7.0,-1.8,-2.3,1,0.0
flat_lapse_1,7.0,0.2,-1.2,1,7.900000000038432e-05
flat_lapse_1,7.0,0.1,1.2,1,0.0
flat_lapse_1,7.0,-4.2,-4.5,1,0.0
flat_lapse_1,7.0,-4.4,-4.4,1,0.0
flat_lapse_1,7.0,-1.6,-1.2,1,0.0
flat_lapse_1,7.0,-3.7,-4.0,1,0.0
flat_lapse_1,7.0,-2.7,-3.1,1,0.0
flat_lapse_1,7.0,-1.7,-2.2,1,0.0
flat_lapse_1,7.0,-4.5,-4.4,1,0.0
flat_lapse_1,7.0,-4.6,-4.4,1,0.0
flat_lapse_1,7.0,-0.7,0.4,1,0.0
flat_lapse_1,7.0,-4.0,-3.2,1,0.0
flat_lapse_1,7.0,-3.0,-2.3,1,0.0
flat_lapse_1,7.0,-4.7,-4.4,1,0.0
flat_lapse_1,7.0,-2.6,-3.0,1,0.0
flat_lapse_1,7.0,-3.6,-3.9,1,0.0
flat_lapse_1,7.0,-1.6,-2.1,1,0.0
flat_lapse_1,7.0,-0.6,-0.4,1,0.0
flat_lapse_1,7.0,-4.1,-3.3,1,0.0
flat_lapse_1,7.0,-3.1,-2.4,1,0.0
flat_lapse_1,7.0,1.0,3.4,1,0.0
flat_lapse_1,7.0,-1.1,-1.5,1,0.0
flat_lapse_1,7.0,-0.1,0.6,1,0.0
flat_lapse_1,7.0,-0.2,1.5,1,0.0
flat_lapse_1,7.0,0.8,2.1,1,0.0
flat_lapse_1,7.0,-4.8,-4.4,1,0.0
flat_lapse_1,7.0,-0.5,0.8,1,0.0
flat_lapse_1,7.0,-0.9,-0.1,1,7.000000000090267e-06
flat_lapse_1,8.0,0.2,-1.1,1,0.0
flat_lapse_1,8.0,-0.5,-0.4,1,0.0
flat_lapse_1,8.0,-0.6,-0.6,1,0.0
flat_lapse_1,8.0,0.3,1.3,1,0.0
flat_lapse_1,8.0,-0.7,-0.8,1,0.0
flat_lapse_1,8.0,-0.8,-1.0,1,0.0
flat_lapse_1,8.0,0.2,-1.3,1,0.0
flat_lapse_1,8.0,-0.0,0.6,1,0.0
flat_lapse_1,8.0,-1.0,-1.5,1,0.0
flat_lapse_1,8.0,0.2,1.1,1,0.0
flat_lapse_1,8.0,0.2,1.0,1,0.0
flat_lapse_1,8.0,0.1,0.9,1,0.0
flat_lapse_1,8.0,-0.9,-1.2,1,0.0
flat_lapse_1,8.0,-0.8,-1.1,1,0.0
flat_lapse_1,8.0,-0.2,0.3,1,0.0
flat_lapse_1,8.0,0.4,1.5,1,0.0
flat_lapse_1,8.0,-0.3,0.1,1,0.0
flat_lapse_1,8.0,-1.2,-1.8,1,0.0
