family,speed,decel,label,launch,zeta0,r0,angle_deg,far_plane,exterior_light_arrival,anec,anec_compartment,anec_hole_boundary,anec_shift_region,anec_pattern_lapse,anec_cone,anec_flat,lowest_partial,most_negative_integrand,far_plane_arrival,final_energy
departure,2.1,30.0,departure_180,0.0,0.0,0.0,180.0,65.0,65.0,8.62083354245851e-34,0.0,5.716299228354918e-33,1.696857296455863e-32,-2.18227888386677e-32,0.0,0.0,-6.240312216385921e-32,-1.6522159007716535e-29,,0.3306308378361034
crossing,2.1,30.0,against_axis,3.0,61.998711305964285,0.0,180.0,65.0,,-0.31420705918383973,0.0,2.0030180743544535e-33,5.3760162083052614e-33,-1.0842143247502492e-31,-0.31420705918383973,0.0,-0.31420705918383973,-0.2706202222871266,-3.0,1.0000000669351357
crossing,2.1,30.0,against_r3,3.0,61.998711305964285,3.0,180.0,65.0,,0.13300041042814625,0.0,0.0,0.0,0.0,0.13300041042814625,0.0,0.0,0.0,-3.0,2.26914729123299
crossing,2.1,30.0,overtaken_axis,3.0,61.998711305964285,0.0,0.0,65.0,,-49612.568838238905,0.0,0.0,0.0,0.0,-49612.568838238905,0.0,-49612.568838238905,-25942.108720531156,1.2800000000000038,83529.26961851651
crossing,2.1,30.0,overtaken_r1,3.0,61.998711305964285,1.0,0.0,65.0,,0.11581675890906125,0.0,0.0,0.0,0.0,0.11581675890906125,0.0,0.0,-2.1211505417130772e-29,1.2800000000000038,1.5366487798499127
crossing,2.1,30.0,overtaken_r6,3.0,61.998711305964285,6.0,0.0,65.0,,0.15416981390103715,0.0,0.0,0.0,0.0,0.15416981390103715,0.0,0.0,0.0,1.2800000000000038,1.4423035485320477
crossing,2.1,30.0,side_at_packet,3.0,27.3,13.0,-90.0,65.0,,-0.015714941329336325,0.0,0.0,0.0,0.0,-0.015714941329336325,0.0,-0.015715116802993624,-0.05685225409056025,,2.7217288289924366
crossing,2.1,30.0,side_at_shift,3.0,30.3,13.0,-90.0,65.0,,-0.016646780187629818,0.0,0.0,0.0,0.0,-0.016646780187629818,0.0,-0.016646891706575507,-0.05780297092962564,,2.744289013757683
crossing,2.1,30.0,side_at_cone,3.0,45.79935565298214,13.0,-90.0,65.0,,-0.02291372336881283,0.0,0.0,0.0,0.0,-0.02291372336881283,0.0,-0.022913733565265042,-0.06006560391419491,30.156000000000027,2.782617924483413
crossing,2.1,30.0,behind_forward,3.0,-20.0,0.0,0.0,65.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0
departure,10.0,6.0,departure_0,0.0,0.0,0.0,0.0,62.0,62.0,-0.000720820453772766,0.0,0.0,0.0,0.0,-0.000720820453772766,0.0,-0.000720820453772766,-0.1802051134431915,3.7320000000000064,0.08841637067476324
departure,10.0,6.0,departure_0.5,0.0,0.0,0.0,0.5,62.0,62.0,0.0022277802583498957,0.0,0.0019159797631964032,0.0014981187302104035,-0.001186318235056911,0.0,0.0,-0.0008095320387573669,-0.2245177905764527,,0.09143356509273637
departure,10.0,6.0,departure_1,0.0,0.0,0.0,1.0,62.0,62.0,0.044663940884462884,0.0,0.04451775235423063,0.0001339503566971068,1.2238173474423896e-05,0.0,6.071255181729862e-14,0.0,-0.16886149186146485,,0.01988298972147989
departure,10.0,6.0,departure_2,0.0,0.0,0.0,2.0,62.0,62.0,0.15577481041814473,0.0,0.15577481041814473,0.0,0.0,0.0,0.0,0.0,-0.592101628683643,12.860000000000014,0.3020372121751502
departure,10.0,6.0,departure_5,0.0,0.0,0.0,5.0,62.0,62.0,0.45449150209434586,0.0,0.45449150209434586,0.0,0.0,0.0,0.0,0.0,0.0,12.860000000000014,0.230090926987414
departure,10.0,6.0,departure_10,0.0,0.0,0.0,10.0,62.0,62.0,1.029593934412321,0.0,1.029593934412321,0.0,0.0,0.0,0.0,0.0,0.0,,0.9999115320512405
departure,10.0,6.0,departure_20,0.0,0.0,0.0,20.0,62.0,62.0,2.0320857077455687,0.0,2.0320857077455687,0.0,0.0,0.0,0.0,0.0,0.0,,1.0000292110136506
departure,10.0,6.0,departure_45,0.0,0.0,0.0,45.0,62.0,62.0,3.159754493782866,0.0,3.159754493782866,0.0,0.0,0.0,0.0,0.0,0.0,,1.1480470312041213
departure,10.0,6.0,departure_90,0.0,0.0,0.0,90.0,62.0,62.0,0.027868644261383014,0.0,0.03340846210905023,4.713190614883437e-05,-0.0055869497538160486,0.0,0.0,0.0,-0.030111711953259672,,1.4434768792186934
departure,10.0,6.0,departure_135,0.0,0.0,0.0,135.0,62.0,62.0,3.1597544940289244,0.0,3.1597544940289244,0.0,0.0,0.0,0.0,0.0,0.0,,1.1480470311213606
departure,10.0,6.0,departure_180,0.0,0.0,0.0,180.0,62.0,62.0,1.315801975045031e-30,0.0,4.666223757691213e-31,1.4665812855942027e-31,7.0252147071648945e-31,0.0,0.0,0.0,0.0,,0.09098811717861292
crossing,10.0,6.0,against_axis,3.0,266.9494749456842,0.0,180.0,62.0,,-1.9141648992533558,0.0,0.0,0.0,0.0,-1.9141648992533558,0.0,-1.9141648992533558,-1.654004042285892,-3.0,0.3448500633534936
crossing,10.0,6.0,against_r3,3.0,266.9494749456842,3.0,180.0,62.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,1.0
crossing,10.0,6.0,overtaken_axis,3.0,266.9494749456842,0.0,0.0,62.0,,-2.468520741241807,0.0,0.0,0.0,0.0,-2.468520741241807,0.0,-2.468520741241807,-2.2539749779005533,-3.0,1.844254202849019
crossing,10.0,6.0,overtaken_r1,3.0,266.9494749456842,1.0,0.0,62.0,,0.13189814340491687,0.0,0.0,0.0,0.0,0.13189814340491687,0.0,0.0,0.0,-3.0,1.4671219819771029
crossing,10.0,6.0,overtaken_r6,3.0,266.9494749456842,6.0,0.0,62.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,1.0
crossing,10.0,6.0,side_at_packet,3.0,130.0,13.0,-90.0,62.0,,-0.0010912489398155493,0.0,0.0,0.0,0.0,-0.0010912489398155493,0.0,-0.0010913225950356254,-0.005820842971464766,-3.0,0.7017924103483525
crossing,10.0,6.0,side_at_shift,3.0,133.0,13.0,-90.0,62.0,,-0.00042312052824362416,0.0,0.0,0.0,0.0,-0.00042312052824362416,0.0,-0.0004231205282441207,-0.0034230956044782354,-3.0,0.8797555051481364
crossing,10.0,6.0,side_at_cone,3.0,211.4747374728421,13.0,-90.0,62.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,1.0
crossing,10.0,6.0,behind_forward,3.0,-20.0,0.0,0.0,62.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.4598218124597115e-15
departure,10.0,30.0,departure_0,0.0,0.0,0.0,0.0,302.0,302.0,-22174.55527959439,0.0,0.0,0.0,0.0,-22174.55527959439,0.0,-22174.55527959439,-17863.431059398637,14.980000000000015,7583.765943689283
departure,10.0,30.0,departure_0.5,0.0,0.0,0.0,0.5,302.0,302.0,0.0022277802583498957,0.0,0.0019159797631964032,0.0014981187302104035,-0.001186318235056911,0.0,0.0,-0.0008095320387573669,-0.2245177905764527,,0.09143356509273637
departure,10.0,30.0,departure_1,0.0,0.0,0.0,1.0,302.0,302.0,0.3506483033766153,0.0,0.35063585806903685,1.2445307578451988e-05,0.0,0.0,0.0,0.0,-0.01441113211272711,33.61200000000003,0.08389615008001398
