width,angular_index,wave_number,k_radius,k_width,scale_window,normal_frequency_squared,growth_rate,required_bending_coefficient,required_bending_to_sigma_width_squared
0.05,70,10.367386312949746,70.49822692805827,0.5183693156474873,False,-18.74577868029299,4.329639555470292,4.154322999544618e-06,0.6490622485433778
0.05,71,10.514448783364399,71.49825172687791,0.5257224391682199,False,-19.281372356872787,4.391055950095921,4.038925138446157e-06,0.6310327416393953
0.05,72,10.661511153171682,72.49827584156743,0.5330755576585842,False,-19.824509606362163,4.452472302705786,3.928269655201056e-06,0.6137441733753021
0.05,73,10.808573426478212,73.49829930005184,0.5404286713239106,False,-20.375190428761112,4.513888615014897,3.8221002050604875e-06,0.5971564930138075
0.05,74,10.955635607170104,74.4983221287567,0.5477817803585052,False,-20.933414824069636,4.575304888646181,3.720177532925541e-06,0.5812323198667726
0.05,75,11.102697698927573,75.49834435270749,0.5551348849463786,False,-21.49918279228773,4.636721125136569,3.6222781241643433e-06,0.5659367325018577
0.05,76,11.2497597052384,76.49836599562111,0.56248798526192,False,-22.07249433341541,4.698137325942635,3.5281929780821513e-06,0.5512370771121989
0.05,77,11.396821629410331,77.49838707999025,0.5698410814705166,False,-22.65334944745265,4.759553492445762,3.4377264914646613e-06,0.537102793083681
0.05,78,11.543883474582568,78.49840762716146,0.5771941737291284,False,-23.241748134399476,4.820969625956948,3.350695441047834e-06,0.5235052540182713
0.05,79,11.690945243736348,79.49842765740716,0.5845472621868174,False,-23.837690394255873,4.88238572772122,3.266928055021638e-06,0.5104176226678145
0.05,80,11.83800693970477,80.49844718999243,0.5919003469852385,False,-24.441176227021842,4.943801798921741,3.1862631647741903e-06,0.49781471840441166
0.1,1,0.20797258270192576,1.4142135623730951,0.020797258270192576,False,-0.007543572909574643,0.08685374436128038,0.010323492653868376,403.2299219075735
0.1,2,0.36021907982105555,2.449489742783178,0.036021907982105555,False,-0.02263071872872392,0.15043509806133648,0.0034411642179561267,134.40997396919124
0.1,3,0.5094267081084933,3.4641016151377544,0.050942670810849335,False,-0.04526143745744785,0.21274735593526856,0.0017205821089780627,67.20498698459559
0.1,4,0.6576670522058206,4.47213595499958,0.06576670522058206,False,-0.07543572909574643,0.2746556554956523,0.0010323492653868376,40.32299219075735
0.1,5,0.8054743492723031,5.477225575051661,0.08054743492723032,False,-0.11315359364361963,0.33638310546699524,0.0006882328435912252,26.88199479383823
0.1,6,0.9530501027070383,6.48074069840786,0.09530501027070383,False,-0.15841503110106747,0.39801385792591126,0.0004915948882794466,19.201424852741596
0.1,7,1.100487466698218,7.483314773547883,0.11004874666982181,False,-0.21122004146809,0.4595868160294527,0.0003686961662095849,14.401068639556197
0.1,8,1.2478354962115543,8.48528137423857,0.12478354962115544,False,-0.27156862474468707,0.5211224661676822,0.0002867636848296772,11.200831164099267
0.1,9,1.3951224971331087,9.486832980505138,0.13951224971331086,False,-0.33946078093085896,0.582632629476636,0.00022941094786374167,8.96066493127941
0.1,10,1.5423659531913994,10.488088481701515,0.15423659531913994,True,-0.4148965100266054,0.644124607530721,0.0001876998664339705,7.331453125592246
0.1,11,1.689577248981773,11.489125293076057,0.1689577248981773,True,-0.4978758120319263,0.7056031547774757,0.00015641655536164208,6.109544271326872
0.1,12,1.8367641171759996,12.489995996796797,0.18367641171759996,True,-0.5883986869468222,0.767071500543999,0.00013235246992138945,5.16961438343043
0.1,13,1.9839319945929474,13.490737563232042,0.19839319945929476,True,-0.6864651347712926,0.8285319153607136,0.0001134449742183338,4.431098042940367
0.1,14,2.1310848156160938,14.491376746189436,0.2131084815616094,False,-0.7920751555053374,0.889986042309281,9.831897765588931e-05,3.8402849705483204
0.1,15,2.278225497769069,15.491933384829668,0.2278225497769069,False,-0.9052287491489573,0.9514350998092078,8.602910544890312e-05,3.360249349229779
0.1,16,2.42535625036333,16.492422502470642,0.242535625036333,False,-1.0259259157021516,1.0128800105156344,7.59080342196204e-05,2.964925896379217
0.1,17,2.5724787771376323,17.4928556845359,0.25724787771376323,False,-1.1541666551649201,1.0743214859458599,6.747380819521817e-05,2.6354896856704157
