time,steps,min_f,min_alpha,max_particle_speed,max_entropy_speed,max_relative_drift,min_rest_energy,min_entropy_creation,max_entropy_creation,particle_number,entropy,created_entropy,escaped_particles,escaped_entropy,particle_balance_relative_error,entropy_balance_relative_error,outer_mass_balance_error,max_current,max_mass_change,min_radial_discriminant,scenario,level,cells
1.5750000000000002,1254,7.776978708573523e-06,0.0015423314754995324,0.7708506153961898,0.8382621264101677,0.19052211514305775,4.297583524471455e-12,3.5935975872473594e-22,1.1412072493759212e-06,0.3116165897174379,0.7339558351134948,0.0006723090682587644,0.0028538557017539538,0.013854511052353134,1.2607378990299566e-06,1.794307790525982e-06,-1.4603342951557963e-07,0.0002830537745157971,0.010471518254831391,1.1853151977504662e-22,high_preload_slow_drag,3,1024
1.6,1274,7.776978708573523e-06,0.0015404328667934768,0.770593777075018,0.8377863379896583,0.189591484560578,4.297583787011305e-12,3.7060190884193694e-22,1.1375833387953106e-06,0.31143891304802684,0.7332311466994745,0.0006880211569774106,0.003031559140019561,0.014594991998135468,1.3458616005283454e-06,1.9019762316873048e-06,-1.543053480268508e-07,0.0002915704799074973,0.010712494320428534,1.1853151975680807e-22,high_preload_slow_drag,3,1024
1.625,1294,7.776978708573523e-06,0.0015384904618329295,0.7703221472998619,0.8372987946340902,0.18866119439853363,4.29758404923203e-12,3.8200325807953376e-22,1.1334306867466603e-06,0.3112540186817034,0.7324841098655162,0.0007037734435380138,0.003216481767146141,0.015357865751195455,1.4357296282801839e-06,2.015252077133901e-06,-1.6297715169089066e-07,0.0003002956514692433,0.010953148263173729,1.1853155751094116e-22,high_preload_slow_drag,3,1024
1.6500000000000001,1314,7.776978708573523e-06,0.0015365037590220484,0.7700355949479586,0.8367994969225976,0.18773173838108112,4.2975843111260934e-12,3.9356284204810827e-22,1.1287695458144042e-06,0.31106181145500844,0.7317147892477928,0.0007195589899656471,0.0034087188610950293,0.01614306084017627,1.5307060943922524e-06,2.134272907158715e-06,-1.7203386984410152e-07,0.000309215708159928,0.01119340088916404,1.1853159526482446e-22,high_preload_slow_drag,3,1024
1.675,1334,7.776978708573523e-06,0.0015344722652717935,0.7714784256574636,0.8362884439514658,0.18680359985447476,4.297584572685878e-12,4.052796734538032e-22,1.1236218673144726e-06,0.3108622030627404,0.7309232755936563,0.0007353709869305917,0.003608358764712878,0.016950479986927374,1.6309107083690525e-06,2.259411519874322e-06,-1.8140117336029604e-07,0.0003182796774400765,0.01143317567838159,1.1853159524581848e-22,high_preload_slow_drag,3,1024
1.7000000000000002,1354,7.776978708573523e-06,0.0015323954946602101,0.7766302079897497,0.8357656331011415,0.18587724986519386,4.2975848339036904e-12,4.1715274193560663e-22,1.1180093298859272e-06,0.31065511237983967,0.730109685034626,0.0007512027595251873,0.003815482646606551,0.01778000047029169,1.7364819479782026e-06,2.3907820440942694e-06,-1.9122505939828116e-07,0.00032761095480763415,0.011672399025830282,1.1853159522655998e-22,high_preload_slow_drag,3,1024
1.725,1374,7.776978708573523e-06,0.0015302729726634624,0.7816711854060319,0.8352310598182082,0.18495314531054768,4.297585094771735e-12,4.291810139294449e-22,1.1119533365678185e-06,0.3104404658006832,0.7292741589654878,0.0007670477717352374,0.004030164276487228,0.018631474537922375,1.8479416063095364e-06,2.5286233290856215e-06,-2.0140175838179175e-07,0.0003370328251703498,0.011911048640791677,1.1853159520705063e-22,high_preload_slow_drag,3,1024
1.75,1394,7.776978708573523e-06,0.0015281042341287491,0.786574901326458,0.8346847174143057,0.18403172769650977,4.297585355282152e-12,4.413634325499199e-22,1.1054731541151616e-06,0.310218197149855,0.7284168636624955,0.0007828996308894634,0.004252469815586393,0.019504729863406643,1.9652445771837003e-06,2.673393808604864e-06,-2.1196599198081145e-07,0.00034676791787745687,0.012149021838600449,1.1853159518729216e-22,high_preload_slow_drag,3,1024
1.7750000000000001,1414,7.776978708573523e-06,0.0015258888246419532,0.7913489938168505,0.8341265968832782,0.18311342166309985,4.2975856154269915e-12,4.536989174669566e-22,1.0985910301244143e-06,0.30998824816298065,0.7275379892681507,0.0007987520914029642,0.004482457622793683,0.02039957004596837,2.08869141441744e-06,2.8250764979604164e-06,-2.2300911356465392e-07,0.00035658051181692327,0.012386235834046133,1.1853167071257456e-22,high_preload_slow_drag,3,1024
1.8,1434,7.776978708573523e-06,0.0015236263034312885,0.7960160481191892,0.8335566867375521,0.18219863339000242,4.297585875198229e-12,4.6618636482752855e-22,1.0913263911100136e-06,0.3097505686166113,0.7266377499381387,0.0008145990575162633,0.004720178077619855,0.02131577515000962,2.2187783876608105e-06,2.9840941401636894e-06,-2.3437709287255082e-07,0.00036670141450800505,0.01262262710113271,1.1853170846497638e-22,high_preload_slow_drag,3,1024
