regulator,proper,coordinate,radius,lapse,rho,pr,pt,polarization,radial_enthalpy,radial_enthalpy_tail,required_radial_enthalpy
4.0,-177.10724610416185,-6.999195218622501,7.2097270073451085,0.8490122504534121,-0.015072918268189512,0.015054845974546576,0.015069385597643075,0.027281895429973238,-1.807229364293554e-05,-2.2593068984816958e-07,6.2175402808722514e-06
4.0,-176.6072520922278,-6.499281169699226,6.726652015780793,0.8491204225844119,-0.015059710553197218,0.015053434583945754,0.01505836903171015,0.02729651285698036,-6.275969251463842e-06,-1.6876791154143345e-07,-7.524410795388304e-05
4.0,-176.10725808029378,-5.9992871577678155,6.245098638225426,0.8491300589386993,-0.015050559290832165,0.015053439066896653,0.015050831253716701,0.027290783847904575,2.879776064487749e-06,-1.4832902482213871e-07,-0.00015939466210772218
4.0,-175.98225957731026,-5.874288654784956,6.125153494247203,0.8491301217638204,-0.015051062536873034,0.015053527302152814,0.015051728333661925,0.02728640055618835,2.4647652797794156e-06,-1.4958845116676797e-07,-0.00017399613896993093
4.0,-175.85726107432674,-5.749290151802096,6.005417645793993,0.849130133949822,-0.015052250330794452,0.015053567941723762,0.015053366831811278,0.027280509492198166,1.3176109293095567e-06,-1.498720594443094e-07,-0.00018959185558564
4.0,-175.73226257134326,-5.6242916488192645,5.885905475978946,0.8491301358816828,-0.015053836096759195,0.015053534411314068,0.015055497212683438,0.027272812246781852,-3.016854451271672e-07,-1.502245442055559e-07,-0.0002071038068868853
4.0,-175.60726406835974,-5.499293145836405,5.766632827835068,0.8491301362267675,-0.01505575643313471,0.01505340021096273,0.015058091810581825,0.027262953822067063,-2.3562221719806986e-06,-1.5002319378038787e-07,-0.000227228504783733
4.0,-175.48226556537622,-5.374294642854798,5.647617693381378,0.8491301366077025,-0.015058085031433573,0.015053133818677698,0.015061265694915463,0.027250512836645466,-4.951212755874984e-06,-1.515064088009876e-07,-0.00025073969101679634
4.0,-175.3572670623927,-5.2492961398833815,5.52888090626419,0.8491301377638213,-0.01506095140786399,0.015052698724062253,0.01506520003682131,0.02723497976126363,-8.252683801737715e-06,-1.5082491059329787e-07,-0.0002786572813928451
4.0,-175.2322685594092,-5.124297636944239,5.41044702443882,0.8491301413890494,-0.015064526515053632,0.015052040268413893,0.015070121739544851,0.02721572758476143,-1.2486246639738935e-05,-1.5073931478600114e-07,-0.000312369189796012
4.0,-175.1072700564257,-4.99929913412076,5.292345509609854,0.8491301524555828,-0.015069024354226888,0.015051090184317613,0.015076305791492979,0.02719197517828046,-1.793416990927485e-05,-1.4968261954789185e-07,-0.0003537576587847831
4.0,-174.9822715534422,-4.874300631696889,5.1746122939206085,0.8491301852917413,-0.015074742377155772,0.015049756645378776,0.015084100751861632,0.027162740715467044,-2.4985731776996575e-05,-1.5015100939033836e-07,-0.00040534562382356766
4.0,-174.85727305045867,-4.749302130609904,5.05729182574887,0.8491302799870771,-0.015082116638435205,0.01504792411252552,0.015093958185305874,0.027126780412214932,-3.419252590968619e-05,-1.480613928248402e-07,-0.0004704621522621261
